economy,group,year,n,sd,p90p10,p75p25
Afghanistan,Emerging,2014,121,1.5113519260937256,30.000000000000014,5.142857142857146
Afghanistan,Emerging,2025,424,1.4768225949240106,41.19463633933547,8.083677946412697
Armenia,Upper_mid,2009,279,1.4215106028019588,30.258368817162747,6.05063380907534
Armenia,Upper_mid,2013,243,1.159174158374457,18.760628814840313,4.07569372118739
Armenia,Upper_mid,2020,434,1.0584161023006844,15.807866356288535,3.982179458672336
Armenia,Upper_mid,2024,327,1.9696595153983363,49.0554987430242,5.698420833880199
Azerbaijan,Emerging,2024,208,1.375643828869703,32.17109261902908,8.008100545377097
Bahrain,Advanced_resource,2024,106,1.4761610920486414,32.99831645537225,6.317861588808746
Bangladesh,Lower_mid_transition,2013,1389,1.3361242104634723,28.732859348858163,5.737499999999998
Bangladesh,Lower_mid_transition,2022,967,1.2234912154801643,20.53624367263517,4.149269235080467
Bhutan,Emerging,2009,250,1.558672738521735,53.50979979774489,11.671823369931873
Bhutan,Emerging,2015,242,1.4570205456584122,50.16959567723757,8.614046675652977
Bhutan,Emerging,2024,155,1.0584685257943887,15.583004645787472,3.7127113222924315
Brunei,Advanced_resource,2025,108,1.1155672179147003,21.160109463684552,5.306041236327611
Cambodia,Emerging,2016,373,1.5744060542988436,46.4189983476198,7.202286293761094
Cambodia,Emerging,2023,519,0.8460542967153682,7.62113103582628,3.260173704158616
China,Upper_mid,2024,1953,1.3577981266857262,27.974541727144445,5.089516129032259
Fiji,SIDS_small,2009,82,1.4619009684021476,27.6331981653425,6.544269327475348
Fiji,SIDS_small,2025,97,1.1247937772622492,16.99237535917383,3.8095238095238164
Georgia,Upper_mid,2013,289,1.512931461165456,40.16730719725763,9.117283950617283
Georgia,Upper_mid,2019,511,1.3697042101782593,24.99999999999996,5.251861613340826
Georgia,Upper_mid,2023,562,1.2442131342317475,22.230364954442994,4.680193485733158
HongKong,Advanced_innovation,2023,231,1.0774900840538548,11.692307692307699,4.332600670662901
India,Lower_mid_transition,2014,8960,1.262654767673284,24.30555555555553,5.314161454464242
India,Lower_mid_transition,2022,9319,1.2214566528797433,23.437500000000007,4.960620116274219
India,Lower_mid_transition,2025,10479,0.8446693298936427,9.000000000000005,3.2066169598001686
Indonesia,Lower_mid_transition,2009,1243,1.8594994172695343,94.16663743758184,8.504200642707602
Indonesia,Lower_mid_transition,2015,1315,2.0968965270907383,103.00207950618652,5.651494841136632
Indonesia,Lower_mid_transition,2023,2238,1.6899990811960197,58.22454316220319,6.6666666666666785
Iraq,Emerging,2011,752,1.167837150833369,17.99910874742347,4.550064555197211
Iraq,Emerging,2022,781,1.0510051981385236,12.284482758620674,3.333333333333333
Israel,Advanced_innovation,2013,438,0.8867267771301688,8.000000000000002,2.499999999999998
Israel,Advanced_innovation,2024,220,0.6029354035346965,4.038306331107548,1.889941420224542
Jordan,Emerging,2006,478,1.4773012495846638,25.099720377301345,5.193192210220809
Jordan,Emerging,2013,548,1.2451460781734371,21.648202021585764,5.971598933894396
Jordan,Emerging,2019,338,1.3177729561821998,29.518418730579405,6.161329813023139
Jordan,Emerging,2024,581,1.1755738876780524,19.444444444444475,4.392623204295635
Kazakhstan,Upper_mid,2009,430,1.2673053333769466,24.48672131467165,5.388465706249474
Kazakhstan,Upper_mid,2013,430,1.0189404344226383,10.540267370974416,3.2186169072502517
Kazakhstan,Upper_mid,2019,1160,1.390631840280551,25.026424044662086,5.4643538695876455
Kazakhstan,Upper_mid,2024,1013,1.4309903695058537,33.097343486061135,7.083009615384611
Kiribati,SIDS_small,2025,149,1.4760807424667202,36.949019735752216,7.522021276595746
Korea,Advanced_innovation,2024,1514,1.165753435875082,16.033855622988067,4.148695242998267
Kuwait,Advanced_resource,2025,150,1.1579400185593742,20.391916557396826,4.249933919032443
KyrgyzRepublic,Emerging,2009,185,1.611014078203752,53.70885710393814,8.307692307692298
KyrgyzRepublic,Emerging,2013,215,1.1504922222681448,14.711540696918517,4.135471150129933
KyrgyzRepublic,Emerging,2019,316,1.4494161385891762,34.86236674961437,7.500000000000003
KyrgyzRepublic,Emerging,2023,314,1.37945386013621,28.527120470884324,5.793513031098707
Laos,Emerging,2009,359,1.4023163921763457,41.66666666666667,6.760408641494991
Laos,Emerging,2012,363,1.5658044552205066,33.333333333333364,5.773131489099594
Laos,Emerging,2016,368,1.009011012710756,12.546028692722446,3.674393490607766
Laos,Emerging,2018,301,1.4563508553304993,31.42170653382967,5.325983476610472
Laos,Emerging,2024,362,1.3659575514710036,30.532875431757475,5.678569679085259
Lebanon,Emerging,2013,483,1.2289752608730018,17.20151146135404,4.02888124148267
Lebanon,Emerging,2019,515,1.037670156029738,14.750702240237546,3.997462410302551
Malaysia,Upper_mid,2015,953,1.5918632040724794,55.103824404587016,7.499999999999989
Malaysia,Upper_mid,2019,1174,1.2476810917822738,24.59282121433895,5.223712913373752
Malaysia,Upper_mid,2024,957,1.2630573037060817,17.999999999999982,4.1666666666666625
Maldives,Emerging,2025,138,1.3774087207210262,29.87227480097748,6.438551379083057
Mongolia,Lower_mid_transition,2009,362,1.3318986504155528,29.04662139369149,5.281489662925865
Mongolia,Lower_mid_transition,2013,324,0.9804593008633378,10.11715170009627,3.435849650449441
Mongolia,Lower_mid_transition,2019,358,1.2741510330577053,24.77915070753526,5.597590179201343
Myanmar,Emerging,2014,540,1.2726204790770865,23.13536082078163,5.210918904453647
Myanmar,Emerging,2016,595,1.0957906069803685,14.400000000000023,3.789082059964234
Nepal,Emerging,2023,580,1.4602974987178896,42.66801777065238,9.52618958385381
Oman,Advanced_resource,2026,236,1.4730875187199683,41.265906024222865,6.271490288393435
Pakistan,Lower_mid_transition,2013,577,2.2076206652680543,173.16306766633667,11.250000000000016
Pakistan,Lower_mid_transition,2022,1300,1.180819808381677,20.432474344236965,5.5
PapuaNewGuinea,SIDS_small,2015,64,1.110325826531565,17.06880411332414,4.203808960876797
PapuaNewGuinea,SIDS_small,2024,93,1.499769743837623,28.32428161789577,5.409090909090905
Philippines,Lower_mid_transition,2023,966,1.2192427653769216,19.5142478631107,4.76357609271669
Qatar,Advanced_resource,2025,480,0.3256368829082264,2.1351653181394132,1.4301582738081822
Samoa,SIDS_small,2009,77,1.709446577836989,28.659364838764244,6.009615384615389
Samoa,SIDS_small,2023,151,1.3410500295397703,26.08695652173913,5.602634106254974
SaudiArabia,Advanced_resource,2025,1002,0.4897274302610936,3.0903268998292748,1.6666666666666663
Singapore,Advanced_innovation,2023,623,1.083198208471312,14.043699799061928,3.552317551596561
SolomonIslands,SIDS_small,2015,151,1.1330583332057038,16.000000000000007,4.584117692762883
SolomonIslands,SIDS_small,2025,114,1.2946971012071316,26.516144727395954,5.271790586393911
SriLanka,Emerging,2011,557,1.410902881802966,35.99830376565721,7.0370370370370425
SriLanka,Emerging,2025,572,1.0187188381242924,12.000000000000016,3.8860277904937717
Taiwan,Advanced_innovation,2024,594,0.9982085182909651,12.60059212645911,3.4666666666666703
Tajikistan,Emerging,2013,252,1.617868081944801,52.56048069442202,6.893049053888158
Tajikistan,Emerging,2019,260,1.5040671979267168,34.789587568026136,6.003600276880072
Tajikistan,Emerging,2024,328,1.3371418370305557,28.170218050226904,6.573936973656313
Thailand,Upper_mid,2016,960,1.5683683687063978,46.02830494646715,7.699549461291471
Thailand,Upper_mid,2025,806,1.3963921935434618,34.56587912956944,6.350062316832474
TimorLeste,SIDS_small,2009,113,2.2918174620109335,47.39572492915901,5.337142857142856
TimorLeste,SIDS_small,2015,124,1.0020604225015395,14.231559416441085,4.666812829334872
TimorLeste,SIDS_small,2021,208,1.7751111537670337,97.64312954783286,8.206524492979579
Tonga,SIDS_small,2009,147,1.1680210618286737,9.650229606593728,3.0381944444444455
Tonga,SIDS_small,2024,150,1.277019807628105,22.027047716051065,5.665282800998107
Turkmenistan,Emerging,2024,261,1.2247470014358541,20.78750671631756,4.895833333333334
Uzbekistan,Emerging,2013,365,1.533922899681491,31.70680047695378,5.583889296235682
Uzbekistan,Emerging,2019,1096,1.6825987919243013,35.71428571428563,5.853009904273006
Uzbekistan,Emerging,2024,900,2.3536916265052654,119.27157293487389,10.779610762743273
Vanuatu,SIDS_small,2009,103,1.2596106671964526,26.110724994086425,3.4684398780964782
Vanuatu,SIDS_small,2023,93,1.5208190139235565,59.7233450681846,7.861112484848486
Vietnam,Lower_mid_transition,2009,1001,1.3062468998853942,27.7777777777777,6.028708133971294
Vietnam,Lower_mid_transition,2015,975,1.4570430794923435,41.753754925126465,6.7141168502912505
Vietnam,Lower_mid_transition,2023,1025,1.471318328218436,38.34574988752671,7.2381241711874615
Yemen,Emerging,2010,324,1.7281579106285048,99.0303392079324,7.001077308257983
Yemen,Emerging,2013,276,2.0662841854305274,131.1651671567905,11.906653941034747
