economy,group,year,n
Afghanistan,Emerging,2014,410
Afghanistan,Emerging,2025,426
Armenia,Upper_mid,2009,374
Armenia,Upper_mid,2013,360
Armenia,Upper_mid,2020,546
Armenia,Upper_mid,2024,375
Azerbaijan,Emerging,2024,368
Bahrain,Advanced_resource,2024,150
Bangladesh,Lower_mid_transition,2013,1442
Bangladesh,Lower_mid_transition,2022,998
Bhutan,Emerging,2009,250
Bhutan,Emerging,2015,253
Bhutan,Emerging,2024,155
Brunei,Advanced_resource,2025,150
Cambodia,Emerging,2016,373
Cambodia,Emerging,2023,519
China,Upper_mid,2024,2189
Fiji,SIDS_small,2009,164
Fiji,SIDS_small,2025,151
Georgia,Upper_mid,2013,360
Georgia,Upper_mid,2019,581
Georgia,Upper_mid,2023,592
HongKong,Advanced_innovation,2023,598
India,Lower_mid_transition,2014,9281
India,Lower_mid_transition,2022,9376
India,Lower_mid_transition,2025,10479
Indonesia,Lower_mid_transition,2009,1444
Indonesia,Lower_mid_transition,2015,1320
Indonesia,Lower_mid_transition,2023,2955
Iraq,Emerging,2011,756
Iraq,Emerging,2022,1019
Israel,Advanced_innovation,2013,483
Israel,Advanced_innovation,2024,388
Jordan,Emerging,2006,503
Jordan,Emerging,2013,573
Jordan,Emerging,2019,601
Jordan,Emerging,2024,592
Kazakhstan,Upper_mid,2009,544
Kazakhstan,Upper_mid,2013,600
Kazakhstan,Upper_mid,2019,1446
Kazakhstan,Upper_mid,2024,1013
Kiribati,SIDS_small,2025,150
Korea,Advanced_innovation,2024,1518
Kuwait,Advanced_resource,2025,150
KyrgyzRepublic,Emerging,2009,235
KyrgyzRepublic,Emerging,2013,270
KyrgyzRepublic,Emerging,2019,360
KyrgyzRepublic,Emerging,2023,354
Laos,Emerging,2009,360
Laos,Emerging,2012,379
Laos,Emerging,2016,368
Laos,Emerging,2018,332
Laos,Emerging,2024,363
Lebanon,Emerging,2013,561
Lebanon,Emerging,2019,532
Malaysia,Upper_mid,2015,1000
Malaysia,Upper_mid,2019,1221
Malaysia,Upper_mid,2024,979
Maldives,Emerging,2025,154
Mongolia,Lower_mid_transition,2009,362
Mongolia,Lower_mid_transition,2013,360
Mongolia,Lower_mid_transition,2019,360
Myanmar,Emerging,2014,632
Myanmar,Emerging,2016,607
Nepal,Emerging,2023,582
Oman,Advanced_resource,2026,299
Pakistan,Lower_mid_transition,2013,1247
Pakistan,Lower_mid_transition,2022,1300
PapuaNewGuinea,SIDS_small,2015,65
PapuaNewGuinea,SIDS_small,2024,145
Philippines,Lower_mid_transition,2023,1002
Qatar,Advanced_resource,2025,480
Samoa,SIDS_small,2009,109
Samoa,SIDS_small,2023,157
SaudiArabia,Advanced_resource,2025,1002
Singapore,Advanced_innovation,2023,623
SolomonIslands,SIDS_small,2015,151
SolomonIslands,SIDS_small,2025,150
SriLanka,Emerging,2011,610
SriLanka,Emerging,2025,607
Taiwan,Advanced_innovation,2024,612
Tajikistan,Emerging,2013,359
Tajikistan,Emerging,2019,352
Tajikistan,Emerging,2024,364
Thailand,Upper_mid,2016,1000
Thailand,Upper_mid,2025,813
TimorLeste,SIDS_small,2009,150
TimorLeste,SIDS_small,2015,126
TimorLeste,SIDS_small,2021,238
Tonga,SIDS_small,2009,150
Tonga,SIDS_small,2024,150
Turkmenistan,Emerging,2024,311
Uzbekistan,Emerging,2013,390
Uzbekistan,Emerging,2019,1239
Uzbekistan,Emerging,2024,1008
Vanuatu,SIDS_small,2009,128
Vanuatu,SIDS_small,2023,111
Vietnam,Lower_mid_transition,2009,1053
Vietnam,Lower_mid_transition,2015,996
Vietnam,Lower_mid_transition,2023,1028
Yemen,Emerging,2010,477
Yemen,Emerging,2013,353
