economy,year,group,n,website_s,website_c,rd_s,rd_c,iso_s,iso_c,prod_innov_s,prod_innov_c,fdi10_s,fdi10_c,fsts_s,fsts_c,exp_s,exp_c,lp_n,lp_sd
Afghanistan,2014,Emerging,410,80.0,410,151.0,390,78.0,396,183.0,406,0.0,410,1262.0,372,26.0,372,121,1.5113519260937256
Afghanistan,2025,Emerging,426,201.0,426,107.0,426,52.0,426,155.0,426,5.0,426,2510.0,426,50.0,426,424,1.4768225949240106
Armenia,2009,Upper_mid,374,213.0,373,0.0,0,95.0,371,0.0,0,33.0,370,2884.0,373,56.0,373,279,1.4215106028019588
Armenia,2013,Upper_mid,360,263.0,360,0.0,0,85.0,360,57.0,360,34.0,358,1627.0,356,44.0,356,243,1.159174158374457
Armenia,2020,Upper_mid,546,348.0,546,65.0,227,68.0,531,223.0,546,34.0,545,6543.0,543,160.0,543,434,1.0584161023006844
Armenia,2024,Upper_mid,375,243.0,375,55.0,374,57.0,364,97.0,375,29.0,375,4883.0,375,85.0,375,327,1.9696595153983363
Azerbaijan,2024,Emerging,368,211.0,367,66.0,341,58.0,337,91.0,363,17.0,366,2771.0,363,57.0,363,208,1.375643828869703
Bahrain,2024,Advanced_resource,150,129.0,150,39.0,148,84.0,146,89.0,148,30.0,149,2004.0,146,52.0,146,106,1.4761610920486414
Bangladesh,2013,Lower_mid_transition,1442,461.0,1441,442.0,1439,312.0,1427,491.0,1440,35.0,1442,31348.0,1442,364.0,1442,1389,1.3361242104634723
Bangladesh,2022,Lower_mid_transition,998,332.0,995,23.0,989,110.0,994,1.0,995,16.0,998,11495.0,997,130.0,997,967,1.2234912154801643
Bhutan,2009,Emerging,250,63.0,250,0.0,0,21.0,244,0.0,0,15.0,250,3268.0,250,46.0,250,250,1.558672738521735
Bhutan,2015,Emerging,253,88.0,252,0.0,0,20.0,248,111.0,253,13.0,251,3763.0,248,51.0,248,242,1.4570205456584122
Bhutan,2024,Emerging,155,102.0,154,5.0,155,13.0,153,30.0,155,4.0,155,2183.0,155,43.0,155,155,1.0584685257943887
Brunei,2025,Advanced_resource,150,121.0,150,28.0,148,41.0,148,71.0,149,39.0,149,752.0,148,16.0,148,108,1.1155672179147003
Cambodia,2007,Emerging,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,
Cambodia,2013,Emerging,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,
Cambodia,2016,Emerging,373,103.0,359,0.0,0,16.0,359,99.0,352,36.0,373,5305.0,373,58.0,373,373,1.5744060542988436
Cambodia,2023,Emerging,519,258.0,519,1.0,519,77.0,518,16.0,519,152.0,519,13145.0,519,142.0,519,519,0.8460542967153682
China,2024,Upper_mid,2189,913.0,2174,849.0,2157,797.0,2096,1037.0,2140,131.0,2178,19133.0,2175,447.0,2175,1953,1.3577981266857262
Fiji,2009,SIDS_small,164,68.0,163,0.0,0,37.0,149,0.0,0,25.0,158,1889.0,155,42.0,155,82,1.4619009684021476
Fiji,2025,SIDS_small,151,113.0,151,28.0,149,20.0,140,99.0,151,15.0,151,1838.0,147,51.0,147,97,1.1247937772622492
Georgia,2013,Upper_mid,360,164.0,357,0.0,0,43.0,359,36.0,360,19.0,359,1372.0,360,32.0,360,289,1.512931461165456
Georgia,2019,Upper_mid,581,319.0,581,72.0,154,56.0,554,247.0,578,68.0,580,9938.0,576,163.0,576,511,1.3697042101782593
Georgia,2023,Upper_mid,592,408.0,591,72.0,592,126.0,573,194.0,592,67.0,591,8192.0,590,144.0,590,562,1.2442131342317475
HongKong,2023,Advanced_innovation,598,392.0,596,50.0,577,122.0,521,95.0,592,82.0,571,10376.0,585,147.0,585,231,1.0774900840538548
India,2014,Lower_mid_transition,9281,4925.0,9269,4405.0,9232,4119.0,9176,4163.0,9270,85.0,9281,67249.0,9281,1451.0,9281,8960,1.262654767673284
India,2022,Lower_mid_transition,9376,5667.0,9375,297.0,9364,2497.0,9301,388.0,9372,130.0,9359,76244.0,9345,1271.0,9345,9319,1.2214566528797433
