dataset,country,year,website,foreign_tech,product_innov,process_innov,rd_spending,quality_cert,epayment_pct,epay_supp_pct,total_sales,employees,ln_labor_prod,ln_empl,export_pct,exporter,firm_age,manager_exp,foreign_own,TCI_thin,TCI_full,DAI_thin,DAI_rich
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,27500000000.0,323.0,18.25979951839628,5.777652323222656,8.0,1.0,1,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,90000000000.0,290.0,19.553194584296158,5.66988092298052,0.0,0.0,2,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,0.0,,,2000000000.0,45.0,17.609750527736036,3.8066624897703196,80.0,1.0,2,2,0.0,0.0,0.0,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,0.0,,,150000000000.0,65.0,21.55951386114703,4.174387269895637,100.0,1.0,1,2,0.0,0.0,0.0,0.5,1.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,2000000000.0,23.0,18.280918801577208,3.1354942159291497,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,35000000000.0,60.0,20.184269336213724,4.0943445622221,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,1.0,0.0,,,,0.0,,,20000000000.0,55.0,19.711664925267932,4.007333185232471,0.0,0.0,2,2,0.0,0.0,0.0,0.5,1.0
VNM_2009,VNM,2009,1.0,1.0,,,,0.0,,,2000000000.0,40.0,17.72753356339242,3.6888794541139363,90.0,1.0,2,1,0.0,0.5,0.5,1.0,1.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,10000000000.0,100.0,18.420680743952367,4.605170185988092,70.0,1.0,2,3,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,11880000000.0,200.0,17.899804784332872,5.298317366548036,100.0,1.0,2,3,100.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,1.0,1.0,,,,1.0,,,178000000000.0,2000.0,18.304146927696415,7.600902459542082,90.0,1.0,2,3,0.0,1.0,1.0,1.0,1.0
VNM_2009,VNM,2009,1.0,1.0,,,,1.0,,,620000000000.0,5000.0,18.63579212356931,8.517193191416238,84.0,1.0,1,3,0.0,1.0,1.0,1.0,1.0
VNM_2009,VNM,2009,0.0,,,,,0.0,,,2000000000.0,19.0,18.471974038339916,2.9444389791664403,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,1800000000.0,40.0,17.622173047734595,3.6888794541139363,100.0,1.0,2,2,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,1.0,,,,,1.0,,,178000000000.0,100.0,21.299879201250405,4.605170185988092,10.0,1.0,2,3,0.0,1.0,1.0,1.0,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,69000000000.0,500.0,18.742764243121478,6.214608098422191,15.0,1.0,2,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,52000000000.0,180.0,19.48155270463763,5.19295685089021,0.0,0.0,1,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,0.0,0.0,,,,1.0,,,170000000000.0,180.0,20.666107423106464,5.19295685089021,90.0,1.0,2,3,0.0,0.5,0.5,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,30000000000.0,60.0,20.030118656386467,4.0943445622221,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,91000000000.0,50.0,21.322102338035116,3.912023005428146,100.0,1.0,2,2,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,0.0,0.0,,,,0.0,,,15000000000.0,34.0,19.90495551343246,3.5263605246161616,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
VNM_2009,VNM,2009,1.0,1.0,,,,1.0,,,100000000000.0,197.0,20.045232294196513,5.2832037287379885,0.0,0.0,2,3,0.0,1.0,1.0,1.0,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,306000000000.0,700.0,19.895770603855386,6.551080335043404,45.0,1.0,2,3,100.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,129000000000.0,250.0,20.061617323445837,5.521460917862246,26.0,1.0,2,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,12000000000.0,60.0,19.11382792451231,4.0943445622221,0.0,0.0,2,2,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,0.0,,,2500000000.0,70.0,17.391061326771208,4.248495242049359,0.0,0.0,2,2,0.0,0.0,0.0,0.5,1.0
VNM_2009,VNM,2009,1.0,1.0,,,,0.0,,,,70.0,,4.248495242049359,2.0,1.0,2,1,0.0,0.5,0.5,1.0,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,17000000000.0,500.0,17.341871082580436,6.214608098422191,100.0,1.0,2,3,0.0,0.5,0.5,0.5,1.0
VNM_2009,VNM,2009,1.0,0.0,,,,1.0,,,8000000000.0,20.0,19.806975105072254,2.995732273553991,20.0,1.0,2,3,0.0,0.5,0.5,0.5,1.0
