country,year,source_file,n_firms,n_product_innov,n_process_innov,n_rd_spending
Azerbaijan,2024,Azerbaijan-2024-full-data.dta,368,363,360,341
Azerbaijan,2009,Azerbaijan_2009_2013_2019.dta,380,380,0,0
Azerbaijan,2013,Azerbaijan_2009_2013_2019.dta,390,390,0,0
Azerbaijan,2019,Azerbaijan_2009_2013_2019.dta,225,224,0,0
Comoros,2025,Comoros-2025-full-data.dta,153,153,153,153
Cyprus,2024,Cyprus-2024-full-data.dta,246,246,246,246
India,2014,India-2014-full-data.dta,9281,9270,9262,9232
India,2022,India-2022-full-data.dta,9376,9372,9365,9364
India,2025,India-2025-full-data.dta,10479,10476,10474,10478
Korea,2024,Korea-Republic-2024-full-data.dta,1518,1511,1511,1512
Laos,2024,Lao-PDR-2024-full-data.dta,363,363,363,362
Taiwan,2024,Taiwan-China-2024-full-data.dta,612,611,610,611
Turkey,2013,Turkey-2013-full-data.dta,1344,1319,1317,0
Turkey,2008,Turkey_2008_2013_2019.dta,1152,1148,0,0
Turkey,2013,Turkey_2008_2013_2019.dta,1344,1319,0,0
Turkey,2019,Turkey_2008_2013_2019.dta,1663,1651,0,0
Turkey,2024,Turkiye-2024-full-data.dta,1416,1406,1401,1401
