country,year,region,icrv_group,icrv_label,firm_id,ln_labor_prod,n3_sales_raw,l1_workers_raw,fsts,exporter,fsts_pct,dai_website,dai_epay,dai_epay_pct,dai_z,tci_cert,tci_foreign_tech,tci_z,mgr_experience,mgr_female,female_owner,foreign_own_pct,firm_age,size_strata,ln_size,isic_sector,legal_status,wstrict,wmedian
China,2024,East Asia,3,Upper_mid,1509768,,,40.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,35.0,0.0,0.0,,20.0,6.0,3.6888794541139363,3,2,215.68466186523438,550.9345092773438
China,2024,East Asia,3,Upper_mid,1509769,13.773546358865241,280000000.0,292.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,20.0,0.0,0.0,,21.0,14.0,5.676753802268282,1,2,1685.7017822265625,22462.703125
China,2024,East Asia,3,Upper_mid,1509770,13.958611401604948,30000000.0,26.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,28.0,0.0,1.0,,14.0,14.0,3.258096538021482,1,2,114.9742660522461,215.6379852294922
China,2024,East Asia,3,Upper_mid,1509771,14.326336181730264,10000000.0,6.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,21.0,1.0,1.0,,20.0,5.0,1.791759469228055,1,2,44.8192138671875,242.41673278808594
China,2024,East Asia,3,Upper_mid,1509772,13.60787119318603,6500000.0,8.0,1.0,1,100.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,32.0,0.0,1.0,,32.0,2.0,2.0794415416798357,2,2,802.3684692382812,665.1325073242188
China,2024,East Asia,3,Upper_mid,1509773,12.453908809434756,2050000.0,8.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,6.0,0.0,1.0,,24.0,10.0,2.0794415416798357,1,2,947.640869140625,9681.037109375
China,2024,East Asia,3,Upper_mid,1509774,13.89555326563781,65000000.0,60.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,40.0,0.0,0.0,,16.0,12.0,4.0943445622221,1,2,1053.5205078125,1991.642578125
China,2024,East Asia,3,Upper_mid,1509775,,,20.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,20.0,0.0,0.0,,21.0,9.0,2.995732273553991,3,2,122.3682861328125,491.8774108886719
China,2024,East Asia,3,Upper_mid,1509776,13.91631525708624,73000000.0,66.0,0.05,1,5.0,0.0,1.0,100.0,-0.3443543939006972,0.0,1.0,1.7042418005407087,20.0,0.0,0.0,,22.0,9.0,4.189654742026425,2,1,3954.53369140625,2572.45068359375
China,2024,East Asia,3,Upper_mid,1509777,13.173056491719846,2630000.0,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,1.0,0.0,,19.0,10.0,1.6094379124341003,1,2,1333.6343994140625,2334.702880859375
China,2024,East Asia,3,Upper_mid,1509778,,,20.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,18.0,0.0,1.0,,6.0,14.0,2.995732273553991,1,2,1729.56884765625,16582.43359375
China,2024,East Asia,3,Upper_mid,1509779,,,23.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,21.0,0.0,0.0,,20.0,14.0,3.1354942159291497,2,2,736.1618041992188,7126.72119140625
China,2024,East Asia,3,Upper_mid,1509780,13.057824856266757,15000000.0,32.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,23.0,0.0,0.0,,19.0,14.0,3.4657359027997265,1,2,24.041288375854492,52.75067901611328
