"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"(Intercept)",20.7158884604358,0.223979382682111,92.4901578545622,0,20.2768888703789,21.1548880504928,2978,0.110512587031368,"VNM_pooled","M0"
"lnEmp",-0.0857472932426904,0.0185005798878786,-4.63484354341084,3.72593819094101e-06,-0.122008429822932,-0.0494861566624484,2978,0.110512587031368,"VNM_pooled","M0"
"firmage",-0.516132164275526,0.100474814845083,-5.13693073305311,2.97298013221663e-07,-0.713062801371888,-0.319201527179164,2978,0.110512587031368,"VNM_pooled","M0"
"foreign",0.191197939202723,0.0789683880676017,2.42119592258926,0.0155290567374669,0.0364198985902241,0.345975979815223,2978,0.110512587031368,"VNM_pooled","M0"
"yr2015",0.615897807695843,0.061919726616112,9.94671393680833,5.92905595213035e-23,0.494535143528264,0.737260471863423,2978,0.110512587031368,"VNM_pooled","M0"
"yr2023",1.12776475475066,0.0623364997973871,18.091563665208,1.74021414808569e-69,1.00558521514778,1.24994429435354,2978,0.110512587031368,"VNM_pooled","M0"
"(Intercept)",20.4005959414504,0.229186681200926,89.0130082365711,0,19.9513900462966,20.8498018366042,2978,0.123896858993304,"VNM_pooled","M1"
"FSTSc",-0.552202466088,0.0833244386374947,-6.62713694946536,4.04868931570132e-11,-0.71551836581749,-0.38888656635851,2978,0.123896858993304,"VNM_pooled","M1"
"lnEmp",-0.0358922768589531,0.0200350292311423,-1.79147614135558,0.0733186640466409,-0.0751609341519919,0.00337638043408576,2978,0.123896858993304,"VNM_pooled","M1"
"firmage",-0.453314341903907,0.0994488615550284,-4.55826577414436,5.36603039294156e-06,-0.648234110551762,-0.258394573256051,2978,0.123896858993304,"VNM_pooled","M1"
"foreign",0.307555595471398,0.0788344857045889,3.90128244920478,9.78056353563809e-05,0.153040003490404,0.462071187452392,2978,0.123896858993304,"VNM_pooled","M1"
"yr2015",0.612219437490613,0.0614592386343105,9.96138987554643,5.14161331149336e-23,0.491759329767364,0.732679545213861,2978,0.123896858993304,"VNM_pooled","M1"
"yr2023",1.11106374027524,0.0617819034400968,17.983643727528,1.0140121415337e-68,0.989971209532648,1.23215627101783,2978,0.123896858993304,"VNM_pooled","M1"
"(Intercept)",20.7009193948134,0.232532565576583,89.0237431625279,0,20.2451555662833,21.1566832233435,2978,0.131432859839241,"VNM_pooled","M2"
"FSTSc",0.661140203559133,0.236481438325133,2.79573825430707,0.00521142143053977,0.197636584441872,1.12464382267639,2978,0.131432859839241,"VNM_pooled","M2"
"FSTScsq",-2.15176583915822,0.390322629890167,-5.51278781802558,3.83469135527759e-08,-2.91679819374294,-1.38673348457349,2978,0.131432859839241,"VNM_pooled","M2"
"lnEmp",-0.0481638315309612,0.0200032098251524,-2.40780514487226,0.0161093428563063,-0.0873701227882599,-0.0089575402736625,2978,0.131432859839241,"VNM_pooled","M2"
"firmage",-0.444034035283827,0.0990002452192043,-4.48518116597242,7.56151843584091e-06,-0.638074515913467,-0.249993554654186,2978,0.131432859839241,"VNM_pooled","M2"
"foreign",0.299809787639278,0.0781039990851727,3.8385971416436,0.000126319292022082,0.14672594943234,0.452893625846217,2978,0.131432859839241,"VNM_pooled","M2"
"yr2015",0.603123486852267,0.0612042244533969,9.85427872403655,1.45149495339163e-22,0.483163206923609,0.723083766780924,2978,0.131432859839241,"VNM_pooled","M2"
"yr2023",1.12232373812488,0.0615032576044439,18.2481998814284,1.34025046471451e-70,1.00177735322017,1.24287012302959,2978,0.131432859839241,"VNM_pooled","M2"
"(Intercept)",20.6525092015431,0.231242065344411,89.3112123470415,0,20.1992747534681,21.1057436496181,2974,0.140644518832964,"VNM_pooled","M3"
"FSTSc",0.526476020539898,0.238345164985778,2.20888063985403,0.0272591534101937,0.0593194971677738,0.993632543912023,2974,0.140644518832964,"VNM_pooled","M3"
"FSTScsq",-1.86898197334154,0.393667752195333,-4.74761258172393,2.15595724234132e-06,-2.64057076764439,-1.09739317903869,2974,0.140644518832964,"VNM_pooled","M3"
