sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
SGP2023,M0,lnEmp,-0.12,0.038,0.002,-0.195,-0.045,623,0.122
SGP2023,M0,firmage,0.017,0.005,0.001,0.008,0.026,623,0.122
SGP2023,M0,foreign,0.407,0.076,0.0,0.259,0.555,623,0.122
SGP2023,M2,FSTSc,2.652,0.691,0.0,1.297,4.007,617,0.178
SGP2023,M2,FSTSc2,-1.705,0.931,0.068,-3.53,0.12,617,0.178
SGP2023,M2,lnEmp,-0.124,0.037,0.001,-0.197,-0.051,617,0.178
SGP2023,M2,firmage,0.015,0.005,0.002,0.006,0.024,617,0.178
SGP2023,M2,foreign,0.307,0.078,0.0,0.154,0.46,617,0.178
SGP2023,M5,FSTSc,2.563,0.699,0.0,1.192,3.934,617,0.199
SGP2023,M5,FSTSc2,-1.168,0.94,0.215,-3.011,0.675,617,0.199
SGP2023,M5,TCI_z,0.168,0.04,0.0,0.09,0.246,617,0.199
SGP2023,M5,lnEmp,-0.175,0.037,0.0,-0.248,-0.102,617,0.199
SGP2023,M5,firmage,0.017,0.005,0.001,0.008,0.026,617,0.199
SGP2023,M5,foreign,0.293,0.076,0.0,0.144,0.442,617,0.199
SGP2023,M6,FSTSc,2.491,0.701,0.0,1.117,3.865,617,0.184
SGP2023,M6,FSTSc2,-1.389,0.928,0.134,-3.208,0.43,617,0.184
SGP2023,M6,DAI_z,0.104,0.038,0.007,0.029,0.179,617,0.184
SGP2023,M6,lnEmp,-0.135,0.037,0.0,-0.208,-0.062,617,0.184
SGP2023,M7,TCI_z,0.153,0.041,0.0,0.073,0.233,617,0.202
SGP2023,M7,DAI_z,0.077,0.039,0.048,0.001,0.153,617,0.202
SGP2023,M8,FSTSc,2.492,0.748,0.001,1.025,3.959,617,0.211
SGP2023,M8,FSTSc2,-2.543,1.045,0.015,-4.591,-0.495,617,0.211
SGP2023,M8,TCI_z,0.153,0.041,0.0,0.073,0.233,617,0.211
SGP2023,M8,DAI_z,0.019,0.05,0.705,-0.079,0.117,617,0.211
SGP2023,M8,FSTSc_DAI,-1.177,0.686,0.083,-2.522,0.168,617,0.211
SGP2023,M8,FSTSc2_DAI,3.119,1.124,0.005,0.916,5.322,617,0.211
SGP2023,M8,lnEmp,-0.168,0.037,0.0,-0.241,-0.095,617,0.211
SGP2023,M8,firmage,0.016,0.005,0.001,0.007,0.025,617,0.211
SGP2023,M8,foreign,0.284,0.078,0.0,0.131,0.437,617,0.211
