"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"(Intercept)",11.7683882040978,0.273023588131492,43.1039247730859,1.51038961434585e-188,11.2332619713601,12.3035144368355,623,0.0431575985614304,"SGP2023_full","M0"
"lnEmp",-0.142808164590333,0.0376031262592904,-3.79777371715337,0.000160390508682208,-0.216510292058542,-0.0691060371221238,623,0.0431575985614304,"SGP2023_full","M0"
"firm_age",-0.046882400217437,0.126915634303763,-0.369398147632683,0.711957308774511,-0.295637043452813,0.201872243017939,623,0.0431575985614304,"SGP2023_full","M0"
"foreign",0.398467886793098,0.0994635703327681,4.00616914775906,6.92186120015469e-05,0.203519288940873,0.593416484645324,623,0.0431575985614304,"SGP2023_full","M0"
"(Intercept)",11.5760312424591,0.240659738439351,48.1012375295021,4.28217127516592e-211,11.1043381551179,12.0477243298002,623,0.173282580539688,"SGP2023_full","M1"
"FSTSc",2.04049754709382,0.272030141955706,7.50099798656161,2.21294067405141e-13,1.50731846886064,2.57367662532701,623,0.173282580539688,"SGP2023_full","M1"
"lnEmp",-0.147493398125534,0.0373284802731888,-3.95122965216109,8.67203178961548e-05,-0.220657219460984,-0.0743295767900836,623,0.173282580539688,"SGP2023_full","M1"
"firm_age",0.0822990628764723,0.108066848513907,0.761556980778255,0.446614968864589,-0.129511960210786,0.29411008596373,623,0.173282580539688,"SGP2023_full","M1"
"foreign",0.287195412294934,0.0897323493925111,3.20057832252526,0.00144181890041044,0.111320007485612,0.463070817104256,623,0.173282580539688,"SGP2023_full","M1"
"(Intercept)",11.5733602846398,0.235227359664044,49.2007405140672,9.84134215200277e-216,11.1123146596982,12.0344059095813,623,0.187501074107115,"SGP2023_full","M2"
"FSTSc",3.64190018805248,0.564605095284799,6.45034948934606,2.2555372894015e-10,2.53527420129428,4.74852617481069,623,0.187501074107115,"SGP2023_full","M2"
"FSTScsq",-2.6302307282227,0.863608577417885,-3.04562830546087,0.00242098627033156,-4.32290353996176,-0.937557916483649,623,0.187501074107115,"SGP2023_full","M2"
"lnEmp",-0.140357130332246,0.0368997416980343,-3.80374289556945,0.000156706482886137,-0.212680624060393,-0.0680336366040986,623,0.187501074107115,"SGP2023_full","M2"
"firm_age",0.12494997519173,0.106443819039904,1.17385843836445,0.240904636349974,-0.0836799101264821,0.333579860509941,623,0.187501074107115,"SGP2023_full","M2"
"foreign",0.285308961852138,0.0890311660115098,3.20459648720375,0.00142228557794931,0.110807876469579,0.459810047234698,623,0.187501074107115,"SGP2023_full","M2"
"(Intercept)",11.4999405623913,0.234105549664658,49.1228874277616,3.19361794524252e-215,11.0410936850485,11.958787439734,623,0.210419971549462,"SGP2023_full","M3"
