model,term,pair,b_a,se_a,b_b,se_b,z,p
M7,FSTSc,VNM2009_vs_VNM2015,0.6791,0.426,1.0935,0.5326,-0.6075,0.5435
M7,FSTSc2,VNM2009_vs_VNM2015,-1.0728,0.6738,-2.0333,0.7381,0.9612,0.3365
M7,TCI_z,VNM2009_vs_VNM2015,0.2145,0.0459,0.1275,0.0496,1.2882,0.1977
M7,DAI_z,VNM2009_vs_VNM2015,0.1748,0.0419,-0.0443,0.0501,3.3531,0.0008
M8,FSTSc_DAIz,VNM2009_vs_VNM2015,-0.0927,0.4013,-0.2997,0.6311,0.2767,0.782
M8,FSTSc2_DAIz,VNM2009_vs_VNM2015,-0.0194,0.6605,-0.0091,0.871,-0.0095,0.9925
M7,FSTSc,VNM2009_vs_VNM2023,0.6791,0.426,0.6199,0.4799,0.0924,0.9264
M7,FSTSc2,VNM2009_vs_VNM2023,-1.0728,0.6738,-1.2045,0.6528,0.1404,0.8883
M7,TCI_z,VNM2009_vs_VNM2023,0.2145,0.0459,0.123,0.045,1.4233,0.1546
M7,DAI_z,VNM2009_vs_VNM2023,0.1748,0.0419,0.0953,0.046,1.2789,0.2009
M8,FSTSc_DAIz,VNM2009_vs_VNM2023,-0.0927,0.4013,-0.9121,0.4503,1.3584,0.1743
M8,FSTSc2_DAIz,VNM2009_vs_VNM2023,-0.0194,0.6605,1.0428,0.633,-1.1611,0.2456
M7,FSTSc,VNM2015_vs_VNM2023,1.0935,0.5326,0.6199,0.4799,0.6606,0.5089
M7,FSTSc2,VNM2015_vs_VNM2023,-2.0333,0.7381,-1.2045,0.6528,-0.8412,0.4003
M7,TCI_z,VNM2015_vs_VNM2023,0.1275,0.0496,0.123,0.045,0.0664,0.947
M7,DAI_z,VNM2015_vs_VNM2023,-0.0443,0.0501,0.0953,0.046,-2.0509,0.0403
M8,FSTSc_DAIz,VNM2015_vs_VNM2023,-0.2997,0.6311,-0.9121,0.4503,0.7899,0.4296
M8,FSTSc2_DAIz,VNM2015_vs_VNM2023,-0.0091,0.871,1.0428,0.633,-0.9769,0.3286
