model,term,coef,se,p,n
M2_all_2012,const,12.792532,0.089617,0.0,2610
M2_all_2012,FSTS,2.065418,0.378954,0.0,2610
M2_all_2012,FSTSsq,-2.091853,0.434516,1e-06,2610
M2_all_2012,lnEmp,-0.102263,0.022883,8e-06,2610
M2_all_2012,firmage,0.007605,0.00389,0.050598,2610
M2_all_2012,foreigndummy,0.112012,0.094681,0.236793,2610
M2_all_2024,const,12.376004,0.084061,0.0,1934
M2_all_2024,FSTS,1.498049,0.578293,0.009585,1934
M2_all_2024,FSTSsq,-1.58728,0.711697,0.025729,1934
M2_all_2024,lnEmp,0.117998,0.02338,0.0,1934
M2_all_2024,firmage,0.012366,0.003028,4.4e-05,1934
M2_all_2024,foreigndummy,0.256609,0.118584,0.030468,1934
M2_all_pooled,const,12.295547,0.065552,0.0,4544
M2_all_pooled,FSTS,1.784316,0.319464,0.0,4544
M2_all_pooled,FSTSsq,-1.828905,0.375311,1e-06,4544
M2_all_pooled,lnEmp,0.004726,0.016358,0.772666,4544
M2_all_pooled,firmage,0.011813,0.002294,0.0,4544
M2_all_pooled,foreigndummy,0.217189,0.074246,0.003442,4544
M2_all_pooled,wave2024,0.492188,0.039341,0.0,4544
M2_mfg_2012,const,12.532114,0.111569,0.0,1656
M2_mfg_2012,FSTS,1.993381,0.371111,0.0,1656
M2_mfg_2012,FSTSsq,-2.355923,0.414553,0.0,1656
M2_mfg_2012,lnEmp,-0.036715,0.025605,0.1516,1656
M2_mfg_2012,firmage,0.003986,0.003768,0.290098,1656
M2_mfg_2012,foreigndummy,0.159196,0.104271,0.126823,1656
M2_mfg_2024,const,12.268097,0.111722,0.0,1062
M2_mfg_2024,FSTS,0.887207,0.628901,0.158325,1062
M2_mfg_2024,FSTSsq,-1.496056,0.794236,0.059613,1062
M2_mfg_2024,lnEmp,0.202465,0.027973,0.0,1062
M2_mfg_2024,firmage,0.003644,0.003282,0.266888,1062
M2_mfg_2024,foreigndummy,0.320954,0.127342,0.011722,1062
M2_mfg_pooled,const,12.046932,0.083402,0.0,2718
M2_mfg_pooled,FSTS,1.588372,0.320433,1e-06,2718
M2_mfg_pooled,FSTSsq,-2.056356,0.372993,0.0,2718
M2_mfg_pooled,lnEmp,0.074911,0.019049,8.4e-05,2718
M2_mfg_pooled,firmage,0.004335,0.002426,0.074016,2718
M2_mfg_pooled,foreigndummy,0.253553,0.079639,0.001454,2718
M2_mfg_pooled,wave2024,0.704028,0.046884,0.0,2718
