term,coef,se,p,N
DOI,1.3790276129807677,0.4012973530756025,0.0005894490166722443,3559
DOIsq,-1.7207622607826747,0.4403527335088825,9.318250599318167e-05,3559
wave2024,0.542396792963018,0.04542145366842573,7.198103410019551e-33,3559
DOI_w24,0.6782063604141746,0.8756094190658373,0.4386035296370433,3559
DOIsq_w24,-0.2898297465014601,0.9749035188850574,0.7662445835841873,3559
Tech,0.3798049454621247,0.035371612688772085,6.781020555154893e-27,3559
DOI_Tech,-0.41406071561067914,0.5393423564792736,0.44265707528936404,3559
DOIsq_Tech,0.051162636208937615,0.6151717362196703,0.9337179138852346,3559
DOI_w24_Tech,-0.37616079009042197,0.8978332236660048,0.6752416355146447,3559
DOIsq_w24_Tech,0.2493804279315848,1.0757225979503184,0.8166731902291489,3559
F1_shift,,,0.10701479900735632,3559
F2_modX,,,0.03867296860543458,3559
F3_modDyn,,,0.7602706735782243,3559
