"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"(Intercept)",13.8708318268447,0.187034024318398,74.1620776080384,0,13.5042451391807,14.2374185145088,2684,0.0283251331242247,"CHN2012","M0"
"lnEmp",-0.0985832123802244,0.0208564937020246,-4.72673948884584,2.3994483835165e-06,-0.139461940036193,-0.0577044847242561,2684,0.0283251331242247,"CHN2012","M0"
"firmage",-0.509311866813482,0.0753395246825194,-6.76022139719784,1.68457031554939e-11,-0.65697733519122,-0.361646398435744,2684,0.0283251331242247,"CHN2012","M0"
"foreign",0.146498715631818,0.0890917399172771,1.64435800409604,0.100219558727622,-0.0281210946060456,0.321118525869681,2684,0.0283251331242247,"CHN2012","M0"
"(Intercept)",13.882419771367,0.188146199368914,73.7852787775247,0,13.513653220604,14.2511863221301,2684,0.0290118912319292,"CHN2012","M1"
"FSTSc",0.12937020615645,0.0953032957793321,1.35745784129017,0.174750117432124,-0.0574242535710406,0.316164665883941,2684,0.0290118912319292,"CHN2012","M1"
"lnEmp",-0.101713710311772,0.0212439743914082,-4.78788518747735,1.77713589404855e-06,-0.143351900118932,-0.0600755205046116,2684,0.0290118912319292,"CHN2012","M1"
"firmage",-0.508434878543446,0.0752800873453515,-6.75390925373098,1.75839778810932e-11,-0.655983849740335,-0.360885907346557,2684,0.0290118912319292,"CHN2012","M1"
"foreign",0.12251423254402,0.0908448436490003,1.34860964720663,0.177576371871268,-0.0555416610080207,0.30057012609606,2684,0.0290118912319292,"CHN2012","M1"
"(Intercept)",14.004239181192,0.191090682495025,73.2858295252392,0,13.6297014435018,14.3787769188823,2684,0.0335571650809618,"CHN2012","M2"
"FSTSc",0.943731810913173,0.246899394977245,3.82233342856166,0.000135205015390839,0.459808996757773,1.42765462506857,2684,0.0335571650809618,"CHN2012","M2"
"FSTScsq",-1.28387735288646,0.363703226519973,-3.5300136464859,0.00042254284743997,-1.9967356768656,-0.571019028907309,2684,0.0335571650809618,"CHN2012","M2"
"lnEmp",-0.111195088033441,0.0214750205686608,-5.1778803972701,2.41070826093841e-07,-0.153286128348016,-0.0691040477188658,2684,0.0335571650809618,"CHN2012","M2"
"firmage",-0.51393129165406,0.0750078331422506,-6.85170161734177,9.02079736865886e-12,-0.660946644612871,-0.366915938695249,2684,0.0335571650809618,"CHN2012","M2"
"foreign",0.095957520784244,0.0905661842192151,1.05952924495504,0.289454369565058,-0.0815522002854176,0.273467241853906,2684,0.0335571650809618,"CHN2012","M2"
"(Intercept)",13.7735252490159,0.197520851194254,69.7320063463585,0,13.3863843806751,14.1606661173566,2684,0.0479562534804782,"CHN2012","M3"
"FSTSc",0.723056320728139,0.249359423253009,2.89965508941085,0.00376615724099513,0.234311851152243,1.21180079030404,2684,0.0479562534804782,"CHN2012","M3"
