model,var,coef,se,p,N,wave
M1,FSTS,0.33109909813009397,0.11651589417729068,0.004487867066688429,2610,2012
M2,FSTS,2.0654175381998683,0.3789537033847259,5.0280320942670213e-08,2610,2012
M2,FSTSsq,-2.0918532560390646,0.4345162845309793,1.4778229373520635e-06,2610,2012
M3,FSTS,1.7078508872140643,0.36855845992047365,3.588976121293517e-06,1639,2012
M3,FSTSsq,-2.0479344553466716,0.413698055607408,7.409459572617051e-07,1639,2012
M3,TCIfull,0.2519523279721192,0.0433377941582509,6.1111991585915006e-09,1639,2012
M4,FSTS,2.0130708708209437,0.37841138808313024,1.0388445081859336e-07,2610,2012
M4,FSTSsq,-2.056013054957429,0.43332208815933043,2.087447820464938e-06,2610,2012
M4,DAIthin,0.06749157433593654,0.027238492249291382,0.013219470301218835,2610,2012
M5,TCIfull,0.2757312476959544,0.0431372802456182,1.637857146155543e-10,1639,2012
M6,DAIthin,0.07720947847194935,0.027336927016200798,0.004737430029702421,2610,2012
M7,TCIfull,0.2904543340844822,0.04815168525421288,1.61872668088017e-09,1639,2012
M7,DAIthin,-0.023074000461144734,0.0389790915249082,0.5538784488172728,1639,2012
M8,FSTS,1.7110252740256315,0.3686875829645003,3.469720827027837e-06,1639,2012
M8,FSTSsq,-2.0455358127628753,0.4136484061165497,7.610187844069826e-07,1639,2012
M8,TCIfull,0.26583897222914576,0.04842774284019617,4.0331453680275415e-08,1639,2012
M8,DAIthin,-0.021849373399701073,0.03893127681909721,0.5746412284368023,1639,2012
M1,FSTS,0.15703355205369537,0.17458650567560322,0.36840777292407223,1934,2024
M2,FSTS,1.498049413802166,0.5782930840094233,0.00958456836818261,1934,2024
M2,FSTSsq,-1.5872796864728171,0.7116966883167367,0.025729158729276107,1934,2024
M3,FSTS,0.8643057100663718,0.5933566893438263,0.14521642140804814,1920,2024
M3,FSTSsq,-0.9326513831419092,0.7219442435958424,0.19640539591706518,1920,2024
M3,TCIfull,0.4165910769713793,0.04746723988510724,1.6880358693459681e-18,1920,2024
M4,FSTS,1.2267843276581094,0.5949358099097063,0.039203465426640625,1934,2024
M4,FSTSsq,-1.3245601154001974,0.7316815125110668,0.07024989702501977,1934,2024
M4,DAIthin,0.1787675432727668,0.044927823786760655,6.920747438098782e-05,1934,2024
M5,TCIfull,0.425753885764086,0.04659873266076011,6.444784336568985e-20,1920,2024
M6,DAIthin,0.18760480821501846,0.044329424688218946,2.3156007366334705e-05,1934,2024
M7,TCIfull,0.4183541958685385,0.054991469756579654,2.791896279334488e-14,1920,2024
M7,DAIthin,0.012174750051185346,0.05176414740241984,0.8140561660851658,1920,2024
M8,FSTS,0.8594465496707384,0.5965843312238708,0.14969432688738965,1920,2024
M8,FSTSsq,-0.9284259693899397,0.7253378899987287,0.20054830203784235,1920,2024
M8,TCIfull,0.4110547258162468,0.05532584377196548,1.0883973066514113e-13,1920,2024
M8,DAIthin,0.009209205019899802,0.051867152360964515,0.8590734855329479,1920,2024
M1,FSTS,0.2571855930019861,0.0978067649211554,0.008550357763955475,4544,pooled
M2,FSTS,1.7843164482230587,0.3194644361119103,2.3324783243427067e-08,4544,pooled
M2,FSTSsq,-1.8289045439908445,0.3753114456207214,1.0989862189747312e-06,4544,pooled
M3,FSTS,1.2642986163754852,0.31877603166005336,7.305726213372666e-05,3559,pooled
M3,FSTSsq,-1.4889834095405843,0.375237274478894,7.244438634547471e-05,3559,pooled
M3,TCIfull,0.3458891976536849,0.03249506361018508,1.8525032070372655e-26,3559,pooled
M4,FSTS,1.6804087311225366,0.3203258274777159,1.5549103117688412e-07,4544,pooled
M4,FSTSsq,-1.745017158704711,0.37604579737950733,3.4767169835676586e-06,4544,pooled
M4,DAIthin,0.10579167410646917,0.02367758229086848,7.895062141404923e-06,4544,pooled
M5,TCIfull,0.3607702322368785,0.03207726828728473,2.398410671427426e-29,3559,pooled
M6,DAIthin,0.11501633243613836,0.023624384846317133,1.124240866862579e-06,4544,pooled
M7,TCIfull,0.365426232398203,0.037080032310841844,6.517269480917282e-23,3559,pooled
M7,DAIthin,-0.00750883118542457,0.032704755583681994,0.8184069005793574,3559,pooled
M8,FSTS,1.2664994148108177,0.3191365408606372,7.232070264457734e-05,3559,pooled
M8,FSTSsq,-1.4895374562665704,0.3751865184327384,7.183487073584423e-05,3559,pooled
M8,TCIfull,0.3512551034530758,0.03735692507318291,5.319212978920767e-21,3559,pooled
M8,DAIthin,-0.008713214951846718,0.03267770171887726,0.7897455873252444,3559,pooled
