study_id,author,year,enrich_status,enrich_doi,corpus_doi,corpus_title,corpus_journal,corpus_year,n_candidates,title_overlap,match_confidence,agrees_enrich
S01,Siddharthan & Lall,1982,verified,10.1111/j.1468-0084.1982.mp44001001.x,,,,,0,,no_corpus_match,no
S02,Grant,1987,author_year_guess,,,,,,0,,no_corpus_match,no
S03,Sambharya,1995,not_found,,,,,,0,,no_corpus_match,no
S04,McDougall & Oviatt,1996,verified,10.1016/0883-9026(95)00081-x,10.1016/0883-9026(95)00081-x,"New venture internationalization, strategic change, and performance: A follow-up study",Journal of Business Venturing,1996,1,1.0,confirmed_title,yes
S05,Tallman & Li,1996,author_year_guess,10.2307/40157567,10.2307/256635,EFFECTS OF INTERNATIONAL DIVERSITY AND PRODUCT DIVERSITY ON THE PERFORMANCE OF MULTINATIONAL FIRMS.,Academy of Management Journal,1996,2,0.0,candidate_multi,no
S06,Hitt et al.,1997,author_year_guess,10.5465/amr.1998.533223,,,,,0,,no_corpus_match,no
S07,Wan,1998,author_year_guess,,,,,,0,,no_corpus_match,no
S08,Gomes & Ramaswamy,1999,not_found,,,,,,0,,no_corpus_match,no
S09,Li,2001,author_year_guess,10.1149/1.1467947,10.2139/ssrn.305119,Firms' Clustering and South-Eastern-Europe Export Performance: Lessons from the Italian Experience,SSRN Electronic Journal,2002,2,0.0,candidate_multi,no
S10,Qian,2002,title_match,10.1016/s0883-9026(01)00080-5,,,,,0,,no_corpus_match,no
S11,Capar & Kotabe,2003,verified,10.1057/palgrave.jibs.8400036,,,,,0,,no_corpus_match,no
S12,Hsu & Boggs,2003,author_year_guess,10.1097/00003081-200206000-00004,10.1108/1525383x200300015,Internationalization and Performance: Traditional Measures and Their Decomposition,Multinational Business Review,2003,1,0.0,candidate_unique,no
S13,Ruigrok & Wagner,2003,title_match,,,,,,0,,no_corpus_match,no
S14,Majocchi & Zucchella,2003,not_found,,10.1177/02662426030213001,Internationalization and Performance,International Small Business Journal Researching Entrepreneurship,2003,1,0.38,candidate_unique,no
S15,Carpenter & Sanders,2004,verified,10.1016/j.jm.2004.02.001,10.1016/j.jm.2004.02.001,The Effects of Top Management Team Pay and Firm Internationalization on MNC Performance,Journal of Management,2004,1,1.0,confirmed_title,yes
S16,Kim et al.,2004,author_year_guess,10.1177/0363546504272687,10.21739/ibr.2005.12.9.2.381,A Study on the Relationship Between Multinationality and Firm Performance,INTERNATIONAL BUSINESS REVIEW,2005,1,0.0,candidate_unique,no
