study_id,author,year,final_doi,source,confidence,ref_doi,openalex_doi,openalex_status,corpus_doi,n_sources_agree
S01,Siddharthan & Lall,1982,10.1111/j.1468-0084.1982.mp44001001.x,references+openalex,high,10.1111/j.1468-0084.1982.mp44001001.x,10.1111/j.1468-0084.1982.mp44001001.x,verified,,2
S02,Grant,1987,,,none,,,author_year_guess,,0
S03,Sambharya,1995,,,none,,,not_found,,0
S04,McDougall & Oviatt,1996,10.1016/0883-9026(95)00081-x,references+openalex+corpus,high,10.1016/0883-9026(95)00081-x,10.1016/0883-9026(95)00081-x,verified,10.1016/0883-9026(95)00081-x,3
S05,Tallman & Li,1996,10.2307/256635,references,medium,10.2307/256635,,author_year_guess,,1
S06,Hitt et al.,1997,10.2307/256948,references,medium,10.2307/256948,,author_year_guess,,1
S07,Wan,1998,,,none,,,author_year_guess,,0
S08,Gomes & Ramaswamy,1999,,,none,,,not_found,,0
S09,Li,2001,,,none,,,author_year_guess,,0
S10,Qian,2002,10.1016/s0883-9026(01)00079-5,references,review,10.1016/s0883-9026(01)00079-5,10.1016/s0883-9026(01)00080-5,title_match,,1
S11,Capar & Kotabe,2003,10.1057/palgrave.jibs.8400036,references+openalex,high,10.1057/palgrave.jibs.8400036,10.1057/palgrave.jibs.8400036,verified,,2
S12,Hsu & Boggs,2003,10.1108/1525383x200300015,references,medium,10.1108/1525383x200300015,,author_year_guess,,1
S13,Ruigrok & Wagner,2003,,,none,,,title_match,,0
S14,Majocchi & Zucchella,2003,10.1177/0266242603021003001,references,medium,10.1177/0266242603021003001,,not_found,,1
S15,Carpenter & Sanders,2004,10.1016/j.jm.2004.02.001,references+openalex+corpus,high,10.1016/j.jm.2004.02.001,10.1016/j.jm.2004.02.001,verified,10.1016/j.jm.2004.02.001,3
S16,Kim et al.,2004,,,none,,,author_year_guess,,0
S17,Lu & Beamish,2004,10.2307/20159604,references,medium,10.2307/20159604,,author_year_guess,,1
S18,Thomas & Eden,2004,10.1108/1525383x200400005,references+openalex,high,10.1108/1525383x200400005,10.1108/1525383x200400005,verified,,2
S19,Chiao et al.,2006,10.1007/s11187-005-5604-6,references+openalex+corpus,high,10.1007/s11187-005-5604-6,10.1007/s11187-005-5604-6,verified,10.1007/s11187-005-5604-6,3
S20,Elango,2006,10.1108/1525383x200600015,references,medium,10.1108/1525383x200600015,,doi_mismatch_check,,1
S21,Hsu,2006,,,none,,,author_year_guess,,0
S22,Thomas,2006,10.1016/j.jbusres.2005.09.008,references,review,10.1016/j.jbusres.2005.09.008,10.1016/j.jbusres.2005.08.008,title_corrected,,1
S23,Chari et al.,2007,10.1016/j.jwb.2007.02.007,references,review,10.1016/j.jwb.2007.02.007,10.1016/j.jwb.2007.02.004,title_corrected,,1
