study_id,author,year,verify_status,candidate_doi,oa_doi_returned,oa_title_returned,oa_author_returned,apa_title,search_openalex_web,search_openalex_api,search_scholar,correct_doi,decision,notes
S20,Elango,2006,doi_mismatch_check,10.1108/1525383x200600015,10.1108/1525383x200600015,International Channels of Distribution: A Classification System for Analyzing Research Studies,Prescott C. Ensign,An empirical analysis of the relationship between international activity and firm performance,"https://openalex.org/works?filter=default.search:An%20empirical%20analysis%20of%20the%20relationship%20between%20international%20activity%20and%20firm%20performance,publication_year:2006","https://api.openalex.org/works?filter=title.search:An%20empirical%20analysis%20of%20the%20relationship%20between%20international%20activity%20and%20firm%20performance,publication_year:2006&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=An+empirical+analysis+of+the+relationship+between+international+activity+and+firm+performance+2006,,,
S22,Thomas,2006,doi_mismatch_check,10.1016/j.jbusres.2005.09.008,10.1016/j.jbusres.2005.09.008,Defending the market in Latin America: Appreciating Costa Rica's success,Forrest D. Colburn,International diversification and firm performance in Mexican firms: A curvilinear relationship,"https://openalex.org/works?filter=default.search:International%20diversification%20and%20firm%20performance%20in%20Mexican%20firms:%20A%20curvilinear%20relationship,publication_year:2006","https://api.openalex.org/works?filter=title.search:International%20diversification%20and%20firm%20performance%20in%20Mexican%20firms%3A%20A%20curvilinear%20relationship,publication_year:2006&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=International+diversification+and+firm+performance+in+Mexican+firms%3A+A+curvilinear+relationship+2006,,,
S23,Chari et al.,2007,doi_mismatch_check,10.1016/j.jwb.2007.02.007,10.1016/j.jwb.2007.02.007,Call for papers,,International diversification and firm performance: Role of information technology investments,"https://openalex.org/works?filter=default.search:International%20diversification%20and%20firm%20performance:%20Role%20of%20information%20technology%20investments,publication_year:2007","https://api.openalex.org/works?filter=title.search:International%20diversification%20and%20firm%20performance%3A%20Role%20of%20information%20technology%20investments,publication_year:2007&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=International+diversification+and+firm+performance%3A+Role+of+information+technology+investments+2007,,,
S30,Brock & Yaffe,2008,doi_mismatch_check,10.1016/j.ibusrev.2008.08.001,10.1016/j.ibusrev.2008.08.001,HRM practices affecting extrinsic and intrinsic motivation of knowledge receivers and their effect on intra-MNC knowledge transfer,Dana Minbaeva,International diversification and performance: The mediating role of implementation,"https://openalex.org/works?filter=default.search:International%20diversification%20and%20performance:%20The%20mediating%20role%20of%20implementation,publication_year:2008","https://api.openalex.org/works?filter=title.search:International%20diversification%20and%20performance%3A%20The%20mediating%20role%20of%20implementation,publication_year:2008&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=International+diversification+and+performance%3A+The+mediating+role+of+implementation+2008,,,
S34,Garbe & Richter,2009,doi_mismatch_check,10.1016/j.intman.2009.01.003,10.1016/j.intman.2009.01.003,Embracing risk as a core competence: The case of CEMEX,Donald R. Lessard,Causal analysis of the internationalization and firm performance relationship based on neural networks — advocating the transnational structure,"https://openalex.org/works?filter=default.search:Causal%20analysis%20of%20the%20internationalization%20and%20firm%20performance%20relationship%20based%20on%20neural%20networks%20%E2%80%94%20advocating%20the%20transnational%20structure,publication_year:2009","https://api.openalex.org/works?filter=title.search:Causal%20analysis%20of%20the%20internationalization%20and%20firm%20performance%20relationship%20based%20on%20neural%20networks%20%E2%80%94%20advocating%20the%20transnational%20structure,publication_year:2009&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Causal+analysis+of+the+internationalization+and+firm+performance+relationship+based+on+neural+networks+%E2%80%94+advocating+the+transnational+structure+2009,,,
S36,Pattnaik & Elango,2009,doi_mismatch_check,10.1108/1525383x200900012,10.1108/1525383x200900012,Country of Origin Effect on U.S. Consumers’ Brand Personality Perception of Automobiles from China and India,Marc Fetscherin,The impact of firm resources on the internationalization and performance relationship: A study of Indian manufacturing firms,"https://openalex.org/works?filter=default.search:The%20impact%20of%20firm%20resources%20on%20the%20internationalization%20and%20performance%20relationship:%20A%20study%20of%20Indian%20manufacturing%20firms,publication_year:2009","https://api.openalex.org/works?filter=title.search:The%20impact%20of%20firm%20resources%20on%20the%20internationalization%20and%20performance%20relationship%3A%20A%20study%20of%20Indian%20manufacturing%20firms,publication_year:2009&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+impact+of+firm+resources+on+the+internationalization+and+performance+relationship%3A+A+study+of+Indian+manufacturing+firms+2009,,,
S37,Ciszewska-Mlinaric & Mlinaric,2010,doi_mismatch_check,10.2478/v10051-010-0017-y,10.2478/v10051-010-0017-y,Factors Affecting Reading Speed Measurements of Coloured Web Pages,Mirko Gradišar,Internationalization and performance of small and medium-sized enterprises,"https://openalex.org/works?filter=default.search:Internationalization%20and%20performance%20of%20small%20and%20medium-sized%20enterprises,publication_year:2010","https://api.openalex.org/works?filter=title.search:Internationalization%20and%20performance%20of%20small%20and%20medium-sized%20enterprises,publication_year:2010&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization+and+performance+of+small+and+medium-sized+enterprises+2010,,,
S43,Endo & Ozaki,2011,doi_mismatch_check,10.1057/abm.2011.27,10.1057/abm.2011.27,"Innovation policy, competence creation and innovation performance of foreign subsidiaries: The case of South Korea",Axèle Giroud,International expansion and performance: Evidence from Japanese manufacturing firms,"https://openalex.org/works?filter=default.search:International%20expansion%20and%20performance:%20Evidence%20from%20Japanese%20manufacturing%20firms,publication_year:2011","https://api.openalex.org/works?filter=title.search:International%20expansion%20and%20performance%3A%20Evidence%20from%20Japanese%20manufacturing%20firms,publication_year:2011&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=International+expansion+and+performance%3A+Evidence+from+Japanese+manufacturing+firms+2011,,,
S46,Assaf et al.,2012,doi_mismatch_check,10.1016/j.ijhm.2011.05.003,10.1016/j.ijhm.2011.05.003,The influence of multiple types of service convenience on behavioral intentions: The mediating role of consumer satisfaction in a Taiwanese leisure setting,Yi-Wei Chang,The effects of internationalization on hotel financial performance,"https://openalex.org/works?filter=default.search:The%20effects%20of%20internationalization%20on%20hotel%20financial%20performance,publication_year:2012","https://api.openalex.org/works?filter=title.search:The%20effects%20of%20internationalization%20on%20hotel%20financial%20performance,publication_year:2012&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+effects+of+internationalization+on+hotel+financial+performance+2012,,,
S47,Almodóvar,2012,doi_mismatch_check,10.1111/1467-8551.12048,10.1111/1467-8551.12048,"Empowering Leadership, Psychological Empowerment and Employee Outcomes: Testing a Multi‐level Mediating Model",Kai Hung Fong,The M curve and the performance of Spanish international new ventures,"https://openalex.org/works?filter=default.search:The%20M%20curve%20and%20the%20performance%20of%20Spanish%20international%20new%20ventures,publication_year:2012","https://api.openalex.org/works?filter=title.search:The%20M%20curve%20and%20the%20performance%20of%20Spanish%20international%20new%20ventures,publication_year:2012&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+M+curve+and+the+performance+of+Spanish+international+new+ventures+2012,,,
