study_id,authors_from_file,year,best_title_or_title_hint,doi_verified_or_candidate,doi_url,retrieval_status,source_basis,fulltext_pdf_status
S02,Grant,1987,Multinationality and Performance among British Manufacturing Companies,10.1057/palgrave.jibs.8490413,https://doi.org/10.1057/palgrave.jibs.8490413,Verified DOI / publisher page located,Springer/ResearchGate search result verified,Open PDF not downloaded; check publisher/OA links manually
S03,Sambharya,1995,The combined effect of international diversification and product diversification strategies on the performance of U.S.-based multinational corporations,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S07,Wan,1998,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S08,Gomes & Ramaswamy,1999,An empirical examination of the form of the relationship between multinationality and performance,10.1057/palgrave.jibs.8490065,https://doi.org/10.1057/palgrave.jibs.8490065,Verified DOI / publisher page located,Springer/ASU/SCIRP search result verified,Open PDF not downloaded; check publisher/OA links manually
S09,Li,2001,,10.2139/ssrn.305119,https://doi.org/10.2139/ssrn.305119,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S13,Ruigrok & Wagner,2003,Internationalization and performance: An organizational learning perspective,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S49,Chen & Tan,2012,,10.1016/j.jwb.2012.06.001,https://doi.org/10.1016/j.jwb.2012.06.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S50,Li et al.,2012,,10.1016/j.ibusrev.2013.03.001,https://doi.org/10.1016/j.ibusrev.2013.03.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S58,Xiao et al.,2013,,10.1016/j.intman.2012.12.003,https://doi.org/10.1016/j.intman.2012.12.003,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S59,De Jong & van Houten,2014,,10.1108/ijchm-09-2012-0173,https://doi.org/10.1108/ijchm-09-2012-0173,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S65,Ren et al.,2015,,10.1371/journal.pone.0162175,https://doi.org/10.1371/journal.pone.0162175,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S66,Chen et al.,2015,,10.1016/j.jclepro.2015.12.105,https://doi.org/10.1016/j.jclepro.2015.12.105,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S67,Da Huo & Hung,2015,,10.17230/ad-minister.29.1,https://doi.org/10.17230/ad-minister.29.1,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
