study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes
S01,S01,Siddharthan & Lall,1982,-0.197,74,UK,1978,1981,I,1,L,PRE,FSTS,ACC,1,0,US MNE sub.
S02,S02_e1,Grant,1987,0.145,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg
S02,S02_e2,Grant,1987,0.163,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg
S02,S02_e3,Grant,1987,0.107,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg
S02,S02_e4,Grant,1987,-0.036,304,UK,1981,1985,I,1,L,PRE,GEO,ACC,1,0,British mfg
S03,S03,Sambharya,1995,0.005,53,USA,1988,1992,I,1,L,PRE,GEO,ACC,1,0,US MNEs
S04,S04,McDougall & Oviatt,1996,-0.03,62,USA,1988,1993,I,1,L,PRE,EXP,ACC,1,0,New ventures
S05,S05_e1,Tallman & Li,1996,0.01,192,USA,1987,1991,I,1,L,PRE,GEO,ACC,1,0,AMJ
S05,S05_e2,Tallman & Li,1996,0.19,192,USA,1987,1991,I,1,L,PRE,GEO,ACC,1,0,AMJ
S06,S06,Hitt et al.,1997,0.01,295,USA,1987,1993,I,1,L,PRE,FSTS,ACC,1,0,AMJ; Innovation mod.
S07,S07,Wan,1998,0.13,64,Hong Kong,1990,1995,I,1,L,PRE,GEO,ACC,1,0,APJM
S08,S08_e1,Gomes & Ramaswamy,1999,0.149,95,USA,1989,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; inverted-U
S08,S08_e2,Gomes & Ramaswamy,1999,-0.45,95,USA,1989,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; inverted-U
S09,S09,Li,2001,0.07,1684,Multi,1993,1997,MX,0,L,PRE,GEO,ACC,1,0,JIE
S10,S10,Qian,2002,0.43,71,USA/Multi,1996,1999,I,1,L,PRE,COMP,ACC,1,0,JBV
S11,S11,Capar & Kotabe,2003,0.341,81,Germany,1996,1999,I,1,L,PRE,FSTS,ACC,1,0,Services JIBS
S12,S12,Hsu & Boggs,2003,0.4435,118,Taiwan,1996,2001,I,1,L,PRE,FSTS,ACC,1,0,8 effects
S13,S13,Ruigrok & Wagner,2003,-0.1425,252,Germany,1993,2000,I,1,L,PRE,FSTS,ACC,1,0,JIBS; 4 effects
S14,S14_e1,Majocchi & Zucchella,2003,0.06,220,Italy,1997,2000,II,2,L,PRE,EXP,ACC,1,0,Italian SMEs
S14,S14_e2,Majocchi & Zucchella,2003,0.11,220,Italy,1997,2000,II,2,L,PRE,EXP,ACC,1,0,Italian SMEs
S15,S15,Carpenter & Sanders,2004,0.27,224,USA,1997,2000,I,1,L,PRE,FSTS,ACC,1,0,Upper Echelons
S16,S16,Kim et al.,2004,-0.0355,295,Korea,1997,2001,I,1,L,PRE,GEO,ACC,1,0,Korean firms 4 eff
S17,S17,Lu & Beamish,2004,-0.06,1489,Japan,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; S-curve
S18,S18,Thomas & Eden,2004,0.08,151,USA,1998,2002,I,1,L,PRE,FSTS,ACC,1,0,MBR; 4 effects
S19,S19,Chiao et al.,2006,0.056,1419,Taiwan,1998,2002,I,1,L,PRE,EXP,ACC,1,0,Taiwan SMEs
S20,S20_e1,Elango,2006,0.125,326,USA,1998,2003,I,1,L,PRE,FSTS,MIX,1,0,MBR 2 subsamples
S20,S20_e2,Elango,2006,0.226,393,USA,1998,2003,I,1,L,PRE,FSTS,MIX,1,0,MBR 2 subsamples
S21,S21,Hsu,2006,0.369,255,Taiwan,1999,2003,I,1,L,PRE,FSTS,ACC,1,0,
S22,S22,Thomas,2006,0.027,386,Mexico,1999,2003,III,3,L,PRE,EXP,ACC,1,0,Mexico firms
S23,S23_e1,Chari et al.,2007,0.25,131,USA,2000,2004,I,1,L,PRE,COMP,MIX,1,0,JWB 2 effects
S23,S23_e2,Chari et al.,2007,0.37,131,USA,2000,2004,I,1,L,PRE,COMP,MIX,1,0,JWB 2 effects
S24,S24,Fortanier et al.,2007,0.1,332,Multi,2000,2004,MX,0,L,PRE,FSTS,ACC,1,0,Host-country focus
S25,S25,Kumar & Gaur,2007,0.343,240,India,2000,2004,III,3,L,PRE,GEO,ACC,1,0,Indian groups
S26,S26,Ruigrok et al.,2007,-0.138,87,Switzerland,2000,2004,I,1,L,PRE,FSTS,ACC,1,0,Swiss firms
S27,S27,Richter,2007,-0.058,85,Germany,2000,2004,I,1,L,PRE,FSTS,ACC,1,0,
S28,S28_e1,Vilas-Boas & González,2007,-0.13,291,Spain,2000,2004,II,2,L,PRE,EXP,ACC,1,0,Spanish firms
S28,S28_e2,Vilas-Boas & González,2007,0.17,291,Spain,2000,2004,II,2,L,PRE,EXP,ACC,1,0,Spanish firms
S29,S29,Bae et al.,2008,0.06,672,Korea,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,5 effects
S30,S30_e1,Brock & Yaffe,2008,-0.04,89,Israel,2001,2005,I,1,L,PRE,GEO,ACC,1,0,4 effects
S30,S30_e2,Brock & Yaffe,2008,0.08,89,Israel,2001,2005,I,1,L,PRE,GEO,ACC,1,0,4 effects
S31,S31_e1,Kumar & Singh,2008,-0.145,75,India,2001,2005,III,3,L,PRE,EXP,LAB,1,0,India mfg
S31,S31_e2,Kumar & Singh,2008,-0.3,75,India,2001,2005,III,3,L,PRE,EXP,LAB,1,0,India mfg
S32,S32_e1,Pangarkar,2008,0.247,94,Singapore,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,Singapore listed
S32,S32_e2,Pangarkar,2008,0.286,94,Singapore,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,Singapore listed
S33,S33,Qian et al.,2008,0.232,189,USA/Multi,2001,2005,I,1,L,PRE,GEO,ACC,1,0,
S34,S34,Garbe & Richter,2009,-0.085,85,Germany,2002,2006,I,1,L,PRE,FSTS,ACC,1,0,3 effects
S35,S35,Gaur & Kumar,2009,-0.075,240,India,2002,2006,III,3,L,PRE,GEO,ACC,1,0,India business groups
S36,S36,Pattnaik & Elango,2009,-0.02,787,India,2002,2006,III,3,L,PRE,EXP,ACC,1,0,India exporters
S37,S37,Ciszewska-Mlinaric & Mlinaric,2010,0.133,67,Poland,2004,2008,II,2,L,SPN,EXP,ACC,1,0,Polish SMEs 6 eff
S38,S38,Chao & Kumar,2010,0.169,500,Multi,2004,2007,MX,0,L,SPN,COMP,ACC,1,0,Inst.distance mod
S39,S39,Chen & Hsu,2010,0.164,224,Taiwan,2004,2008,I,1,L,SPN,FSTS,ACC,1,0,
S40,S40_e1,Pan et al.,2010,0.05,332,China/Multi,2004,2008,III,3,L,SPN,FSTS,ACC,1,0,
S40,S40_e2,Pan et al.,2010,0.07,332,China/Multi,2004,2008,III,3,L,SPN,FSTS,ACC,1,0,
S41,S41,Nielsen,2010,0.09,165,Denmark,2003,2008,I,1,L,SPN,FSTS,ACC,1,0,Danish firms
S42,S42,Chiao & Yang,2011,-0.022,3194,Taiwan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,Large sample
S43,S43,Endo & Ozaki,2011,-0.054,316,Japan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,Japanese firms
S44,S44,Lin et al.,2011,-0.1,179,Taiwan,2005,2009,I,1,L,SPN,FSTS,ACC,1,0,
S45,S45_e1,Zhang & Toppinen,2011,0.25,50,China,2005,2009,III,3,L,SPN,EXP,ACC,1,0,Forestry sector
S45,S45_e2,Zhang & Toppinen,2011,0.31,50,China,2005,2009,III,3,L,SPN,EXP,ACC,1,0,Forestry sector
S46,S46,Assaf et al.,2012,-0.29,43,Multi/Hotels,2005,2010,MX,0,L,SPN,FSTS,ACC,1,0,Hotel industry
S47,S47,Almodóvar,2012,0.018,1067,Spain,2005,2010,II,2,L,SPN,EXP,ACC,1,0,Spanish mfg
S48,S48,Chang et al.,2012,0.18,335,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,
S49,S49_e1,Chen & Tan,2012,-0.011,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects
S49,S49_e2,Chen & Tan,2012,0.171,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects
S49,S49_e3,Chen & Tan,2012,0.24,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects
S50,S50,Li et al.,2012,0.135,278,China,2006,2010,III,3,L,SPN,GEO,ACC,1,0,
S51,S51_e1,Pan & Tsai,2012,0.05,281,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firms
S51,S51_e2,Pan & Tsai,2012,0.07,281,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firms
S52,S52,Polat & Mutlu,2012,0.266,103,Turkey,2006,2010,III,3,L,SPN,EXP,ACC,1,0,Turkish firms
S53,S53_e1,Tsao & Chen,2012,0.096,790,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firm 2 eff
S53,S53_e2,Tsao & Chen,2012,0.122,790,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firm 2 eff
S54,S54_e1,Fernhaber,2013,-0.16,253,USA,2005,2010,I,1,L,SPN,COMP,ACC,1,0,New ventures 2 eff
