study_id,author,year,title,journal,country,n_effects,r,n,icrv,doi,doi_confidence,is_oa,oa_url,cited_by_count,verify_status,notes
S04,McDougall & Oviatt,1996,"New venture internationalization, strategic change, and performance: A follow-up study",Journal of Business Venturing,USA,1,-0.03,62,I,10.1016/0883-9026(95)00081-x,high,False,,711,verified,New ventures
S05,Tallman & Li,1996,Timing of Breeding by Antbirds (Formicariidae) in an Aseasonal Environment in Amazonian Ecuador,Ornithological Monographs,USA,2,0.19; 0.01,192; 192,I,10.2307/256635,high,False,,21,author_year_guess,AMJ
S107,Song & Lee,2021,Acoustic regularities in infant-directed speech and song across cultures,Nature Human Behaviour,Korea,1,0.05,44,I,10.7275/x78z-g422,suggested,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10101735/pdf/nihms-1882109.pdf,170,author_year_guess,
S14,Majocchi & Zucchella,2003,,International Small Business Journal,Italy,1,0.06,220,II,10.1177/0266242603021003001,review,,,,not_found,Italian SMEs
S153,Wan & Hoskisson,2003,A Chinese herbal medicine Ermiao wan reduces serum uric acid level and inhibits liver xanthine dehydrogenase and xanthin,Journal of Ethnopharmacology,Multi,1,0.13,244,I,,,False,,103,author_year_guess,AMJ; home country institutions
S157,Boehe & Cruz,2010,Papel das relações interorganizacionais e da capacidade de inovação na propensão para exportar,REAd Revista Eletrônica de Administração (Porto Alegre),Brazil,1,0.18,168,III,,,True,https://www.scielo.br/j/read/a/9DKYw6XQzjPsQ5HBmDQWmrS/?lang=pt&format=pdf,10,author_year_guess,JBE; CSR differentiation
S164,"Gao, Murray, Kotabe & Lu",2010,Graphene chiral liquid crystals and macroscopic assembled fibres,Nature Communications,China,1,0.13,105,III,,,True,https://www.nature.com/articles/ncomms1583.pdf,1096,author_year_guess,JIBS; strategy tripod China
S188,Do & Phan,2025,The emergence of artemisinin partial resistance in Africa: how do we respond?,The Lancet Infectious Diseases,India mfg,1,-0.045,380,III,10.5772/intechopen.1011012,suggested,True,http://www.thelancet.com/article/S1473309924001415/pdf,154,author_year_guess,IntechOpen; India WBES; FGLS; ROS; manager moderator; r confirmed Table 3
S190,"Phan, Ninh & Do",2021,The role of Indigenous peoples and local communities in effective and equitable conservation,Ecology and Society,Turkey mfg,1,-0.04,263,II,10.5267/j.dsl.2020.7.001,medium,True,http://www.ecologyandsociety.org/vol26/iss3/art19/ES-2021-12625.pdf,817,author_year_guess,IntechOpen; WBES Turkey; FGLS; manager experience moderator
S194,Godbole,2024,Deciphering the mechanisms of action of progesterone in breast cancer,Oncotarget,India listed family,1,0.08,120,III,10.1002/bsd2.365,medium,True,https://www.oncotarget.com/article/28455/pdf/,10,author_year_guess,BSD 7(3); NIFTY500 family firms; GMM; financial+innovation
