study_id,effect_id,author,year,manual_r,manual_n,manual_country,manual_sample_start,manual_sample_end,manual_icrv,manual_dpl,manual_doi_type,manual_fp_type,manual_notes
S27,S27,Richter,2007,,,,,,,,,,
S04,S04,McDougall & Oviatt,1996,,,,,,,,,,
S107,S107_e1,Song & Lee,2021,,,,,,,,,,
S87,S87,Hojnik et al.,2018,,,,,,,,,,
S61,S61,Graves & Shan,2014,,,,,,,,,,
S34,S34,Garbe & Richter,2009,,,,,,,,,,
S23,S23_e2,Chari et al.,2007,,,,,,,,,,
S20,S20_e1,Elango,2006,,,,,,,,,,
S153,S153_e2,Wan & Hoskisson,2003,,,,,,,,,,
S05,S05_e2,Tallman & Li,1996,,,,,,,,,,
S05,S05_e1,Tallman & Li,1996,,,,,,,,,,
S20,S20_e2,Elango,2006,,,,,,,,,,
S68,S68,Benito-Osorio et al.,2015,,,,,,,,,,
S72,S72,Brida et al.,2016,,,,,,,,,,
S190,S190,"Phan, Ninh & Do",2021,,,,,,,,,,
S211,S211,Olmos & Díez-Vial,2015,,,,,,,,,,
S14,S14_e1,Majocchi & Zucchella,2003,,,,,,,,,,
S194,S194,Godbole,2024,,,,,,,,,,
S82,S82,Purkayastha et al.,2017,,,,,,,,,,
S221,S221,Vithessonthi & Racela,2016,,,,,,,,,,
S229,S229,Azman et al.,2022,,,,,,,,,,
S188,S188,Do & Phan,2025,,,,,,,,,,
S157,S157,Boehe & Cruz,2010,,,,,,,,,,
S89,S89_e2,Velez-Calle et al.,2018,,,,,,,,,,
S164,S164,"Gao, Murray, Kotabe & Lu",2010,,,,,,,,,,
S206,S206,Espinosa-Méndez & Jara,2021,,,,,,,,,,
S69,S69,Altaf & Shah,2016,,,,,,,,,,
S86,S86,Pouresmaeili et al.,2018,,,,,,,,,,
S212,S212,"Phan, Tran & Lu",2020,,,,,,,,,,
S75,S75_e2,Mohr & Batsakis,2016,,,,,,,,,,
S230,S230,Bhandari et al.,2023,,,,,,,,,,
S234,S234,Yip et al.,2000,,,,,,,,,,
