study_id,author,year,country,sample_start,sample_end,icrv,dpl,doi_type,fp_type,cdai
S01,Siddharthan & Lall,1982,UK,1978,1981,,,,,
S04,McDougall & Oviatt,1996,USA,1988,1993,,,,,
S10,Qian,2002,USA/Multi,1996,1999,,,,,
S103,Nath et al.,2021,India/Multi,2014,2018,,,,,
S107,Song & Lee,2021,Korea,2014,2019,,,,,
S111,Daniels & Bracker,1989,USA,1980,1986,,,,,
S119,"Bloodgood, Sapienza & Almeida",1996,USA,1988,1993,,,,,
S120,Pangarkar & Yuan,2009,Singapore/Asia,2003,2007,,,,,
S121,"Gaur, Kumar & Singh",2014,India,2007,2012,,,,,
S122,Luo & Tung,2015,China,2008,2013,,,,,
S131,Dobbs & Hamilton,2007,USA/Multi,1998,2003,,,,,
S137,Gomes & Ramaswamy,1999,Multi,1985,1995,,,,,
S138,Tallman & Li,1996,USA,1980,1988,,,,,
S139,"Aulakh, Kotabe & Teegen",2000,EME,1990,1996,,,,,
S14,Majocchi & Zucchella,2003,Italy,1997,2000,,,,,
S149,Filatotchev & Piesse,2009,Europe,1996,2003,,,,,
S151,Michel & Shaked,1986,USA,1975,1983,,,,,
S158,Singh & Gaur,2009,Asia,2000,2006,,,,,
S16,Kim et al.,2004,Korea,1997,2001,,,,,
S164,"Gao, Murray, Kotabe & Lu",2010,China,2000,2005,,,,,
S17,Lu & Beamish,2004,Japan,1986,1997,,,,,
S176,Khattak & Shah,2022,Pakistan,2014,2019,,,,,
S178,Lin & Liu,2022,Multi,2010,2017,,,,,
S179,"Chen, Zhang & Li",2022,China,2014,2019,,,,,
S182,Vo & Nguyen,2021,Vietnam non-state,2015,2019,,,,,
S186,"Torres, Kunc & O'Shannassy",2022,Multi SME,2014,2020,,,,,
S197,Calabrese & Manello,2018,Italy,2005,2015,,,,,
S198,Cao et al.,2022,China,2010,2020,,,,,
S199,Carr et al.,2010,Multi,2000,2007,,,,,
S213,Purkayastha et al.,2024,India,2014,2022,,,,,
S22,Thomas,2006,Mexico,1999,2003,,,,,
S234,Yip et al.,2000,Multi,1992,1998,,,,,
S235,Freixanet & Rialp,2021,Spain,2008,2016,,,,,
S30,Brock & Yaffe,2008,Israel,2001,2005,,,,,
S45,Zhang & Toppinen,2011,China,2005,2009,,,,,
S48,Chang et al.,2012,Taiwan,2006,2010,,,,,
S58,Xiao et al.,2013,China,2004,2008,,,,,
S60,Hilmersson,2014,Sweden/SME,2008,2012,,,,,
S62,Lee et al.,2014,Korea SME,2008,2012,,,,,
S64,Nguyen & Rugman,2015,Vietnam,2009,2013,,,,,
S69,Altaf & Shah,2016,Pakistan,2009,2014,,,,,
S72,Brida et al.,2016,Italy,2009,2014,,,,,
S80,Jin et al.,2017,China,2010,2015,,,,,
S84,Booltink & Saka-Helmhout,2018,Multi,2010,2015,,,,,
S96,Tashman et al.,2019,USA/CSR,2012,2017,,,,,
S97,Woo et al.,2019,Korea,2013,2017,,,,,
S98,Kim et al.,2020,Korea,2013,2018,,,,,
