study_id,author,year,country,sample_start,sample_end,icrv,dpl,doi_type,fp_type,cdai
S01,Siddharthan & Lall,1982,UK,1978,1981,I,PRE,FSTS,ACC,L
S04,McDougall & Oviatt,1996,USA,1988,1993,I,PRE,EXP,ACC,L
S10,Qian,2002,USA/Multi,1996,1999,I,PRE,COMP,ACC,L
S103,Nath et al.,2021,India/Multi,2014,2018,III,FOL,EXP,ACC,L
S107,Song & Lee,2021,Korea,2014,2019,I,FOL,FSTS,ACC,H
S111,Daniels & Bracker,1989,USA,1980,1986,I,PRE,FSTS,ACC,L
S119,"Bloodgood, Sapienza & Almeida",1996,USA,1988,1993,I,PRE,EXP,ACC,L
S120,Pangarkar & Yuan,2009,Singapore/Asia,2003,2007,I,PRE,FSTS,ACC,L
S121,"Gaur, Kumar & Singh",2014,India,2007,2012,III,SPN,GEO,ACC,L
S122,Luo & Tung,2015,China,2008,2013,III,SPN,GEO,ACC,L
S131,Dobbs & Hamilton,2007,USA/Multi,1998,2003,I,PRE,FSTS,ACC,L
S137,Gomes & Ramaswamy,1999,Multi,1985,1995,I,PRE,FSTS,ACC,L
S138,Tallman & Li,1996,USA,1980,1988,I,PRE,GEO,ACC,L
S139,"Aulakh, Kotabe & Teegen",2000,EME,1990,1996,III,PRE,EXP,ACC,L
S14,Majocchi & Zucchella,2003,Italy,1997,2000,II,PRE,EXP,ACC,L
S149,Filatotchev & Piesse,2009,Europe,1996,2003,I,SPN,FSTS,MKT,M
S151,Michel & Shaked,1986,USA,1975,1983,I,PRE,GEO,ACC,L
S158,Singh & Gaur,2009,Asia,2000,2006,III,SPN,GEO,MIX,L
S16,Kim et al.,2004,Korea,1997,2001,I,PRE,GEO,ACC,L
S164,"Gao, Murray, Kotabe & Lu",2010,China,2000,2005,III,SPN,FSTS,ACC,M
S17,Lu & Beamish,2004,Japan,1986,1997,I,PRE,GEO,ACC,L
S176,Khattak & Shah,2022,Pakistan,2014,2019,III,FOL,FSTS,ACC,L
S178,Lin & Liu,2022,Multi,2010,2017,MX,FOL,GEO,ACC,M
S179,"Chen, Zhang & Li",2022,China,2014,2019,III,FOL,FSTS,ACC,H
S182,Vo & Nguyen,2021,Vietnam non-state,2015,2019,III,FOL,EXP,ACC,M
S186,"Torres, Kunc & O'Shannassy",2022,Multi SME,2014,2020,MX,FOL,COMP,ACC,H
S197,Calabrese & Manello,2018,Italy,2005,2015,II,SPN,FSTS,ACC,M
S198,Cao et al.,2022,China,2010,2020,III,FOL,FSTS,ACC,H
S199,Carr et al.,2010,Multi,2000,2007,MX,PRE,FSTS,ACC,L
S213,Purkayastha et al.,2024,India,2014,2022,III,FOL,COMP,ACC,H
S22,Thomas,2006,Mexico,1999,2003,III,PRE,EXP,ACC,L
S234,Yip et al.,2000,Multi,1992,1998,MX,PRE,COMP,ACC,L
S235,Freixanet & Rialp,2021,Spain,2008,2016,II,FOL,EXP,MIX,M
S30,Brock & Yaffe,2008,Israel,2001,2005,I,PRE,GEO,ACC,L
S45,Zhang & Toppinen,2011,China,2005,2009,III,SPN,EXP,ACC,L
S48,Chang et al.,2012,Taiwan,2006,2010,I,SPN,FSTS,ACC,L
S58,Xiao et al.,2013,China,2004,2008,III,SPN,EXP,LAB,L
S60,Hilmersson,2014,Sweden/SME,2008,2012,I,SPN,COMP,ACC,M
S62,Lee et al.,2014,Korea SME,2008,2012,I,SPN,EXP,ACC,M
S64,Nguyen & Rugman,2015,Vietnam,2009,2013,III,SPN,FSTS,ACC,L
S69,Altaf & Shah,2016,Pakistan,2009,2014,FR,SPN,EXP,ACC,L
S72,Brida et al.,2016,Italy,2009,2014,II,SPN,FSTS,ACC,L
S80,Jin et al.,2017,China,2010,2015,III,SPN,EXP,ACC,L
S84,Booltink & Saka-Helmhout,2018,Multi,2010,2015,MX,SPN,OTH,ACC,M
S96,Tashman et al.,2019,USA/CSR,2012,2017,I,FOL,FSTS,ACC,H
S97,Woo et al.,2019,Korea,2013,2017,I,FOL,FSTS,ACC,H
S98,Kim et al.,2020,Korea,2013,2018,I,FOL,FSTS,ACC,H
