study_id,effect_id,label,r_i,r_lo,r_hi,icrv,cdai,dpl,n,doi_type,fp_type
N245,N245_e1,Abor 2011,0.049,0.005,0.093,FR,,PRE,1940,EXP,LAB
S69,S69,Altaf & Shah 2016,0.08,-0.067,0.224,FR,L,SPN,180,EXP,ACC
S86,S86,Pouresmaeili et al. 2018,0.69,0.615,0.753,FR,L,SPN,226,EXP,ACC
S212,S212,"Phan, Tran & Lu 2020",0.03,-0.178,0.236,FR,L,SPN,90,FSTS,ACC
S171,S171,"Buckley, Dunning & Pearce 1978",0.08,-0.022,0.18,I,L,PRE,370,GEO,ACC
S01,S01,Siddharthan & Lall 1982,-0.197,-0.407,0.033,I,L,PRE,74,FSTS,ACC
S151,S151,Michel & Shaked 1986,0.08,-0.178,0.327,I,L,PRE,60,GEO,ACC
S02,S02_e1,Grant 1987,0.145,0.033,0.253,I,L,PRE,304,GEO,ACC
S02,S02_e2,Grant 1987,0.163,0.051,0.271,I,L,PRE,304,GEO,ACC
S02,S02_e3,Grant 1987,0.107,-0.006,0.217,I,L,PRE,304,GEO,ACC
S02,S02_e4,Grant 1987,-0.036,-0.148,0.077,I,L,PRE,304,GEO,ACC
S111,S111,Daniels & Bracker 1989,0.05,-0.304,0.392,I,L,PRE,32,FSTS,ACC
S112,S112,"Geringer, Beamish & daCosta 1989",0.145,-0.053,0.332,I,L,PRE,100,GEO,ACC
S152,S152,Morck & Yeung 1991,0.04,-0.008,0.088,I,L,PRE,1644,GEO,MKT
S113,S113,"Kim, Hwang & Burgers 1993",0.035,-0.179,0.246,I,L,PRE,85,COMP,ACC
S114,S114,Sullivan 1994,0.09,-0.141,0.312,I,L,PRE,74,COMP,ACC
S03,S03,Sambharya 1995,0.005,-0.266,0.275,I,L,PRE,53,GEO,ACC
S115,S115,Ramaswamy 1995,0.07,-0.077,0.214,I,L,PRE,180,GEO,ACC
S04,S04,McDougall & Oviatt 1996,-0.03,-0.278,0.221,I,L,PRE,62,EXP,ACC
S05,S05_e1,Tallman & Li 1996,0.01,-0.132,0.151,I,L,PRE,192,GEO,ACC
S05,S05_e2,Tallman & Li 1996,0.19,0.05,0.323,I,L,PRE,192,GEO,ACC
S119,S119,"Bloodgood, Sapienza & Almeida 1996",0.05,-0.204,0.298,I,L,PRE,61,EXP,ACC
S138,S138,Tallman & Li 1996,0.12,-0.022,0.257,I,L,PRE,192,GEO,ACC
S06,S06,Hitt et al. 1997,0.01,-0.104,0.124,I,L,PRE,295,FSTS,ACC
S136,S136,"Hitt, Hoskisson & Kim 1997",0.14,0.026,0.25,I,L,PRE,295,COMP,ACC
S142,S142,Gomez-Mejia & Palich 1997,-0.08,-0.182,0.024,I,L,PRE,356,COMP,ACC
S167,S167_e1,Reuber & Fischer 1997,0.14,-0.147,0.405,I,L,PRE,49,GEO,ACC
S167,S167_e2,Reuber & Fischer 1997,0.28,-0.001,0.52,I,L,PRE,49,GEO,ACC
S170,S170,Shan & Song 1997,0.22,0.075,0.356,I,L,PRE,176,GEO,MKT
S07,S07,Wan 1998,0.13,-0.12,0.364,I,L,PRE,64,GEO,ACC
S08,S08_e1,Gomes & Ramaswamy 1999,0.149,-0.054,0.34,I,L,PRE,95,FSTS,ACC
S08,S08_e2,Gomes & Ramaswamy 1999,-0.45,-0.597,-0.273,I,L,PRE,95,FSTS,ACC
S116,S116,Delios & Beamish 1999,0.09,-0.008,0.187,I,L,PRE,399,GEO,ACC
S137,S137_e1,Gomes & Ramaswamy 1999,0.08,-0.031,0.19,I,L,PRE,311,FSTS,ACC
S137,S137_e2,Gomes & Ramaswamy 1999,-0.12,-0.228,-0.009,I,L,PRE,311,FSTS,ACC
S145,S145_e1,"Zahra, Ireland & Hitt 2000",0.22,0.113,0.322,I,L,PRE,321,GEO,ACC
S145,S145_e2,"Zahra, Ireland & Hitt 2000",0.31,0.208,0.406,I,L,PRE,321,GEO,ACC
S150,S150_e1,"Geringer, Tallman & Olsen 2000",0.07,-0.08,0.217,I,L,PRE,172,FSTS,ACC
S150,S150_e2,"Geringer, Tallman & Olsen 2000",-0.08,-0.227,0.07,I,L,PRE,172,FSTS,ACC
S169,S169_e1,"Isobe, Makino & Montgomery 2000",0.09,-0.064,0.24,I,L,PRE,164,FDI,ACC
S169,S169_e2,"Isobe, Makino & Montgomery 2000",0.15,-0.003,0.296,I,L,PRE,164,FDI,ACC
S117,S117,Lu & Beamish 2001,0.09,0.039,0.14,I,L,PRE,1489,GEO,ACC
S10,S10,Qian 2002,0.43,0.219,0.603,I,L,PRE,71,COMP,ACC
S140,S140,"Kotabe, Srinivasan & Aulakh 2002",0.07,-0.083,0.22,I,L,PRE,167,GEO,ACC
S141,S141,"Denis, Denis & Yost 2002",-0.06,-0.092,-0.028,I,L,PRE,3659,GEO,MKT
S11,S11,Capar & Kotabe 2003,0.341,0.133,0.521,I,L,PRE,81,FSTS,ACC
S12,S12,Hsu & Boggs 2003,0.444,0.286,0.578,I,L,PRE,118,FSTS,ACC
S13,S13,Ruigrok & Wagner 2003,-0.142,-0.261,-0.019,I,L,PRE,252,FSTS,ACC
S118,S118,"Contractor, Kundu & Hsu 2003",0.07,-0.125,0.26,I,L,PRE,103,FSTS,ACC
S153,S153_e1,Wan & Hoskisson 2003,0.09,-0.036,0.213,I,L,PRE,244,GEO,ACC
S153,S153_e2,Wan & Hoskisson 2003,0.13,0.004,0.251,I,L,PRE,244,GEO,ACC
N251,N251_e1,Goerzen 2003,0.088,-0.027,0.201,I,,PRE,290,GEO,MIX
S15,S15,Carpenter & Sanders 2004,0.27,0.144,0.387,I,L,PRE,224,FSTS,ACC
S16,S16,Kim et al. 2004,-0.035,-0.149,0.079,I,L,PRE,295,GEO,ACC
S17,S17,Lu & Beamish 2004,-0.06,-0.11,-0.009,I,L,PRE,1489,GEO,ACC
S18,S18,Thomas & Eden 2004,0.08,-0.081,0.237,I,L,PRE,151,FSTS,ACC
N239,N239_e1,Yu 2005,0.315,0.173,0.444,I,,SPN,170,COMP,ACC
S19,S19,Chiao et al. 2006,0.056,0.004,0.108,I,L,PRE,1419,EXP,ACC
S20,S20_e1,Elango 2006,0.125,0.017,0.23,I,L,PRE,326,FSTS,MIX
S20,S20_e2,Elango 2006,0.226,0.13,0.318,I,L,PRE,393,FSTS,MIX
S21,S21,Hsu 2006,0.369,0.258,0.471,I,L,PRE,255,FSTS,ACC
S160,S160_e1,Lu & Beamish 2006,-0.09,-0.14,-0.039,I,L,PRE,1489,FSTS,ACC
S160,S160_e2,Lu & Beamish 2006,0.09,0.039,0.14,I,L,PRE,1489,FSTS,ACC
S165,S165,Doukas & Kan 2006,-0.07,-0.138,-0.001,I,L,PRE,816,GEO,MKT
S23,S23_e1,Chari et al. 2007,0.25,0.082,0.404,I,L,PRE,131,COMP,MIX
S23,S23_e2,Chari et al. 2007,0.37,0.212,0.509,I,L,PRE,131,COMP,MIX
S26,S26,Ruigrok et al. 2007,-0.138,-0.339,0.075,I,L,PRE,87,FSTS,ACC
S27,S27,Richter 2007,-0.058,-0.268,0.157,I,L,PRE,85,FSTS,ACC
S131,S131,Dobbs & Hamilton 2007,0.03,-0.103,0.162,I,L,PRE,220,FSTS,ACC
S143,S143_e1,Chang & Wang 2007,0.05,-0.111,0.209,I,L,PRE,150,FSTS,ACC
S143,S143_e2,Chang & Wang 2007,0.18,0.02,0.331,I,L,PRE,150,FSTS,ACC
S163,S163,Ogasavara & Hoshino 2007,0.09,-0.122,0.294,I,L,PRE,88,FDI,ACC
S29,S29,Bae et al. 2008,0.06,-0.016,0.135,I,L,PRE,672,FSTS,ACC
S30,S30_e1,Brock & Yaffe 2008,-0.04,-0.246,0.17,I,L,PRE,89,GEO,ACC
S30,S30_e2,Brock & Yaffe 2008,0.08,-0.13,0.284,I,L,PRE,89,GEO,ACC
S32,S32_e1,Pangarkar 2008,0.247,0.047,0.428,I,L,PRE,94,FSTS,ACC
S32,S32_e2,Pangarkar 2008,0.286,0.089,0.462,I,L,PRE,94,FSTS,ACC
S33,S33,Qian et al. 2008,0.232,0.092,0.363,I,L,PRE,189,GEO,ACC
S144,S144,Pangarkar 2008,0.08,-0.081,0.237,I,M,SPN,150,GEO,ACC
S147,S147,"Qian, Li, Li & Qian 2008",0.11,0.059,0.16,I,M,SPN,1462,GEO,ACC
S34,S34,Garbe & Richter 2009,-0.085,-0.293,0.13,I,L,PRE,85,FSTS,ACC
S120,S120,Pangarkar & Yuan 2009,0.12,-0.041,0.275,I,L,PRE,150,FSTS,ACC
S149,S149,Filatotchev & Piesse 2009,0.15,0.027,0.268,I,M,SPN,254,FSTS,MKT
N242,N242_e1,Love 2009,0.144,-0.017,0.298,I,,SPN,149,EXP,LAB
Koh2009,Koh2009,Koh 2009,0.35,0.181,0.499,I,M,SPN,119,COMP,MIX
S39,S39,Chen & Hsu 2010,0.164,0.034,0.289,I,L,SPN,224,FSTS,ACC
S41,S41,Nielsen 2010,0.09,-0.064,0.239,I,L,SPN,165,FSTS,ACC
S156,S156_e1,"Bobillo, López-Iturriaga & Tejerina-Gaite 2010",0.06,0.001,0.119,I,M,SPN,1096,FSTS,ACC
S156,S156_e2,"Bobillo, López-Iturriaga & Tejerina-Gaite 2010",0.09,0.031,0.148,I,M,SPN,1096,FSTS,ACC
S200,S200,Chen & Hsu 2010,0.09,-0.049,0.226,I,L,PRE,200,FSTS,MKT
S42,S42,Chiao & Yang 2011,-0.022,-0.057,0.013,I,L,SPN,3194,FSTS,ACC
S43,S43,Endo & Ozaki 2011,-0.054,-0.163,0.057,I,L,SPN,316,FSTS,ACC
S44,S44,Lin et al. 2011,-0.1,-0.243,0.047,I,L,SPN,179,FSTS,ACC
S133,S133,"Lin, Liu & Cheng 2011",0.07,-0.056,0.193,I,L,SPN,246,FSTS,ACC
S134,S134,Pinheiro-Alves 2011,0.11,-0.034,0.25,I,L,SPN,186,EXP,ACC
S209,S209,Lin et al. 2011,0.06,-0.087,0.204,I,L,PRE,180,FSTS,MKT
Chiao2011,Chiao2011,Chiao 2011,-0.022,-0.057,0.013,I,H,FOL,3194,OTHER,MIX
Endo2011,Endo2011,Endo 2011,-0.054,-0.163,0.057,I,H,FOL,316,OTHER,MIX
S48,S48,Chang et al. 2012,0.18,0.074,0.282,I,L,SPN,335,FSTS,ACC
S51,S51_e1,Pan & Tsai 2012,0.05,-0.067,0.166,I,L,SPN,281,FSTS,ACC
S51,S51_e2,Pan & Tsai 2012,0.07,-0.047,0.185,I,L,SPN,281,FSTS,ACC
S53,S53_e1,Tsao & Chen 2012,0.096,0.026,0.165,I,L,SPN,790,FSTS,ACC
S53,S53_e2,Tsao & Chen 2012,0.122,0.053,0.19,I,L,SPN,790,FSTS,ACC
S146,S146_e1,Oh & Contractor 2012,-0.04,-0.202,0.124,I,M,FOL,144,FSTS,ACC
S146,S146_e2,Oh & Contractor 2012,0.16,-0.004,0.315,I,M,FOL,144,FSTS,ACC
S205,S205,Elango 2012,0.1,-0.024,0.221,I,M,PRE,250,COMP,MKT
N244,N244_e1,Ganotakis 2012,0.284,0.161,0.398,I,,SPN,232,EXP,LAB
S54,S54_e1,Fernhaber 2013,-0.16,-0.278,-0.037,I,L,SPN,253,COMP,ACC
S54,S54_e2,Fernhaber 2013,0.02,-0.104,0.143,I,L,SPN,253,COMP,ACC
S55,S55_e1,Hsu et al. 2013,0.149,0.006,0.286,I,M,SPN,187,FSTS,ACC
S55,S55_e2,Hsu et al. 2013,-0.247,-0.377,-0.107,I,M,SPN,187,FSTS,ACC
S56,S56,Lee 2013,0.06,-0.009,0.128,I,M,SPN,814,FSTS,ACC
S57,S57_e1,Tsao & Lien 2013,0.033,-0.037,0.103,I,M,SPN,776,FSTS,ACC
S57,S57_e2,Tsao & Lien 2013,0.068,-0.002,0.138,I,M,SPN,776,FSTS,ACC
S172,S172,"Oesterle, Richta & Fisch 2013",0.06,-0.051,0.17,I,M,SPN,312,GEO,ACC
S59,S59,De Jong & van Houten 2014,0.22,0.14,0.297,I,M,SPN,568,GEO,ACC
S60,S60_e1,Hilmersson 2014,0.04,-0.107,0.185,I,M,SPN,180,COMP,ACC
S60,S60_e2,Hilmersson 2014,0.16,0.014,0.299,I,M,SPN,180,COMP,ACC
S60,S60_e3,Hilmersson 2014,0.27,0.129,0.4,I,M,SPN,180,COMP,ACC
S61,S61,Graves & Shan 2014,-0.07,-0.1,-0.04,I,M,SPN,4217,FSTS,ACC
S62,S62,Lee et al. 2014,0.383,0.278,0.479,I,M,SPN,279,EXP,ACC
Jong2014,Jong2014,Jong 2014,0.22,0.14,0.297,I,H,FOL,568,OTHER,ACC
Fonfria2014,Fonfria2014,Fonfria 2014,0.143,0.102,0.183,I,H,FOL,2268,OTHER,MIX
S66,S66,Chen et al. 2015,-0.038,-0.217,0.144,I,M,SPN,118,FSTS,ACC
S67,S67,Da Huo & Hung 2015,0.01,-0.1,0.12,I,M,SPN,316,FSTS,ACC
S159,S159_e1,Fernández-Olmos & Díez-Vial 2015,0.12,-0.001,0.238,I,H,FOL,261,FSTS,ACC
S159,S159_e2,Fernández-Olmos & Díez-Vial 2015,0.19,0.07,0.304,I,H,FOL,261,FSTS,ACC
S175,S175,Jo & Roth 2015,0.17,0.031,0.302,I,M,FOL,198,FSTS,MIX
S162,S162,Oh & Sohl 2017,0.08,-0.088,0.243,I,H,FOL,139,FSTS,ACC
S85,S85,Cho & Lee 2018,-0.029,-0.157,0.1,I,H,SPN,232,FSTS,ACC
S87,S87,Hojnik et al. 2018,0.035,-0.085,0.154,I,M,SPN,267,EXP,ACC
S173,S173_e1,"Nguyen, Almodóvar & Martínez-Noya 2018",0.13,-0.014,0.268,I,H,FOL,187,FSTS,ACC
S173,S173_e2,"Nguyen, Almodóvar & Martínez-Noya 2018",0.21,0.069,0.343,I,H,FOL,187,FSTS,ACC
N241,N241_e1,Bougheas 2018,0.083,0.022,0.143,I,,PRE,1040,EXP,ACC
N253,N253_e1,Georgopoulos 2018,-0.244,-0.274,-0.213,I,,SPN,3600,,ACC
Cho2018,Cho2018,Cho 2018,-0.058,-0.098,-0.017,I,H,SPN,2320,OTHER,ACC
S94,S94_e1,Lee et al. 2019,-0.015,-0.22,0.192,I,M,FOL,91,FSTS,ACC
S94,S94_e2,Lee et al. 2019,-0.09,-0.291,0.118,I,M,FOL,91,FSTS,ACC
S97,S97_e1,Woo et al. 2019,0.19,0,0.367,I,H,FOL,107,FSTS,ACC
S97,S97_e2,Woo et al. 2019,0.19,0,0.367,I,H,FOL,107,FSTS,ACC
S218,S218,Sun et al. 2019,0.09,0.01,0.169,I,H,SPN,600,FSTS,MKT
N248,N248_e1,Iandolo 2019,0.078,-0.005,0.16,I,,SPN,564,COMP,LAB
