r_imputed,se
-0.0809,0.07516
-0.0839,0.05764
-0.0849,0.06727
-0.09,0.04486
-0.0911,0.07161
-0.0911,0.07906
-0.0911,0.05893
-0.0921,0.03363
-0.1013,0.05488
-0.1013,0.07785
-0.1013,0.08248
-0.1115,0.09806
-0.1115,0.07274
-0.1115,0.07274
-0.1115,0.09806
-0.1115,0.06226
-0.1115,0.07217
-0.1177,0.11952
-0.12,0.05717
-0.132,0.02202
-0.132,0.07372
-0.1398,0.10102
-0.1423,0.04207
-0.1423,0.07001
-0.1423,0.04207
-0.1423,0.07603
-0.1423,0.05608
-0.1485,0.05064
-0.1547,0.07332
-0.163,0.03363
-0.1702,0.10483
-0.1733,0.08839
-0.1733,0.14586
-0.1899,0.1
-0.194,0.07516
-0.194,0.06727
-0.2044,0.14744
-0.2086,0.06608
-0.2107,0.10483
-0.2305,0.07762
-0.2357,0.05608
-0.2357,0.14586
-0.2409,0.07738
-0.2682,0.11323
-0.2703,0.06496
-0.2703,0.06496
-0.2776,0.09285
-0.2818,0.1026
-0.2976,0.06299
-0.2987,0.08839
-0.2987,0.05803
-0.3124,0.06019
-0.341,0.26726
-0.3623,0.12127
-0.373,0.1
-0.3767,0.09325
-0.459,0.2582
-0.6455,0.06696
