dropped_study,r_pooled
A2002,0.0744
BanyAriffin2016,0.0743
Chiao2011,0.0749
Cho2018,0.075
Endo2011,0.0749
Fonfria2014,0.0741
Gaur2009,0.0736
Jong2014,0.0739
Koh2009,0.0738
Lana2017,0.0746
Lehenchuk2023,0.0743
Lu2004,0.0745
M2001,0.0743
N239,0.0738
N240,0.0755
N241,0.0744
N242,0.0743
N243,0.0741
N244,0.0738
N245,0.0746
N246,0.0743
N247,0.0742
N248,0.0744
N249,0.0743
N250,0.0744
N251,0.0744
N252,0.0753
N253,0.0757
N254,0.0746
N255,0.075
N256,0.0743
N257,0.074
N258,0.0745
N259,0.0738
PA2020,0.0747
Phan2020,0.0746
R2012,0.0742
Rasiah2009,0.0744
S01,0.0749
S02,0.0742
S03,0.0745
S04,0.0746
S05,0.0743
S06,0.0747
S07,0.0744
S08,0.0753
S09,0.0745
S10,0.0738
S100,0.0747
S101,0.0744
S102,0.0745
S103,0.0742
S104,0.0748
S105,0.0748
S106,0.0747
S107,0.0744
S108,0.0746
S109,0.0746
S11,0.074
S110,0.0749
S111,0.0745
S112,0.0743
S113,0.0745
S114,0.0744
S115,0.0745
S116,0.0744
S117,0.0744
S118,0.0745
S119,0.0745
S12,0.0736
S120,0.0743
S121,0.0744
S122,0.0743
S123,0.0741
S124,0.0744
S125,0.0743
S126,0.0745
S127,0.0743
S128,0.0744
S129,0.0743
S13,0.0751
S130,0.0743
S131,0.0746
S132,0.0744
S133,0.0745
S134,0.0743
S135,0.0744
S136,0.0742
S137,0.0751
S138,0.0743
S139,0.0742
S14,0.0744
S140,0.0745
S141,0.0751
S142,0.075
S143,0.0742
S144,0.0744
S145,0.0731
S146,0.0745
S147,0.0743
S148,0.0744
S149,0.0742
S15,0.0738
S150,0.0749
S151,0.0744
S152,0.0746
S153,0.0742
S154,0.0743
S155,0.074
S156,0.0744
S157,0.0742
S158,0.0743
S159,0.0739
S16,0.0748
S160,0.0751
S161,0.0745
S162,0.0744
S163,0.0744
S164,0.0743
S165,0.075
S166,0.0739
S167,0.0741
S168,0.0741
S169,0.0742
S17,0.075
S170,0.074
S171,0.0744
S172,0.0745
S173,0.0739
S174,0.0744
S175,0.0742
S176,0.0745
S177,0.0743
S178,0.0749
S179,0.0743
S18,0.0744
S180,0.0743
S181,0.0745
S182,0.0745
S183,0.0743
S184,0.0744
S185,0.0742
S186,0.0743
S187,0.0743
S188,0.0749
S189,0.0745
S19,0.0745
S190,0.0748
S191,0.0745
S192,0.0745
S193,0.0744
S194,0.0744
S195,0.0745
S196,0.0745
S197,0.0744
S198,0.0745
S199,0.0745
S20,0.0737
S200,0.0744
S201,0.0745
S202,0.0745
S203,0.0745
S204,0.0748
S205,0.0744
S206,0.0745
S207,0.0744
S208,0.0745
S209,0.0745
S21,0.0735
S210,0.0745
S211,0.0745
S212,0.0745
S213,0.0745
S214,0.0745
S215,0.0745
S216,0.0744
S217,0.0744
S218,0.0744
S219,0.0745
S22,0.0746
S220,0.0743
S221,0.0745
S222,0.0745
S223,0.0745
S224,0.0744
S225,0.0744
S226,0.0745
S227,0.0745
S228,0.0745
S229,0.0744
S23,0.0733
S230,0.0744
S231,0.0745
S232,0.0745
S233,0.0745
S234,0.0745
S235,0.0744
S236,0.0748
S237,0.0748
S238,0.0742
S24,0.0744
S25,0.0736
S26,0.0748
S27,0.0747
S28,0.0748
S29,0.0745
S30,0.0746
S31,0.0754
S32,0.0737
S33,0.074
S34,0.0747
S35,0.0749
S36,0.0748
S37,0.0744
S38,0.0741
S39,0.0742
S40,0.0745
S41,0.0744
S42,0.0749
S43,0.0749
S44,0.0749
S45,0.0739
S46,0.0748
S47,0.0747
S48,0.0741
S49,0.0736
S50,0.0742
S51,0.0745
S52,0.074
S53,0.0742
S54,0.0753
S55,0.0751
S56,0.0745
S57,0.0746
S58,0.075
S59,0.0739
S60,0.0738
S61,0.0751
S62,0.0734
S63,0.0742
S64,0.0742
S65,0.0744
S66,0.0747
S67,0.0747
S68,0.0752
S69,0.0744
S70,0.0745
S71,0.0746
S72,0.0746
S73,0.0746
S74,0.0751
S75,0.0746
S76,0.0739
S77,0.0745
S78,0.0747
S79,0.0745
S80,0.0752
S81,0.0738
S82,0.0746
S83,0.0744
S84,0.075
S85,0.0747
S86,0.072
S87,0.0746
S88,0.0751
S89,0.075
S90,0.0748
S91,0.0748
S92,0.0746
S93,0.0734
S94,0.0749
S95,0.0742
S96,0.0743
S97,0.074
S98,0.0757
S99,0.0753
Tallman1996,0.0741
Wei2021,0.0748
