metric,recomputed,manuscript,abs_diff,flag
pooled_r,0.0742,0.074,0.0002,OK
ci_lo,0.0600,0.06,0.0000,OK
ci_hi,0.0883,0.088,0.0003,OK
I2_total_HT,87.8478,87.8,0.0478,OK
I2_within_HT_L2,76.0847,76.1,0.0153,OK
I2_between_HT_L3,11.7630,11.8,0.0370,OK
sigma2_within,0.0087,0.00874,0.0000,OK
sigma2_between,0.0014,0.00135,0.0000,OK
Q_total,1909.4188,1909.42,0.0012,OK
icrv_QM,17.3503,17.35,0.0003,OK
cdai_QM,1.2279,1.23,0.0021,OK
dpl_QM,0.5615,0.56,0.0015,OK
icrv_dropFR_QM,1.4950,1.49,0.0050,OK
begg_tau,-0.1344,-0.134,0.0004,OK
loo_lo,0.0709,0.071,0.0001,OK
loo_hi,0.0756,0.075,0.0006,OK
sens::Confirmed r only (is_estimated=0),0.0771,0.077,0.0001,OK
sens::Exclude n<30,0.0736,0.074,0.0004,OK
sens::ACC performance only,0.0754,0.075,0.0004,OK
sens::FSTS measure only,0.0606,0.061,0.0004,OK
