seq,title,year,journal,doi,extraction_priority,decision,reason,abstract,abstract_source
470,Intellectual capital and firm efficiency of US multinational software firms,2022,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose The main purpose of this study is to empirically investigate the impact of intellectual capital efficiency on US multinational software companies' performance from 2012 to 2016 by applying data envelopment analysis (DEA). Design/methodology/approach It adopts a new slacks-based measure (SBM) to obtain a more accurate performance estimation and rank between companies. Regression analysis is used to test the overall IC and each of its elements (Human Capital, Innovation Capital, Process Capital and Customer Capital). Findings The univariate result shows that multinational companies are more efficient than non-multinational companies. However, the regression result shows that multinationality can hardly explain the firm efficiency of software firms. Another interesting finding is that intellectual capital has a positive and significant impact on software firm performance in the US human capital influences firm efficiency directly. However, when human capital is combined with the other elements of IC, the contribution of human capital becomes less significant. This is because people may think that innovation capital, process capital and customer capital can replace human capital, but it is not. In short, human capital may affect firm efficiency through other elements of IC (innovation capital, process capital and customer capital) as it is the base of other elements. Research limitations/implications The results show that multinational companies have higher efficiency scores than non-multinational companies. In addition, Intellectual capital has a positive and significant impact on software firm performance in the US human capital influences firm efficiency directly. However, when human capital is combined with the other elements of IC, the contribution of human capital becomes less significant. This is because people may think that innovation capital, process capital and customer capital can replace human capital, but it is not. In short, human capital may affe",crossref
487,"Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Sp",2014,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12013,1_DOI_FIRST,UNSURE,title_insufficient,"Drawing on regional strategy theory we complement the core effect of firm‐specific advantages on the performance of multinational enterprises with an analysis of the performance consequences of home region concentration on firm performance. We also develop hypotheses regarding the effect of foreign entry timing, internationalization speed and international experience on the performance effect of home region concentration. We test our hypotheses against unique longitudinal data from a panel of 128 multinational enterprises in the retail sector whose geographical spread of international activities we traced between 1995 and 2010. Our findings support the predictions of regional strategy theory and highlight the importance of foreign entry timing and internationalization speed in strengthening the positive effect of home region concentration on the performance of multinational enterprises.",crossref
491,"The Effects of Offshoring to China: Reallocation, Employment and Productivity in Taiwan",2009,INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS,10.1080/13571510802638916,1_DOI_FIRST,UNSURE,title_insufficient,,
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,2020,SUSTAINABILITY,10.3390/su12145508,1_DOI_FIRST,UNSURE,title_insufficient,"Using data from SMEs in Hubei province, the role of entrepreneurship in the sustainable performance of born global firms in China was discussed. The structural equation modeling analysis of 345 questionnaires indicates that both international knowledge and international entrepreneurial capability are significantly related to born global firms’ performance. Dynamic capabilities, which includes three sub-dimensions: adaptation capability, absorption capability and innovation capability, was found to be less important to firm performance. Therefore, it may be argued that born global firms in inland China are still limited by resources, including those generated from the international knowledge needed to adapt to internal and external pressures.",crossref
492,Influence of MNC Network Configuration Patterns on the Volatility of Firm Performance,2009,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-009-0015-6,1_DOI_FIRST,UNSURE,title_insufficient,,
531,Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,2015,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.070232,1_DOI_FIRST,UNSURE,title_insufficient,"In international business research, a growing number of studies are investigating the internationalisation of top managers and its consequences for firm-level outcomes. However, relatively little attention has been devoted so far to the antecedents of top manager internationalisation and to top manager internationalisation in different institutional contexts. The present study compares the internationalisation of top managers in Germany and the UK and argues that national institutional contexts influence the international profile of top managers' human capital. Based on a sample of 931 individuals, we demonstrate that top managers' nationality, international work experience and international board appointments vary significantly between Germany and the UK. Our paper has implications for international business research and upper echelons research because it contributes to a better understanding of the antecedents of top manager internationalisation in different institutional contexts.",openalex
533,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,1_DOI_FIRST,UNSURE,title_insufficient,"This study investigates the nature and shape of the relationship between internationalization and firm performance in textile Born Globals (BGs) in India. Utilizing a three-stage model and the M-curve hypothesis, the research examines this relationship comprehensively. The findings confirm a two-stage, inverted U-shaped relationship between internationalization and firm performance in the short run and an extended four-stage M-curve hypothesis in the long run. Additionally, the study identifies several variables that positively impact the performance of textile BGs in India during internationalization. The impact of these variables varies between the short and long term. In the short run, firm size and slack are significant factors in determining firm performance. However, research and development intensity and firm age, while insignificant in the short run, become significant contributors in the long run model.",crossref
461,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual dete",2026,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose Hutzschenreuter and Voll (2008) introduced the “added distance” concept in international business strategy. They showed the negative impact on German multinational enterprise (MNE) performance of multiple investment steps with a high added distance in aggregate. This paper aims to explore the generalizability of this finding using a Penrosean perspective and quasi-replicating their methodology. Design/methodology/approach Empirically, the authors focus on the context of Indian firms, posteconomic liberalization (1991), where a much wider spectrum of magnitudes of added distance could be observed than in the German case. The authors use data of 109 Indian firms with expansion paths the authors tracked during periods ranging from 6 to 31 years. Findings The authors show that moderate added distance enhances performance in the subsequent period, but only up to a threshold. The underlying reason for this outcome is a meta-bounded-rationality challenge: senior managers underestimate how the aggregate of multiple international investment steps with added cultural distance, each supposedly beneficial to the firm, leads to unmet demands for managerial capacity and reduces corporate coherence. Research limitations/implications The major research implication of the work is that studies in international business should not make use of dyadic, macrolevel distances in studies on implications of internationalization on performance. Practical implications The findings highlight that MNEs must match international expansion opportunities with adequate managerial resources. For senior executives, careful planning of internationalization steps and attention to the cumulative distance added in each period is crucial to avoid negative performance effects of over-expansion. Originality/value To the best of the authors’ knowledge, this is the first empirical study that shows in a comprehensive way, over a long period of time, the impact of “added distance” on the relationship betw",crossref
464,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal ",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose This study investigated the effects of bribery and local performance within the framework of social network theory. It also explored the relationship between bribery and local performance mediated by local networks. Furthermore, we examined the moderated mediating effect of informal competition on the relationship between bribery, local access, and local performance. Design/methodology/approach Data were extracted from the “Investigation on Overseas Investment Business Operation Status,” provided by the Investment Commission of the Ministry of Economic Affairs in Taiwan. To test the five hypotheses, we collected panel data for 4,661 observations of MNCs from 2013–2018 for panel data analysis. Findings The findings suggest that bribery positively affects local performance. The results also indicate that local networks mediate the relationship between bribery and local performance. Additionally, informal competition strengthens the indirect relationships among bribery, local networks, and local performance. Originality/value This study contributes to bribery research from the perspective of relational embeddedness and network ties by expanding the understanding of local networks as mediators in the relationship between bribery and local performance. Moreover, we highlight the moderated mediating role of informal competition, based on the perspective that relational embeddedness can mitigate conflicts arising from informal institutions.",crossref
467,"External environment and internal dynamics of ""born global"": strategic and operational firm performance",2024,MANAGEMENT DECISION,10.1108/md-02-2023-0168,1_DOI_FIRST,UNSURE,title_insufficient,"Purpose “Born global firms” are those organizations which, from their inception and by nature, adopt an essentially global-scale entrepreneurial functional and attitudinal strategy for growth. They seek to gain significant competitive advantage by utilizing their internal resources while leveraging external environment potentialities, to sell their outputs internationally. The aim of this research is to investigate the influence of the external business environment and the dynamic capabilities of born global firms, on their strategic and operational performance, as well as the role of leadership vision on their internationalization performance. Design/methodology/approach Initially and resting on extant literature with pertinent foci, including the absorptive capacity and the dynamic capability view theories, a conceptual model is proposed. Subsequently, the model is validated through the partial least square structural equation modeling technique, based on 417 respondents from Indian firms. Findings The study concludes that the external business environment and internal dynamic capabilities of born global firms have a significant and positive impact on their strategic, as well as operational performance; with leadership vision playing a significant moderating role to this relationship. The study finally presents the executive implications of the findings and identifies the avenues for further scientific research. Originality/value This is a unique study on the topic, both in relation to resources/capabilities versus performance and with regards to the leadership vision's role. It moreover focuses on a primary business force, India, which comprises prime examples of global entrepreneurship. The research constituting a significant contribution to knowledge, as research on how small firms can strategically grow so rapidly and effectively, is still far from conclusive, particularly under the present evolutions that incessantly redefine the contextual business forces up",crossref
