seq,authors,year,title,doi,AI_converted_r,conversion_formula,AI_sample_size_n,effect_direction,fulltext_screening_decision,AI_source_note,VERIFIED_BY_CANDIDATE,VERIFIED_r,DECISION_include
277,"Lee, Seung Hyun; Leem, Choon Seong; Bae, Dae Jung",2018,"The impact of technology capability, human resources, internationalization, market resources, and customer sat",10.1007/s10799-018-0287-2,0.295,beta,79,+,Y,t_size; statistic; performance_measure; intl_operationalization; model_type | GROQ: Internationalization experience has a weakly positive effect on sales growth,,,
351,"Gerpott, TJ; Jakopin, NM",2005,The degree of internationalization and the financial performance of European mobile network operators,10.1016/j.telpol.2005.06.003,0.06,direct,60,,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | CORRECTED -0.61->0.06 (Gerpott near-zero ns per full-text),,,
494,"Koh, Yoon; Lee, Seoki; Boo, Soyoung",2009,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant compan,10.1016/j.ijhm.2009.04.002,0.35,direct,119,+,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Koh2009 DOI(control)->TobinQ r=.35,,,
45,"Yen, I-Fan; Lin, Hsin-Mei",2021,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home po,10.1108/cms-12-2019-0441,0.245,beta,4889,+,Y,e; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Yen&Lin2021 intl-div(OFDI projects)->ROA std beta=.245,,,
266,"Cui, Lin; Xu, Ying",2019,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early s,10.1016/j.jwb.2019.04.002,0.11,beta,7784,+,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | GROQ: FDI positively influences firm profitability,,,
286,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",2018,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,10.3390/admsci8040064,-0.0514,direct,12704,-,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Huynh2018 corr DOI-ROA=-.0514,,,
301,"Chin, Tachia; Tsai, Sang-Bing; Fang, Kai; Zhu, Wenzhong; Yan",2016,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks a,10.1371/journal.pone.0162175,0.356,beta,200,+,Y,ze; statistic; performance_measure; intl_operationalization; model_type | GROQ: Proactiveness has a significant direct positive contribution to firm performance,,,
303,"Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)",2016,"Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterpr",10.1080/10669868.2016.1215667,0.1,direct,2565,+,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Zhao2016 inward intl->ROS r=.10,,,
533,"Srividhya, M.; Vidya, C. T.",2024,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,10.11130/jei.2024033,0.13,direct,,+,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | GROQ: Correlation between DOI and ROA,,,
245,"Meschi, Pierre-Xavier; Ricard, Antonin; Moore, Ernesto Tapia",2021,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,10.37725/mgmt.v24i1.4507,0.05,beta,522,+,Y,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | GROQ: Age at internationalization coefficient from Table 4,,,
461,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta,",2026,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and conte",10.1108/mbr-04-2025-0104,0.224,beta,109,+,Y,nce_measure; intl_operationalization; model_type | GROQ: Inverted U-shaped curve with positive slope at lower ACD levels and negative slope at higher ACD levels,,,
