seq,title,decision,reason,has_abstract
25,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Di",UNSURE,auto:insufficient_evidence,N
44,Do internationalizing business group affiliates perform better after promarket r,UNSURE,auto:insufficient_evidence,N
56,When geography matters: International diversification and firm performance of Sp,UNSURE,auto:insufficient_evidence,N
64,Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ,UNSURE,auto:insufficient_evidence,N
76,The role of absorptive capacity in the relationship between firm internationaliz,UNSURE,auto:insufficient_evidence,N
79,Performance effects of multinationality: evidence from European companies,UNSURE,auto:insufficient_evidence,N
86,Productivity Gap: A Chance or an Obstacle in Absorbing Benefits from FDI in a Ho,UNSURE,auto:insufficient_evidence,N
116,"Intangibles, Export Intensity, and Company Performance in the French Wine Indust",Y,auto_title:ip_explicit,N
128,Globalization and workplace performance in Canada: Cross-sectional and dynamic a,UNSURE,auto:insufficient_evidence,N
129,Is the effect really so large? Firm-level evidence on the role of FDI in a trans,UNSURE,auto:insufficient_evidence,N
133,"Multinationals, R&D, and productivity: evidence for UK manufacturing firms",UNSURE,auto:insufficient_evidence,N
160,"Female CEOs, SMEs performance and internationalization: empirical evidence from ",UNSURE,auto:insufficient_evidence,N
171,The effect of restructuring internationalized companies on performance: Evidence,UNSURE,auto:insufficient_evidence,N
178,The role of intellectual capital and women managers in the internationalization-,UNSURE,auto:insufficient_evidence,N
179,"Internationalization, innovation, and resilience: Financial performance of agric",Y,auto_title:ip_explicit,N
186,Comparative Study on the Impact of Ownership Concentration on Internationalizati,UNSURE,auto:insufficient_evidence,N
187,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performanc,UNSURE,auto:insufficient_evidence,N
194,The Internationalization-Environmental Performance Relationship: Does it Differ ,UNSURE,auto:insufficient_evidence,N
199,"When market leads innovation: The interplay of internationalisation, innovation ",UNSURE,auto:insufficient_evidence,N
221,Examining the Impact of Internationalization and Competitive Advantages on Enter,UNSURE,auto:insufficient_evidence,N
240,"Selection, learning, and productivity at the firm level: Evidence from Canadian ",UNSURE,auto:insufficient_evidence,N
242,Using the SHAPLEY value approach to variance decomposition in strategy research:,UNSURE,auto:insufficient_evidence,N
246,"The impact of knowledge management on the internationalization, organizational a",UNSURE,auto:insufficient_evidence,N
265,Firm-specific assets and the internationalization performance relationship in th,UNSURE,auto:insufficient_evidence,N
270,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): T,UNSURE,auto:insufficient_evidence,N
277,"The impact of technology capability, human resources, internationalization, mark",UNSURE,auto:insufficient_evidence,N
279,A combined focused industry and company size investigation of the internationali,UNSURE,auto:insufficient_evidence,N
281,"Internationalisation, innovation and productivity in services: evidence from Ger",UNSURE,auto:insufficient_evidence,N
282,Dimensional effects of Korean SME's entrepreneurial orientation on international,UNSURE,auto:insufficient_evidence,N
283,The internationalisation of Spanish family firms through business groups: Factor,UNSURE,auto:insufficient_evidence,N
293,"Firm internationalization, business group diversification and firm performance: ",UNSURE,auto:insufficient_evidence,N
298,The inverted-U relationship between the degree of internationalization and the p,UNSURE,auto:insufficient_evidence,N
302,The negative synergistic effect of internationalization and corporate social res,UNSURE,auto:insufficient_evidence,N
328,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firm,UNSURE,auto:insufficient_evidence,N
329,"Presuccession Performance, CEO Succession, Top Management Team, and Change in a ",UNSURE,auto:insufficient_evidence,N
333,Learning by exporting and high-tech capital deepening in Singapore manufacturing,UNSURE,auto:insufficient_evidence,N
336,"Ethnic ties, location choice, and firm performance in foreign direct investment:",UNSURE,auto:insufficient_evidence,N
348,"Internationalisation, innovation and productivity: How do firms differ in Italy?",UNSURE,auto:insufficient_evidence,N
350,The impact of internationalisation and proprietary assets on firm performance: a,Y,auto_title:ip_explicit,N
351,The degree of internationalization and the financial performance of European mob,Y,auto_title:ip_explicit,N
491,"The Effects of Offshoring to China: Reallocation, Employment and Productivity in",UNSURE,auto:insufficient_evidence,N
4,Digital industry agglomeration and internationalization of enterprises - evidenc,UNSURE,auto:insufficient_evidence,N
16,Total factor productivity in Kenyan manufacturing firms: The role of ISO certifi,UNSURE,auto:insufficient_evidence,N
26,Does corporate internationalization affect analysts' ' earnings forecast bias? E,UNSURE,auto:insufficient_evidence,N
34,Outward FDI and its impact on the parent firm: A case of Indian manufacturing fi,UNSURE,auto:insufficient_evidence,N
38,How does offshore outsourcing of knowledge-intensive activities affect the expor,UNSURE,auto:insufficient_evidence,N
42,Influence of blockchain technology in SME internationalization: Evidence from hi,UNSURE,auto:insufficient_evidence,N
45,Multinationality and performance effects: an integrated theory of new patterns o,UNSURE,auto:insufficient_evidence,N
46,'Letters to the editor': the relationship between multinationality and firm perf,Y,auto_title:ip_explicit,N
49,"Perceived corruption, business process digitization, and SMEs' degree of interna",UNSURE,auto:insufficient_evidence,N
63,Improving firm survival: exports or outward foreign direct investment?,UNSURE,auto:insufficient_evidence,N
77,"Internationalization and the growth of Vietnamese micro, small, and medium sized",UNSURE,auto:insufficient_evidence,N
87,"Country specific advantage, firm specific advantage and multinationality - Sourc",UNSURE,auto:insufficient_evidence,N
88,An empirical analysis and extension of internalization theory in emerging market,UNSURE,auto:insufficient_evidence,N
89,The OFDI patterns and firm performance of Chinese firms: The moderating effects ,UNSURE,auto:insufficient_evidence,N
94,SME Internationalization Through Global Value Chains and Free Trade Agreements: ,UNSURE,auto:insufficient_evidence,N
107,Performance of unlisted Italian companies acquired by multinationals from emergi,UNSURE,auto:insufficient_evidence,N
120,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE ",UNSURE,auto:insufficient_evidence,N
121,"International Involvement, Target Market Selection, and Consolidated Performance",UNSURE,auto:insufficient_evidence,N
125,Locational determinants of internationalization: A firm-level analysis of Chines,N,auto_title:antecedent_direction,N
132,Does export and productivity growth linkage exist? Evidence from the Indian manu,UNSURE,auto:insufficient_evidence,N
162,Impact of productivity revolution on Chinese enterprises' outward foreign direct,UNSURE,auto:insufficient_evidence,N
169,Enhancing CSR performance in emerging market firms: The effects of pro-market re,UNSURE,auto:insufficient_evidence,N
172,Moderating roles of spatial and temporal internationalization on the product div,UNSURE,auto:insufficient_evidence,N
174,"Internal R&D, family ownership and product innovation performance of entrepreneu",UNSURE,auto:insufficient_evidence,N
176,"Does Maintaining Resources, Diversification, and Internationalization Matter for",Y,auto_title:ip_explicit,N
177,Overcoming the ESG Voids at Home: Supplier ESG Performance and the International,UNSURE,auto:insufficient_evidence,N
182,Effects of internationalization on supply chain agility and business performance,Y,auto_title:ip_explicit,N
