seq,title,year,is_oa,pdf_url,filename,status,bytes,note
461,"The performance effects of ""added cultural distance"" in mult",2026,True,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,,HTTP_403,0,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf
462,"Clean, competitive, and productive? The impact of environmen",2025,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525
463,Finding the sweet spot: effects of exporting on the relation,2025,True,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,,HTTP_403,0,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Arti
465,"Firm-Level Carbon Productivity, Home Country Environmental P",2025,True,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253,,HTTP_403,0,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253
466,Exporting is a team sport: the link between management train,2024,True,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-team-sport-the-link.pdf,,HTTP_403,0,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-tea
472,Export status and SME productivity: Learning-to-export versu,2021,True,https://eprints.whiterose.ac.uk/171181/1/Gkypali%20Love%20and%20Roper%20final.pdf,,HTTP_403,0,https://eprints.whiterose.ac.uk/171181/1/Gkypali%20Love%20and%20Roper%20final.pd
477,Do Export Learning Processes Affect Sales Growth in Exportin,2019,True,https://ueaeprints.uea.ac.uk/id/eprint/70585/1/Assadinia_et_al_JIM_2019.pdf,,HTTP_403,0,https://ueaeprints.uea.ac.uk/id/eprint/70585/1/Assadinia_et_al_JIM_2019.pdf
493,Exporting and productivity in business services: Evidence fr,2009,True,https://publications.aston.ac.uk/id/eprint/38591/1/Exporting_and_productivity_in_business_services.pdf,,HTTP_403,0,https://publications.aston.ac.uk/id/eprint/38591/1/Exporting_and_productivity_in
533,Internationalization at Inception: Insights from the Indian ,2024,True,https://www.e-jei.org/upload/jei-2024033.pdf,,HTTP_403,0,https://www.e-jei.org/upload/jei-2024033.pdf
614,Linking FDI motivation and host economy productivity effects,2007,True,https://publications.aston.ac.uk/id/eprint/3579/1/Linking_FDI_motivation_and_host_economy_productivity_effects.pdf,,HTTP_403,0,https://publications.aston.ac.uk/id/eprint/3579/1/Linking_FDI_motivation_and_hos
686,The Impact of Interorganizational Imitation on New Venture I,2010,True,https://digitalcommons.butler.edu/cob_papers/90,,HTTP_403,0,https://digitalcommons.butler.edu/cob_papers/90
824,Geographic and Product Diversification in Charitable Organiz,2013,True,http://hdl.handle.net/10397/9393,,HTTP_403,0,http://hdl.handle.net/10397/9393
845,The effect of institutional quality on firm export performan,2013,True,http://hdl.handle.net/10.1007/s11187-011-9395-7,,HTTP_403,0,http://hdl.handle.net/10.1007/s11187-011-9395-7
906,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT",2013,True,https://journals.vilniustech.lt/index.php/TEDE/article/download/4318/3663,,HTTP_403,0,https://journals.vilniustech.lt/index.php/TEDE/article/download/4318/3663
1012,"Foreign market experience, learning by hiring and firm expor",2015,True,http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf,,HTTP_403,0,http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf
1061,"Interrelationship among foreign presence, domestic sales and",2016,True,https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf,,HTTP_403,0,https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf
1112,What Drives International Competitiveness? An Empirical Test,2016,True,https://www.cjournal.cz/files/237.pdf,,HTTP_403,0,https://www.cjournal.cz/files/237.pdf
1147,International diversification and firm's value: evidence fro,2016,True,http://psasir.upm.edu.my/id/eprint/34238/1/International%20diversification%20and%20firm%27s%20value%20evidence%20from%20developing%20nations.pdf,,HTTP_403,0,http://psasir.upm.edu.my/id/eprint/34238/1/International%20diversification%20and
1161,"Information Technology, Revenues, and Profits: Exploring the",2017,True,https://figshare.com/articles/journal_contribution/Information_technology_revenues_and_profits_Exploring_the_role_of_foreign_and_domestic_operations/10753292/1/files/19264415.pdf,,HTTP_403,0,https://figshare.com/articles/journal_contribution/Information_technology_revenu
1204,The great trade collapse and the Spanish export miracle: Fir,2018,True,https://www.econstor.eu/bitstream/10419/118601/1/826814786.pdf,,HTTP_403,0,https://www.econstor.eu/bitstream/10419/118601/1/826814786.pdf
1226,"Export Intensity, Geographic Diversification and the Role of",2018,True,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/473293/2013_Extensive_Intensive_margins_FINAL_03_Dec_13.pdf,,HTTP_403,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/473293
1236,Firm Heterogeneity and Performance in a Turbulent Economic E,2018,True,http://eprints.whiterose.ac.uk/124794/7/EMR%202FULL.pdf,,HTTP_403,0,http://eprints.whiterose.ac.uk/124794/7/EMR%202FULL.pdf
1258,Disentangling the effects of post-entry speed of internation,2018,True,https://publications.aston.ac.uk/id/eprint/37452/1/Manuscript.pdf,,HTTP_403,0,https://publications.aston.ac.uk/id/eprint/37452/1/Manuscript.pdf
1260,International diversification and firm performance in the po,2018,True,http://repository.essex.ac.uk/21647/1/JBR%20paper%202nd%20RR%20final-proofread-13-2-18.pdf,,HTTP_403,0,http://repository.essex.ac.uk/21647/1/JBR%20paper%202nd%20RR%20final-proofread-1
1341,INTER-RELATIONSHIP BETWEEN FIRM GROWTH AND PROFITABILITY IN ,2019,True,https://journals.vgtu.lt/index.php/JBEM/article/download/6928/6993,,HTTP_403,0,https://journals.vgtu.lt/index.php/JBEM/article/download/6928/6993
1358,International Trade and Productivity Growth in Indian Indust,2019,True,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878,,HTTP_403,0,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878
