seq,title,url,status,note,filename
493,Exporting and productivity in business services: Evidence fr,https://publications.aston.ac.uk/id/eprint/38591/1/Exporting_and_productivity_in,OK,ok_129kb,493_2009.pdf
533,Internationalization at Inception: Insights from the Indian ,https://www.e-jei.org/upload/jei-2024033.pdf,OK,ok_527kb,533_2024.pdf
461,"The performance effects of ""added cultural distance"" in mult",https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,OK,ok_550kb,461_2026.pdf
906,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT",https://journals.vilniustech.lt/index.php/TEDE/article/download/4318/3663,SKIP_UNSUPPORTED,kind=other,
1112,What Drives International Competitiveness? An Empirical Test,https://www.cjournal.cz/files/237.pdf,OK,ok_606kb,1112_2016.pdf
1341,INTER-RELATIONSHIP BETWEEN FIRM GROWTH AND PROFITABILITY IN ,https://journals.vgtu.lt/index.php/JBEM/article/download/6928/6993,SKIP_UNSUPPORTED,kind=other,
1358,International Trade and Productivity Growth in Indian Indust,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878,FAIL,tried 1 URLs,
1364,Financial Support and Growth of Township and Village Enterpr,https://journals.sagepub.com/doi/pdf/10.1177/2158244019858444,FAIL,tried 1 URLs,
1433,"Trading activities, productivity and markups: Evidence for S",https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download,SKIP_UNSUPPORTED,kind=other,
1434,Export Performance and Stock Return: A Case of Fishery Firms,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf,FAIL,tried 1 URLs,
1550,Global value chains and technology transfer: new evidence fr,https://link.springer.com/content/pdf/10.1007/s10290-020-00398-8.pdf,OK,ok_790kb,1550_2021.pdf
1554,The S-Shaped Relationship Between internationalization and P,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf,FAIL,tried 1 URLs,
1604,"International diversification, ownership structure and perfo",https://www.tandfonline.com/doi/pdf/10.1080/1331677X.2020.1820359?needAccess=tru,FAIL,tried 1 URLs,
1610,Outward FDI and efficiency in within-firm resource allocatio,https://kar.kent.ac.uk/88610/9/Outward%20FDI%20and%20Efficiency%20in%20Within-fi,OK,ok_957kb,1610_2021.pdf
1635,The Relationship between Extent of Internationalization and ,https://downloads.hindawi.com/journals/mpe/2021/5528972.pdf,FAIL,tried 1 URLs,
1644,International activities and innovation: Evidence from Italy,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/twec.13153,SKIP_UNSUPPORTED,kind=other,
1722,Markups and export behavior: Firm-level evidence from the Fr,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292,SKIP_UNSUPPORTED,kind=other,
1724,Does Psychic Distance Still Matter? Empirical Evidence from ,https://journals.kozminski.edu.pl/system/files/Hauke%20Lopes_0.pdf,FAIL,tried 1 URLs,
1765,CSR and Long-Term Corporate Performance: The Moderating Effe,https://www.mdpi.com/2071-1050/14/9/5543/pdf?version=1651745957,SKIP_UNSUPPORTED,kind=other,
1767,Do domestic market characteristics influence firms' export i,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?t,SKIP_UNSUPPORTED,kind=other,
1842,Does Corporate ESG Performance Improve Export Intensity? Evi,https://www.mdpi.com/2071-1050/14/20/12981/pdf?version=1665648089,SKIP_UNSUPPORTED,kind=other,
1892,Slack Resources and Export Intensity: New Empirical Evidence,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854,SKIP_UNSUPPORTED,kind=other,
1894,How Organizational Resources and Managerial Features Affect ,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979,SKIP_UNSUPPORTED,kind=other,
1921,On the Direct and Indirect Effects of ICT on SMEs Export Per,https://link.springer.com/content/pdf/10.1007/s13132-023-01378-7.pdf,OK,ok_700kb,1921_2024.pdf
1936,Do National Export Promotion Programs in Indonesia support e,http://www.cell.com/article/S2405844023041257/pdf,SKIP_UNSUPPORTED,kind=other,
2020,Does internationalization and board diversity affect family ,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365,SKIP_UNSUPPORTED,kind=other,
2041,"Foreign Ownership, Board of Directors, and Environmental Com",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396,SKIP_UNSUPPORTED,kind=other,
2111,Learning Orientation and Export Performance in Nigeria: The ,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854,SKIP_UNSUPPORTED,kind=other,
2149,"Corporate ESG Performance, Ownership Structure and Export In",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,SKIP_UNSUPPORTED,kind=other,
2153,"Wine, markups, and export behavior: Evidence from Hungary",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B101,OK,ok_315kb,2153_2025.pdf
2282,"Digital Transformation, Internationalization and Productivit",https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,OK,ok_1805kb,2282_2026.pdf
2289,Internationalization and financial performance in Colombian ,https://www.upo.es/revistas/index.php/RevMetCuant/article/download/10640/10051,SKIP_UNSUPPORTED,kind=other,
2290,Gender Perspectives on SME International Trade and Revenue i,https://library.ien.bg.ac.rs/index.php/jwee/article/download/2007/1543,SKIP_UNSUPPORTED,kind=other,
2292,The Impact of Digital Technology Adoption and Internationali,https://doi.org/10.47836/ijeam.19.2.03,SKIP_UNSUPPORTED,kind=other,
2307,"ESG disclosure, firm internationalization, and firm financia",https://jois.eu/files/13_JIS 1438_Hussain et al.pdf,OK,ok_588kb,2307_2024.pdf
2340,The Importance of Interfirm Networks in Enhancing Innovation,https://hightechjournal.org/index.php/HIJ/article/download/310/87,SKIP_UNSUPPORTED,kind=other,
2363,The moderating effects of managers’ experience and gender on,https://doi.org/10.5267/j.ac.2020.9.006,SKIP_UNSUPPORTED,kind=other,
2378,"Survival, growth, and performance of Hungarian international",https://akjournals.com/downloadpdf/journals/204/41/1/article-p47.pdf,FAIL,tried 1 URLs,
2424,The Dragon is flying west: Micro-level evidence of Chinese o,https://www.mitpressjournals.org/doi/pdf/10.1162/ADEV_a_00032,OK,ok_213kb,2424_2014.pdf
2440,"Location, internationalization and performance of firms in I",http://hdl.handle.net/2158/605814,SKIP_UNSUPPORTED,kind=other,
463,Finding the sweet spot: effects of exporting on the relation,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Arti,SKIP_UNSUPPORTED,kind=other,
477,Do Export Learning Processes Affect Sales Growth in Exportin,https://ueaeprints.uea.ac.uk/id/eprint/70585/1/Assadinia_et_al_JIM_2019.pdf,OK,ok_1089kb,477_2019.pdf
462,"Clean, competitive, and productive? The impact of environmen",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,SKIP_UNSUPPORTED,kind=other,
465,"Firm-Level Carbon Productivity, Home Country Environmental P",https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253,SKIP_UNSUPPORTED,kind=other,
466,Exporting is a team sport: the link between management train,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-tea,OK,ok_1007kb,466_2024.pdf
614,Linking FDI motivation and host economy productivity effects,https://publications.aston.ac.uk/id/eprint/3579/1/Linking_FDI_motivation_and_hos,OK,ok_106kb,614_2007.pdf
686,The Impact of Interorganizational Imitation on New Venture I,https://digitalcommons.butler.edu/cob_papers/90,SKIP_UNSUPPORTED,kind=other,
1226,"Export Intensity, Geographic Diversification and the Role of",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/473293,OK,ok_2564kb,1226_2018.pdf
1258,Disentangling the effects of post-entry speed of internation,https://publications.aston.ac.uk/id/eprint/37452/1/Manuscript.pdf,OK,ok_1156kb,1258_2018.pdf
1540,The existence of W-shaped relationship between international,https://doi.org/10.5267/j.dsl.2020.7.001,SKIP_UNSUPPORTED,kind=other,
1549,Big data analytics (BDA) and degree of internationalization:,https://link.springer.com/content/pdf/10.1007/s10997-020-09542-w.pdf,OK,ok_739kb,1549_2021.pdf
1551,When Does Corporate Social Performance Pay for International,https://journals.sagepub.com/doi/pdf/10.1177/0007650318816957,FAIL,tried 1 URLs,
1607,Exploring the role of international R&D activities in the im,https://www.sciencedirect.com/science/article/pii/S014829632030271X,SKIP_UNSUPPORTED,kind=other,
1653,"Founders' Prior Shared International Experience, Time to Fir",https://journals.sagepub.com/doi/pdf/10.1177/01492063211029701,FAIL,tried 1 URLs,
1655,Speed of institutional change and subsidiary performance: Th,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gsj.1416,SKIP_UNSUPPORTED,kind=other,
1733,'R&D and export performance: exploring heterogeneity along t,https://link.springer.com/content/pdf/10.1007/s40812-022-00209-1.pdf,OK,ok_769kb,1733_2022.pdf
1753,Turning the Tables: The Relationship Between Performance and,https://link.springer.com/content/pdf/10.1007/s11575-022-00464-3.pdf,OK,ok_829kb,1753_2022.pdf
1771,The Impact of Breakthrough Innovations on the Export Perform,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.888697/pdf,SKIP_UNSUPPORTED,kind=other,
1790,"The Relationship Between Timing, Speed, and Performance in F",https://link.springer.com/content/pdf/10.1007/s11575-022-00470-5.pdf,OK,ok_1191kb,1790_2022.pdf
1888,The Relationship Between Export Market Orientation and Firm ,https://jurnal.ugm.ac.id/gamaijb/article/download/65565/35809,SKIP_UNSUPPORTED,kind=other,
1985,The Effect of Foreign Divestment on Subsequent Firm Performa,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12786,SKIP_UNSUPPORTED,kind=other,
1996,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL,https://are-journal.com/are/article/download/755/415,SKIP_UNSUPPORTED,kind=other,
2013,Financial and marketing approach to export performance: the ,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2315658?download=true,FAIL,tried 1 URLs,
2049,The mediating roles of cost leadership and cost focus strate,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2375410?needAccess=tru,FAIL,tried 1 URLs,
2053,"Balancing people, planet and profit: export strategies for s",https://run.unl.pt/bitstream/10362/182345/1/Lages_et_al_2024_SAMPJ.pdf,OK,ok_552kb,2053_2024.pdf
2121,'Learning to Export' and 'Learning By Exporting': Revisiting,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001,SKIP_UNSUPPORTED,kind=other,
