batch_no,seq,year,authors,title,journal,link,icrv,dpl,extraction_priority,r_reported,r_type,sample_n,converted_r,nonlinear,turning_point,notes,ready_for_r
1,460,2026,"Cooper, Russell; Gong, Guan; Hu, Guanlia","Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,https://doi.org/10.1111/iere.70042,2,3,A_DOI,,,,,,,,NO
2,161,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim,",Non-Home-Base Internationalization and Firm Performance in the Hospitality Indus,CORNELL HOSPITALITY QUARTERLY,https://doi.org/10.1177/19389655251405170,0,3,A_DOI,,,,,,,,NO
3,163,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon",Internationalization channels and firm financial performance among Asia-Pacific ,ENVIRONMENT DEVELOPMENT AND SUSTAINABILI,https://doi.org/10.1007/s10668-026-07324-2,0,3,A_DOI,,,,,,,,NO
4,168,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kili",Product innovation strategy and firm performance: Novelty and internationalizati,JOURNAL OF SMALL BUSINESS MANAGEMENT,https://doi.org/10.1080/00472778.2026.2640356,0,3,A_DOI,,,,,,,,NO
5,461,2026,"Hutzschenreuter, Thomas; Kleindienst, In","The performance effects of ""added cultural distance"" in multinational expansion ",MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-04-2025-0104,1,3,A_DOI,,,,,,,,NO
6,2032,2026,"Moreno Gene, Jordi; Sole Puiggene, Sonia",Determining the influence of belonging to a wine protected designation of origin,AGRIBUSINESS,https://doi.org/10.1002/agr.21947,1,3,A_DOI,,,,,,,,
7,2147,2026,"Grover, Cheshta; Ranjan, Ram",Analyzing energy efficiency decisions in India's energy-intensive industries,INTERNATIONAL JOURNAL OF ENERGY SECTOR M,https://doi.org/10.1108/ijesm-12-2024-0013,3,3,A_DOI,,,,,,,,0
8,2149,2026,"Pan, Yuchen; Wang, Han; Liu, Zhen","Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence Fr",INTERNATIONAL JOURNAL OF FINANCE & ECONO,https://doi.org/10.1002/ijfe.3167,2,3,A_DOI,,,,,,,,0
9,2204,2026,"Yeo, Yun Dong; Lee, Seung-Hyun",Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intens,JOURNAL OF EAST-WEST BUSINESS,https://doi.org/10.1080/10669868.2025.2554992,0,3,A_DOI,,,,,,,,0
10,2217,2026,"Shahid, Subhan; Ashraf, Naeem; Khan, Raa","Navigating family control: U-shaped effects on innovativeness and performance, m",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL,https://doi.org/10.1108/ijebr-06-2024-0578,1,3,A_DOI,,,,,,,,0
11,2222,2026,"Nwoba, Arinze Christian; Bicakcioglu-Pey",Export venture sustainability strategies: an exploration of knowledge-based enab,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-11-2024-0446,,3,A_DOI,,,,,,,,0
12,2236,2026,"Lei, Yang; Peng, Xiaosong David; Zhao, X",Spillover effects of customers' geographic diversification on suppliers' operati,INTERNATIONAL JOURNAL OF OPERATIONS & PR,https://doi.org/10.1108/ijopm-06-2025-0556,,3,A_DOI,,,,,,,,
