priority_rank,seq,doi_status,icrv,year,authors,title,journal,doi,prescreen_reason,dpl,fp_type
1,25,DOI,1,2024,"Jung, Yonggeun; Hur, Jung","Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *",EAST ASIAN ECONOMIC REVIEW,10.2139/ssrn.4881126,INCL:FDI,3,
2,44,DOI,1,2022,"Shin, Joonho; Mendoza, Xavier; Choi, Changbum",Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-021-09751-3,INCL:internationalization,3,
3,56,DOI,1,2020,"Mendoza, Xavier; Espinosa-Mendez, Christian; Araya-Castillo, Luis",When geography matters: International diversification and firm performance of Spanish multinationals,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420898981,INCL:MNE|geo-diversification|firm-performance,3,firm_performance
4,64,DOI,1,2020,"Cho, Jaeyoung; Lee, Jangwoo",Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ownership structure,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-018-0045-7,INCL:FDI,3,SURV
5,76,DOI,1,2018,"Ermolaeva, Liubov; Freixanet, Joan; Panibratov, Andrei",The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,10.5771/0949-6181-2018-4-621,INCL:internationalization,3,
6,79,DOI,1,2017,"Ral-Trebacz, Arkadiusz",Performance effects of multinationality: evidence from European companies,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2016.079528,INCL:MNE,3,TBD
7,86,DOI,1,2017,"Wojciechowski, Liwiusz",Productivity Gap: A Chance or an Obstacle in Absorbing Benefits from FDI in a Host Country,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2017.050407,INCL:FDI,3,LAB
8,116,DOI,1,2013,"Amadieu, Paul; Maurel, Carole; Viviani, Jean-Laurent","Intangibles, Export Intensity, and Company Performance in the French Wine Industry",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,INCL:export-intensity→company-performance,3,TBD
9,128,DOI,1,2012,"Zhang, Heather; Smith, Michael R.",Globalization and workplace performance in Canada: Cross-sectional and dynamic analyses of productivity and wage outcomes,RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY,10.1016/j.rssm.2012.04.001,INCL:globalization→workplace-productivity,3,LAB
10,129,DOI,1,2012,"Hagemejer, Jan; Tyrowicz, Joanna",Is the effect really so large? Firm-level evidence on the role of FDI in a transition economy,ECONOMICS OF TRANSITION,10.1111/j.1468-0351.2012.00433.x,INCL:FDI,3,
11,133,DOI,1,2011,"Anon Higon, Dolores; Manjon Antolin, Miguel; Manez, Juan A.","Multinationals, R&D, and productivity: evidence for UK manufacturing firms",INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtr007,INCL:MNE,3,LAB
12,160,DOI,1,2026,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina","Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,INCL:internationalization,3,TBD
13,171,DOI,1,2025,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",The effect of restructuring internationalized companies on performance: Evidence from European firms,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,INCL:internationalization,3,TBD
14,178,DOI,1,2025,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,INCL:internationalization,3,TBD
15,179,DOI,1,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.","Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,INCL:internationalization|financial-perf,3,financial_perf
16,186,DOI,1,2025,"Shin, Joon-Ho; Choi, Chang-Bum",Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,INCL:internationalization,3,TBD
17,187,DOI,1,2025,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,SUSTAINABILITY,10.3390/su17062580,INCL:globalization→financial-performance,3,
