seq,extraction_priority,icrv,dpl,fp_type,internationalization_measure_guess,model_type,title,authors,year,journal,doi,doi_link,google_scholar,fulltext_screening_decision,sample_size_n,reported_coefficient,t_value,df_for_t,p_value,converted_r,conversion_formula,performance_measure_guess,country_guess,region_guess,study_period_start,study_period_end,curve_type,ready_for_r,notes_for_extractor,extracted_by,is_oa,oa_status,pdf_url,best_url
460,1_DOI_FIRST,2,3,Productivity,Export intensity,,"Exporting Like China: Productivity, Market Demand, and Labor Frictions","Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,https://doi.org/10.1111/iere.70042,https://scholar.google.com/scholar?q=Exporting%20Like%20China%3A%20Productivity%2C%20Market%20Demand%2C%20and%20Labor%20Frictions,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Productivity,China,Asia,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,False,closed,,
461,1_DOI_FIRST,1,3,TBD,Degree of internationalization/multinationality,,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants","Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain",2026,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,https://doi.org/10.1108/mbr-04-2025-0104,https://scholar.google.com/scholar?q=The%20performance%20effects%20of%20%22added%20cultural%20distance%22%20in%20multinational%20expansion%20paths%3A%20generalizable%20and%20contextual%20determinants,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Firm performance,TO_EXTRACT,TO_EXTRACT,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,True,green,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf
2147,1_DOI_FIRST,3,3,productivity,fsts,logit_probit,Analyzing energy efficiency decisions in India's energy-intensive industries,"Grover, Cheshta; Ranjan, Ram",2026,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,10.1108/ijesm-12-2024-0013,https://doi.org/10.1108/ijesm-12-2024-0013,https://scholar.google.com/scholar?q=Analyzing%20energy%20efficiency%20decisions%20in%20India%27s%20energy-intensive%20industries,Y,,,,,,,,,,,,,,0,source:multi,,False,closed,,
2149,1_DOI_FIRST,2,3,composite,fsts,,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies","Pan, Yuchen; Wang, Han; Liu, Zhen",2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,https://doi.org/10.1002/ijfe.3167,https://scholar.google.com/scholar?q=Corporate%20ESG%20Performance%2C%20Ownership%20Structure%20and%20Export%20Intensity%3A%20Evidence%20From%20Chinese%20Listed%20Companies,Y,,,,,,,,,,,,,,0,source:wos,,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167
2204,1_DOI_FIRST,,3,,fsts,,Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intensity in Transition Economies,"Yeo, Yun Dong; Lee, Seung-Hyun",2026,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2025.2554992,https://doi.org/10.1080/10669868.2025.2554992,https://scholar.google.com/scholar?q=Innovation%20Pressure%20from%20Domestic%20and%20Foreign%20Competitors%20and%20Firm%20Export%20Intensity%20in%20Transition%20Economies,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2217,1_DOI_FIRST,,3,composite,n_countries,panel,"Navigating family control: U-shaped effects on innovativeness and performance, moderated by firm age and breadth of collaboration partners","Shahid, Subhan; Ashraf, Naeem; Khan, Raania Naeem",2026,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,10.1108/ijebr-06-2024-0578,https://doi.org/10.1108/ijebr-06-2024-0578,https://scholar.google.com/scholar?q=Navigating%20family%20control%3A%20U-shaped%20effects%20on%20innovativeness%20and%20performance%2C%20moderated%20by%20firm%20age%20and%20breadth%20of%20coll,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2222,1_DOI_FIRST,,3,composite,,,"Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications","Nwoba, Arinze Christian; Bicakcioglu-Peynirci, Nilay",2026,INTERNATIONAL MARKETING REVIEW,10.1108/imr-11-2024-0446,https://doi.org/10.1108/imr-11-2024-0446,https://scholar.google.com/scholar?q=Export%20venture%20sustainability%20strategies%3A%20an%20exploration%20of%20knowledge-based%20enablers%2C%20conditions%20and%20performance%20implica,Y,,,,,,,,,,,,,,0,source:wos,,True,green,,
2246,1_DOI_FIRST,,3,,,,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,"Lukason, Oliver; Vissak, Tiia",2026,INFORMATION,10.3390/info17010045,https://doi.org/10.3390/info17010045,https://scholar.google.com/scholar?q=Ceasing%20Export%20Activities%3A%20A%20Dynamic%20Analysis%20of%20Pre-Exit%20Financial%20and%20Internationalization%20Predictors,Y,,,,,,,,,,,,,,0,source:wos,,True,gold,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743
2248,1_DOI_FIRST,,3,composite,,panel,Digital orientation and performance in innovative SMEs: exploring the (curvi)linear effects,"Antenozio, Ludovica; Marques, Pilar; Bikfalvi, Andrea",2026,TECHNOVATION,10.1016/j.technovation.2026.103478,https://doi.org/10.1016/j.technovation.2026.103478,https://scholar.google.com/scholar?q=Digital%20orientation%20and%20performance%20in%20innovative%20SMEs%3A%20exploring%20the%20%28curvi%29linear%20effects,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,,https://doi.org/10.1016/j.technovation.2026.103478
2249,1_DOI_FIRST,,3,composite,,,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",2026,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x251408340,https://doi.org/10.1177/1069031x251408340,https://scholar.google.com/scholar?q=Juggling%20Markets%20and%20Products%3A%20How%20Does%20Ambidexterity%20Impact%20Export%20Performance%3F,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,,https://doi.org/10.1177/1069031x251408340
