seq,extraction_priority,icrv,dpl,year,title,journal,doi,doi_link,source_url_or_pdf_path,pdf_found,pdf_filename,unpaywall_api,openalex_search,google_scholar,country_guess,region_guess,performance_measure_guess,internationalization_measure_guess,notes_for_extractor,converted_r,fisher_z,variance_z,sample_size_n,ready_for_r
25,1_DOI_FIRST,1,3,2024,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *",EAST ASIAN ECONOMIC REVIEW,10.2139/ssrn.4881126,https://doi.org/10.2139/ssrn.4881126,,,,https://api.unpaywall.org/v2/10.2139%2Fssrn.4881126,https://openalex.org/works?search=Investing%20Abroad%2C%20Transforming%20at%20Home%3A%20An%20Empirical%20Study%20of%20Outward%20Foreign%20Direct%20Investment%20and%20Korean%20Manufacturing%27s%20Servicification%2A%20%2A,https://scholar.google.com/scholar?q=Investing%20Abroad%2C%20Transforming%20at%20Home%3A%20An%20Empirical%20Study%20of%20Outward%20Foreign%20Direct%20Investment%20and%20Korean%20Manufacturing%27s%20Servicification%2A%20%2A,Korea,Asia,Innovation/strategic outcome,OFDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
116,1_DOI_FIRST,1,3,2013,"Intangibles, Export Intensity, and Company Performance in the French Wine Industry",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,https://doi.org/10.1017/jwe.2013.27,,,,https://api.unpaywall.org/v2/10.1017%2Fjwe.2013.27,https://openalex.org/works?search=Intangibles%2C%20Export%20Intensity%2C%20and%20Company%20Performance%20in%20the%20French%20Wine%20Industry,https://scholar.google.com/scholar?q=Intangibles%2C%20Export%20Intensity%2C%20and%20Company%20Performance%20in%20the%20French%20Wine%20Industry,France,Europe,Firm performance,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
179,1_DOI_FIRST,1,3,2025,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,https://doi.org/10.1016/j.jrurstud.2025.103682,,,,https://api.unpaywall.org/v2/10.1016%2Fj.jrurstud.2025.103682,https://openalex.org/works?search=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,https://scholar.google.com/scholar?q=Internationalization%2C%20innovation%2C%20and%20resilience%3A%20Financial%20performance%20of%20agricultural%20cooperatives%20in%20southeastern%20Spain%27s%20rural%20economy,Spain,Europe,Innovation/strategic outcome,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
186,1_DOI_FIRST,1,3,2025,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,https://doi.org/10.35611/jkt.2025.29.6.173,,,,https://api.unpaywall.org/v2/10.35611%2Fjkt.2025.29.6.173,https://openalex.org/works?search=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,https://scholar.google.com/scholar?q=Comparative%20Study%20on%20the%20Impact%20of%20Ownership%20Concentration%20on%20Internationalization%20and%20Performance%3A%20Family%20versus%20Non-family%20Firms%20in%20Korea,Korea,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
221,1_DOI_FIRST,1,3,2023,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,SUSTAINABILITY,10.3390/su152115652,https://doi.org/10.3390/su152115652,,,,https://api.unpaywall.org/v2/10.3390%2Fsu152115652,https://openalex.org/works?search=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,https://scholar.google.com/scholar?q=Examining%20the%20Impact%20of%20Internationalization%20and%20Competitive%20Advantages%20on%20Enterprise%20Performance%20in%20Taiwan%27s%20Computer%20Numerical%20Control%20Machine%20Industry,Taiwan,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
270,1_DOI_FIRST,1,3,2019,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.4.30,https://doi.org/10.35611/jkt.2019.23.4.30,,,,https://api.unpaywall.org/v2/10.35611%2Fjkt.2019.23.4.30,https://openalex.org/works?search=Internationalization%20and%20Performance%20of%20SMEs%20in%20Masan%20Free%20Trade%20Zone%20%28Korea%29%3A%20The%20Direct%20and%20Moderating%20Effects%20of%20Firm%20Size,https://scholar.google.com/scholar?q=Internationalization%20and%20Performance%20of%20SMEs%20in%20Masan%20Free%20Trade%20Zone%20%28Korea%29%3A%20The%20Direct%20and%20Moderating%20Effects%20of%20Firm%20Size,Korea,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
277,1_DOI_FIRST,1,3,2018,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",INFORMATION TECHNOLOGY & MANAGEMENT,10.1007/s10799-018-0287-2,https://doi.org/10.1007/s10799-018-0287-2,,,,https://api.unpaywall.org/v2/10.1007%2Fs10799-018-0287-2,https://openalex.org/works?search=The%20impact%20of%20technology%20capability%2C%20human%20resources%2C%20internationalization%2C%20market%20resources%2C%20and%20customer%20satisfaction%20on%20annual%20sales%20growth%20rates%20of%20Korean%20software%20firms,https://scholar.google.com/scholar?q=The%20impact%20of%20technology%20capability%2C%20human%20resources%2C%20internationalization%2C%20market%20resources%2C%20and%20customer%20satisfaction%20on%20annual%20sales%20growth%20rates%20of%20Korean%20software%20firms,Korea,Asia,Growth,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
282,1_DOI_FIRST,1,3,2018,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-017-0457-4,https://doi.org/10.1007/s11365-017-0457-4,,,,https://api.unpaywall.org/v2/10.1007%2Fs11365-017-0457-4,https://openalex.org/works?search=Dimensional%20effects%20of%20Korean%20SME%27s%20entrepreneurial%20orientation%20on%20internationalization%20and%20performance%3A%20the%20mediating%20role%20of%20marketing%20capability,https://scholar.google.com/scholar?q=Dimensional%20effects%20of%20Korean%20SME%27s%20entrepreneurial%20orientation%20on%20internationalization%20and%20performance%3A%20the%20mediating%20role%20of%20marketing%20capability,Korea,Asia,Market performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
328,1_DOI_FIRST,1,3,2012,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,MILLENNIAL ASIA,10.1177/097639961200300103,https://doi.org/10.1177/097639961200300103,,,,https://api.unpaywall.org/v2/10.1177%2F097639961200300103,https://openalex.org/works?search=Productivity%20Heterogeneity%20and%20Internationalization%3A%20Evidence%20from%20Japanese%20Firms,https://scholar.google.com/scholar?q=Productivity%20Heterogeneity%20and%20Internationalization%3A%20Evidence%20from%20Japanese%20Firms,Japan,Asia,Productivity,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
38,1_DOI_FIRST,2,3,2022,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,https://doi.org/10.1057/s41267-022-00511-z,,,,https://api.unpaywall.org/v2/10.1057%2Fs41267-022-00511-z,https://openalex.org/works?search=How%20does%20offshore%20outsourcing%20of%20knowledge-intensive%20activities%20affect%20the%20exports%20and%20financial%20performance%20of%20emerging%20market%20firms%3F,https://scholar.google.com/scholar?q=How%20does%20offshore%20outsourcing%20of%20knowledge-intensive%20activities%20affect%20the%20exports%20and%20financial%20performance%20of%20emerging%20market%20firms%3F,Emerging markets,Multiple/Emerging,Market performance,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
