seq,title,authors,year,journal,doi,pdf_url,icrv,dpl,extraction_priority,notes_for_extractor
221,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,"Liao, Hsing-Kuo; Liao, Chin-Wen; Chen, Cheng-Chi; Chen, Tzu-Wen",2023,SUSTAINABILITY,10.3390/su152115652,https://www.mdpi.com/2071-1050/15/21/15652/pdf?version=1699257297,1,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
277,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms","Lee, Seung Hyun; Leem, Choon Seong; Bae, Dae Jung",2018,INFORMATION TECHNOLOGY & MANAGEMENT,10.1007/s10799-018-0287-2,https://link.springer.com/content/pdf/10.1007/s10799-018-0287-2.pdf,1,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
87,"Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China","Bhaumik, Sumon Kumar; Driffield, Nigel; Zhou, Ying",2016,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.12.006,https://www.sciencedirect.com/science/article/pii/S0969593115000050,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
120,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA","Chandran, V. G. R.; Rasiah, Rajah",2013,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,https://journals.vilniustech.lt/index.php/JBEM/article/download/3741/3154,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
176,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms","Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana",2025,SUSTAINABILITY,10.3390/su17041576,https://www.mdpi.com/2071-1050/17/4/1576/pdf?version=1739523918,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
197,"Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises","Wang, Shanshan; Chen, Fenglan; Yang, Xiaoyan",2024,HELIYON,10.1016/j.heliyon.2024.e33492,http://www.cell.com/article/S2405844024095239/pdf,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
266,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,"Cui, Lin; Xu, Ying",2019,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2019.04.002,https://openresearch-repository.anu.edu.au/bitstreams/940bad1a-aff2-4546-9f21-007821d9458b/download,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
286,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",2018,ADMINISTRATIVE SCIENCES,10.3390/admsci8040064,https://www.mdpi.com/2076-3387/8/4/64/pdf,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
301,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,"Chin, Tachia; Tsai, Sang-Bing; Fang, Kai; Zhu, Wenzhong; Yang, Dongjin; Liu, Ren-huai; Tsuei, Richard Ting Chang",2016,PLOS ONE,10.1371/journal.pone.0162175,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162175&type=printable,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
313,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,"Lu, Jane Wenzhen; Liang, Xueji; Shan, Mengmeng; Liang, Xiaoya",2015,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2015.32,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5DD1E4AD124B373443DE425E80BB6FA6/S1740877615000327a.pdf/div-class-title-internationalization-and-performance-of-chinese-family-firms-the-moderating-role-of-corporate-governance-div.pdf,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,"Yu, Ying; Hu, Xiaoling; Wang, Yong; Ward, Philippa",2020,SUSTAINABILITY,10.3390/su12145508,https://www.mdpi.com/2071-1050/12/14/5508/pdf?version=1594386196,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
48,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,"Crick, James M.; Crick, Dave",2021,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,https://figshare.com/articles/journal_contribution/Internationalizing_the_coopetition_construct_Quadratic_effects_on_financial_performance_under_different_degrees_of_export_intensity_and_an_export_geographical_scope/13483611,1,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
463,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | ICRV=0 auto-default; verify from full text
250,The post-acquisition performance of cross-border mergers and acquisitions conducted by Chinese firms in the high-tech industries: Profitable or innovative?,"Yang, Monica; Ai, Qi",2021,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22192,http://bura.brunel.ac.uk/bitstream/2438/28453/1/FullText.pdf,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
181,The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",2025,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,https://inzeko.ktu.lt/index.php/EE/article/view/31403/16984,3,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
533,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,"Srividhya, M.; Vidya, C. T.",2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,https://www.e-jei.org/upload/jei-2024033.pdf,3,2,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
