seq,study_id,effect_id,authors,year,title,journal,doi,priority,l2_deep_reason,dedup_key,country,sample_start,sample_end,n,r,r_quadratic,turning_point,beta,t_value,f_value,df,icrv,cdai,cdai_source,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,extraction_status,coder,notes
3,Pan_2026,Pan_2026_e1,"Pan, Yuchen; Wang, Han; Liu, Zhen",2026,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,High,L2:title-I+P-confirmed,pan_2026,,,,,,,,,,,,2,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed
75,Le_2025,Le_2025_e1,"Le, Minh-Hieu; Lu, Wen-Min",2025,"The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises",BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.70126,High,L2:title-I+P-confirmed,le_2025,,,,,,,,,,,,,,,3,other,,,,,,,,L2:title-I+P-confirmed
104,Amutabi_2024,Amutabi_2024_e1,"Amutabi, Cyprian",2024,Total factor productivity in Kenyan manufacturing firms: The role of ISO certification and direct vs indirect export intensity,SOUTH AFRICAN JOURNAL OF ECONOMICS,10.1111/saje.12372,High,L2:title-I+P-confirmed,amutabi_2024,,,,,,,,,,,,,,,3,export_ratio,TFP,,,,,,,L2:title-I+P-confirmed
161,Baum_2023,Baum_2023_e1,"Baum, Matthias; Sui, Sui; Malhotra, Shavin",2023,A vicarious learning perspective on the relationship between home-peer performance and export intensity among SMEs,INTERNATIONAL MARKETING REVIEW,10.1108/imr-01-2022-0026,High,L2:title-I+P-confirmed,baum_2023,,,,,,,,,,,,,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed
170,Pedersen_2023,Pedersen_2023_e1,"Pedersen, Torben; Tallman, Stephen",2023,Global strategy collections: Multinationality and performance,GLOBAL STRATEGY JOURNAL,,High,L2:title-I+P-confirmed,pedersen_2023,,,,,,,,,,,,,,,3,other,,,,,,,,L2:title-I+P-confirmed
214,Benfratello_2022,Benfratello_2022_e1,"Benfratello, L.; Bottasso, A.; Piccardo, C.",2022,'R&D and export performance: exploring heterogeneity along the export intensity distribution',JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,10.1007/s40812-022-00209-1,High,L2:title-I+P-confirmed,benfratello_2022,,,,,,,,,,,,,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed
244,Eckert_2022,Eckert_2022_e1,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Constantin",2022,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,High,L2:title-I+P-confirmed,eckert_2022,,,,,,,,,,,,,,,3,other,,,,,,,,L2:title-I+P-confirmed
257,Wu_2022,Wu_2022_e1,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu, Liyan",2022,Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,SUSTAINABILITY,10.3390/su142012981,High,L2:title-I+P-confirmed,wu_2022,,,,,,,,,,,,2,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed
268,Yen_2021,Yen_2021_e1,"Yen, I-Fan; Lin, Hsin-Mei",2021,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,CHINESE MANAGEMENT STUDIES,10.1108/cms-12-2019-0441,High,L2:title-I+P-confirmed,yen_2021,,,,,,,,,,,,2,,,3,other,,,,,,,,L2:title-I+P-confirmed
273,Mullen_2021,Mullen_2021_e1,"Mullen, Cormac",2021,'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,High,L2:title-I+P-confirmed,mullen_2021,,,,,,,,,,,,2,,,3,other,firm_performance,,,,,,,L2:title-I+P-confirmed
276,Andre_2021,Andre_2021_e1,"Andre, Nuno Miguel Queimado",2021,Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,High,L2:title-I+P-confirmed,andre_2021,,,,,,,,,,,,,,,3,,,,,,,,,L2:title-I+P-confirmed
278,Ref_2021,Ref_2021_e1,"Ref, Ohad; Gnizy, Itzhak",2021,"Resource indivisibility, lumpy costs and the multinationality-performance relationship",INTERNATIONAL MARKETING REVIEW,10.1108/imr-05-2020-0094,High,L2:title-I+P-confirmed,ref_2021,,,,,,,,,,,,,,,3,other,,,,,,,,L2:title-I+P-confirmed
293,Crick_2021,Crick_2021_e1,"Crick, James M.; Crick, Dave",2021,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,High,L2:title-I+P-confirmed,crick_2021,,,,,,,,,,,,,,,3,export_ratio,financial_perf,,,,,,,L2:title-I+P-confirmed
