STT,seq,year,authors,title,journal,link,ICRV,DPL,r_bao_cao,loai_r,n_mau,r_doi_chieu,phi_tuyen,turning_point,ghi_chu
1,460,2026,"Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, P","Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,https://doi.org/10.1111/iere.70042,2,3,,,,,,,
2,161,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeo",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,https://doi.org/10.1177/19389655251405170,0,3,,,,,,,
3,163,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Jav",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,https://doi.org/10.1007/s10668-026-07324-2,0,3,,,,,,,
4,168,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nich",Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,https://doi.org/10.1080/00472778.2026.2640356,0,3,,,,,,,
5,461,2026,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar","The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-04-2025-0104,1,3,,,,,,,
6,2032,2026,"Moreno Gene, Jordi; Sole Puiggene, Sonia; Gallizo ",Determining the influence of belonging to a wine protected designation of origin on profitability,AGRIBUSINESS,https://doi.org/10.1002/agr.21947,1,3,,,,,,,
7,2147,2026,"Grover, Cheshta; Ranjan, Ram",Analyzing energy efficiency decisions in India's energy-intensive industries,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,https://doi.org/10.1108/ijesm-12-2024-0013,3,3,,,,,,,
8,2149,2026,"Pan, Yuchen; Wang, Han; Liu, Zhen","Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,https://doi.org/10.1002/ijfe.3167,2,3,,,,,,,
9,2204,2026,"Yeo, Yun Dong; Lee, Seung-Hyun",Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intensity in Transition Economies,JOURNAL OF EAST-WEST BUSINESS,https://doi.org/10.1080/10669868.2025.2554992,0,3,,,,,,,
10,2217,2026,"Shahid, Subhan; Ashraf, Naeem; Khan, Raania Naeem","Navigating family control: U-shaped effects on innovativeness and performance, moderated by firm age and breadth of collaboration partners",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR ,https://doi.org/10.1108/ijebr-06-2024-0578,1,3,,,,,,,
11,2222,2026,"Nwoba, Arinze Christian; Bicakcioglu-Peynirci, Nil","Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications",INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-11-2024-0446,?,3,,,,,,,
12,2236,2026,"Lei, Yang; Peng, Xiaosong David; Zhao, Xiande; Guo",Spillover effects of customers' geographic diversification on suppliers' operational performance: impacts and mechanisms,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION M,https://doi.org/10.1108/ijopm-06-2025-0556,?,3,,,,,,,
13,2246,2026,"Lukason, Oliver; Vissak, Tiia",Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,INFORMATION,https://doi.org/10.3390/info17010045,?,3,,,,,,,
14,2248,2026,"Antenozio, Ludovica; Marques, Pilar; Bikfalvi, And",Digital orientation and performance in innovative SMEs: exploring the (curvi)linear effects,TECHNOVATION,https://doi.org/10.1016/j.technovation.2026.103478,1,3,,,,,,,
15,2249,2026,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; R",Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x251408340,?,3,,,,,,,
16,2252,2026,"Nahar, Sharmin; Alam, Muntasir",Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.70093,1,3,,,,,,,
17,2260,2026,"Xu, Miao; Lu, Bing","The data-driven decision-making, sustainable value creation, and international firm performance: Micro-level evidence based on AI language models",PLOS ONE,https://doi.org/10.1371/journal.pone.0340731,?,3,,,,,,,
18,2264,2026,"Cattaruzzo, Sebastiano; Coro, Giancarlo; Borsato, ",Technological complexity and global capabilities in SMEs. A survey in an Italian industrial region,INDUSTRY AND INNOVATION,https://doi.org/10.1080/13662716.2026.2637174,1,3,,,,,,,
19,2276,2026,"Yu, Xiaoyuan; He, Hua; Dadashzade, Gulmira; Mamadi",The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,ENERGY STRATEGY REVIEWS,https://doi.org/10.1016/j.esr.2026.102215,2,3,,,,,,,
20,2280,2026,Zhang X.,Corporate performance effects of digital empowerment under the Belt and Road Initiative: Evidence from M&A performance and green performance,International Review of Economics and Finance,https://doi.org/10.1016/j.iref.2026.105315,2,3,,,,,,,
21,2282,2026,Torrent-Sellens J.,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",Journal of the Knowledge Economy,https://doi.org/10.1007/s13132-026-03199-w,1,3,,,,,,,
22,2284,2026,Liu R.R.,Early Internationalization in Family and Non-family Firms: Performance Implications and the Role of Non-family Managers,Management International Review,https://doi.org/10.1007/s11575-026-00618-7,?,3,,,,,,,
23,2285,2026,Cattaruzzo S.,"Robots, Firms, and Regions: Explaining Spanish Manufacturing Firms’ Productivity and Exports",Journal of the Knowledge Economy,https://doi.org/10.1007/s13132-026-03261-7,1,3,,,,,,,
24,179,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco ","Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,https://doi.org/10.1016/j.jrurstud.2025.103682,1,3,,,,,,,
25,176,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; ","Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,https://doi.org/10.3390/su17041576,2,3,,,,,,,
