seq,priority,doi_available,source,year,authors,title,journal,doi,access_link,icrv,cdai,dpl,doi_type,fp_type,country,n,r,coding_warning,notes,extracted
3,High,Y,original,2026,"Pan, Yuchen; Wang, Han; Liu, Zhen","Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,https://doi.org/10.1002/ijfe.3167,2,L,3,export_ratio,TBD,China,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,
783,High,Y,original,2026,"Matsuura, Toshiyuki",Revisiting the role of service for manufacturing firm exports: Evidence from Japanese firm-level data,JAPAN AND THE WORLD ECONOMY,10.1016/j.japwor.2025.101343,https://doi.org/10.1016/j.japwor.2025.101343,1,H,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:Japan; cdai_auto:H,
784,High,Y,original,2026,"Lemma, Tesfaye; Machokoto, Michael; Mlilo, Mthokozisi",Gender Differences in Enterprise Export Performance: Some International Evidence,WORLD ECONOMY,10.1111/twec.70052,https://doi.org/10.1111/twec.70052,,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
785,High,Y,original,2026,"Li, Jin; Li, Haohang; Li, Tong",Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,JOURNAL OF APPLIED ECONOMICS,10.1080/15140326.2026.2617752,https://doi.org/10.1080/15140326.2026.2617752,2,M,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; cdai_auto:M,
786,High,Y,original,2026,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x251408340,https://doi.org/10.1177/1069031x251408340,,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
788,High,Y,original,2026,"Li, Xiaoying; Yuan, Jing; Huang, Qihai","Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Exploratory Learning of Exporting SMEs",MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2026.10127,https://doi.org/10.1017/mor.2026.10127,,,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y,
75,High,Y,original,2025,"Le, Minh-Hieu; Lu, Wen-Min","The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises",BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.70126,https://doi.org/10.1002/bse.70126,,,3,COMP,Efficiency,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
790,High,Y,original,2025,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102345,https://doi.org/10.1016/j.ibusrev.2024.102345,,,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; cdai not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
791,High,Y,original,2025,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.74896,https://doi.org/10.22146/gamaijb.74896,,L,3,EXP,EXP,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:L,
793,High,Y,original,2025,"Su, Yunqing; Lu, Weijun",The impact of enterprise income tax on firm export: Evidence from income tax revenue sharing reform in China,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.04.032,https://doi.org/10.1016/j.eap.2025.04.032,2,M,3,,,NR - full-text needed,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:unsure-resolved-Y; icrv_auto:inferred:title:China; cdai_auto:M,
