seq,title,year,doi,pdf_url,status,converted_r,n,conversion_formula,notes,error
463,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD perf,2025,10.1108/imr-02-2024-0039,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,NO_PDF,,,,,
533,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,2024,10.11130/jei.2024033,manifest,NO_R_FOUND,,,none,No convertible statistic found,
461,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable",2026,10.1108/mbr-04-2025-0104,manifest,NO_R_FOUND,,,none,No convertible statistic found,
462,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and",2025,10.1111/1477-8947.12525,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,NO_PDF,,,,,
466,Exporting is a team sport: the link between management training and performance in SMEs,2024,10.1108/ijm-03-2023-0150,manifest,NO_R_FOUND,,,none,No convertible statistic found,
614,Linking FDI motivation and host economy productivity effects: conceptual and empirical analysis,2007,10.1057/palgrave.jibs.8400268,manifest,NO_R_FOUND,,,none,No convertible statistic found,
686,The Impact of Interorganizational Imitation on New Venture International Entry and Performance,2010,10.1111/j.1540-6520.2009.00365.x,manifest,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
824,Geographic and Product Diversification in Charitable Organizations,2013,10.1177/0149206311398135,manifest,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
845,The effect of institutional quality on firm export performance in emerging economies: a contingency ,2013,10.1007/s11187-011-9395-7,manifest,PDF_ERROR,,,,,PDF_READ_ERROR: No /Root object! - Is this really a PDF?
906,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT FIRMS IN MYANMAR",2013,10.3846/20294913.2013.869513,manifest,NO_R_FOUND,,,none,No convertible statistic found,
1012,"Foreign market experience, learning by hiring and firm export performance",2015,10.1007/s10290-015-0224-y,http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf,NO_PDF,,,,,
