seq,doi,title,status,converted_r,conversion_formula,sample_size_n,t_value,p_value,effect_direction,curve_type,notes
221,10.3390/su152115652,Examining the Impact of Internationalization and C,NO_PDF,,,,,,,,PDF not in dir and no OA URL
277,10.1007/s10799-018-0287-2,"The impact of technology capability, human resourc",NOT_FOUND,,not_found,79,,,,unknown,No internationalization → firm performance relationship found
87,10.1016/j.ibusrev.2014.12.006,"Country specific advantage, firm specific advantag",NO_PDF,,,,,,,,PDF not in dir and no OA URL
120,10.3846/16111699.2012.668860,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND E",NOT_FOUND,,not_found,,,,,unknown,No direct I→P relationship coefficient reported in excerpt
176,10.3390/su17041576,"Does Maintaining Resources, Diversification, and I",NO_PDF,,,,,,,,PDF not in dir and no OA URL
197,10.1016/j.heliyon.2024.e33492,"Environmental, social and governance performance: ",NO_PDF,,,,,,,,PDF not in dir and no OA URL
266,10.1016/j.jwb.2019.04.002,Outward FDI and profitability of emerging economy ,NOT_FOUND,,not_found,,,,,unknown,No direct internationalization → firm performance relationship coefficient found
286,10.3390/admsci8040064,Internationalization and Performance of Vietnamese,NO_PDF,,,,,,,,PDF not in dir and no OA URL
301,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internatio,NOT_FOUND,,not_found,,,,,unknown,No direct internationalization → firm performance relationship found
313,10.1017/mor.2015.32,Internationalization and Performance of Chinese Fa,NOT_FOUND,,not_found,225,,,+/-,unknown,No specific regression coefficient or correlation reported for internationalization → firm performance relationship
475,10.3390/su12145508,A Patulous Progress: International Entrepreneurshi,NO_PDF,,,,,,,,PDF not in dir and no OA URL
48,10.1177/1069031x20988260,Internationalizing the Coopetition Construct: Quad,NO_PDF,,,,,,,,PDF not in dir and no OA URL
463,10.1108/imr-02-2024-0039,Finding the sweet spot: effects of exporting on th,NO_PDF,,,,,,,,PDF not in dir and no OA URL
250,10.1002/tie.22192,The post-acquisition performance of cross-border m,NOT_FOUND,,not_found,1340,,,->,unknown,No direct I→P relationship coefficient found in the excerpt
181,10.5755/j01.ee.36.3.31403,The Impact of Internationalization on Firm Perform,NOT_FOUND,,not_found,591,,,,unknown,No direct internationalization → firm performance relationship coefficient found
533,10.11130/jei.2024033,Internationalization at Inception: Insights from t,NOT_FOUND,,not_found,72,,,,inverted_u,No direct I→P relationship coefficient reported
36,10.1007/s11575-022-00473-2,Economies of Scale: The Rationale Behind the Multi,NOT_FOUND,,not_found,3876,,,,unknown,No direct I→P relationship coefficient reported in the excerpt
54,10.1002/smj.3087,"Does it pay to be a multinational? A large-sample,",NO_PDF,,,,,,,,PDF not in dir and no OA URL
167,10.1108/jfbm-08-2025-0226,Navigating global waters: performance outcomes of ,NO_PDF,,,,,,,,PDF not in dir and no OA URL
196,10.1002/csr.2894,Analysis the nexus between internationalization an,NO_PDF,,,,,,,,PDF not in dir and no OA URL
218,10.3390/su15032003,Dancing with Giants: A Unified Framework for Coope,NO_PDF,,,,,,,,PDF not in dir and no OA URL
220,10.1016/j.jretai.2023.07.005,Internationalization and digitalization: Their dif,NO_PDF,,,,,,,,PDF not in dir and no OA URL
245,10.37725/mgmt.v24i1.4507,Pre-Internationalization and Performance Condition,NO_PDF,,,,,,,,PDF not in dir and no OA URL
248,10.1002/jae.2837,Productivity effects of internationalisation throu,NO_PDF,,,,,,,,PDF not in dir and no OA URL
272,10.1016/j.ijhm.2019.03.007,Internationalization and hotel performance: Agglom,NO_PDF,,,,,,,,PDF not in dir and no OA URL
