seq,title,icrv_auto,reason,has_abstract
463,Finding the sweet spot: effects of exporting on the relationship betwe,,no_country_detected,N
471,No place like home: The effect of exporting to the country of origin o,,no_country_detected,N
477,Do Export Learning Processes Affect Sales Growth in Exporting Activiti,,no_country_detected,N
462,"Clean, competitive, and productive? The impact of environment-friendly",,no_country_detected,N
465,"Firm-Level Carbon Productivity, Home Country Environmental Performance",,no_country_detected,N
466,Exporting is a team sport: the link between management training and pe,,no_country_detected,N
472,Export status and SME productivity: Learning-to-export versus learning,,no_country_detected,N
474,Exploring the exporting-downsizing link: Does the type of export strat,,no_country_detected,N
479,Detecting learning-by-exporting effects on firms' productivity distrib,,no_country_detected,N
482,A Multimediation Model of Learning by Exporting: Analysis of Export-In,,no_country_detected,N
483,"Distances, multinational organisational learning, and firm performance",,no_country_detected,N
489,Multinational risk and performance outcomes: Effects of knowledge inte,,no_country_detected,N
490,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MU,,no_country_detected,Y
497,Geographic scope and multinational enterprise performance,,no_country_detected,Y
526,Disaggregating Multinationality: An Empirical Examination of Aggregati,,no_country_detected,Y
455,How Firm Performance Affects Internationalization,,no_country_detected,N
509,"Manufacturing exports, profitability and working capital",,no_country_detected,N
437,Multinational Performance and the Geography of FDI,,no_country_detected,N
440,Internationalization and Performance of Retail Firms: A Bayesian Dynam,,no_country_detected,N
441,INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,,no_country_detected,N
442,Firms' internationalization and productivity growth,,no_country_detected,N
443,The Role of Internationalization in Explaining Innovation Performance,,no_country_detected,N
444,"Export, FDI and firm productivity",,no_country_detected,N
445,The effect of government-designed export promotion service use on smal,,no_country_detected,N
448,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIR,,no_country_detected,N
456,The role of internationalization in explaining innovation performance,,no_country_detected,N
457,"How firms differ in innovation, productivity and internationalisation",,no_country_detected,N
458,Venture adolescence Internationalization and performance implications ,,no_country_detected,N
498,ESG and firm performance: The effects of foreigners on board and expor,,no_country_detected,N
510,"R&D investments, financing constraints, exporting and productivity",,no_country_detected,N
512,Added Psychic Distance Stimuli and MNE Performance Performance Effects,,no_country_detected,N
523,Analysis of the interaction between regional R&D productivity and the ,,no_country_detected,N
506,How internationalization affects firms' growth in the MENA region? A q,,no_country_detected,Y
538,Effects of international diversity and product diversity on the perfor,,no_country_detected,N
551,International corporate entrepreneurship and firm performance: The mod,,no_country_detected,N
554,The internationalization and performance of SMEs,,no_country_detected,N
556,Multinationality and firm performance: The moderating role of R&D and ,,no_country_detected,N
558,How do large depreciations affect firm performance?,,no_country_detected,Y
561,A three-stage theory of international expansion: the link between mult,,no_country_detected,N
567,The relationship between international diversification and performance,,no_country_detected,N
568,A resource-based approach to the study of export performance,,no_country_detected,N
573,The effects of top management team pay and firm internationalization o,,no_country_detected,N
575,Industrial structure and international competitiveness of post-communi,,no_country_detected,Y
578,International diversification and firm performance: The S-CURVE hypoth,,no_country_detected,N
579,Internationalization of private firms: environmental turbulence and or,,no_country_detected,Y
582,"Entrepreneurial Strategic Posture, International Diversifi cation, and",,no_country_detected,N
587,Antecedents and performance consequences of international outsourcing,,no_country_detected,N
591,Internationalization and Performance: The S-curve Hypothesis and Produ,,no_country_detected,N
592,SME internationalization and performance: Growth vs. profitability,,no_country_detected,N
593,Export intensity and plant characteristics: What can we learn from qua,,no_country_detected,N
603,"A review of the foundation, international marketing strategies, and pe",,no_country_detected,N
605,PERFORMANCE EFFECTS OF INTERNATIONALIZATION STRATEGIES: A META-ANALYSI,,no_country_detected,N
609,INTRA-REGIONAL SALES AND THE INTERNATIONALIZATION AND PERFORMANCE RELA,,no_country_detected,N
612,The effect of product diversification strategies on the relationship b,,no_country_detected,N
614,Linking FDI motivation and host economy productivity effects: conceptu,,no_country_detected,N
616,International diversification and firm performance: Role of informatio,,no_country_detected,N
617,The impact of national culture and communication on exporter-distribut,,no_country_detected,N
629,Overseas business costs and firm export performance,,no_country_detected,N
630,The export intensity of venture capital backed companies,,no_country_detected,N
638,Internationalization and performance of small- and medium-sized enterp,,no_country_detected,N
640,International diversification and performance: The mediating role of i,,no_country_detected,N
641,EXPORT BEHAVIOUR IN THE CHILEAN AGRIBUSINESS AND FOOD PROCESSING INDUS,,no_country_detected,Y
655,Learning-by-Exporting Revisited: The Role of Intensity and Persistence,,no_country_detected,N
684,A MULTILEVEL APPROACH TO UNDERSTANDING THE MULTINATIONALITY-PERFORMANC,,no_country_detected,N
686,The Impact of Interorganizational Imitation on New Venture Internation,,no_country_detected,N
692,Top Management Team Internationalization and Firm Performance,,no_country_detected,N
699,THE PERFORMANCE IMPLICATIONS OF INTRA- AND INTER-REGIONAL GEOGRAPHIC D,,no_country_detected,Y
701,"Internationalization, resource allocation and firm performance",,no_country_detected,N
712,Does market context impact payoffs to internationalization?,,no_country_detected,Y
714,Is there new evidence to show that product and international diversifi,,no_country_detected,N
718,The Internationalization of Iceland's Financial Sector,,no_country_detected,N
721,Internationalization and financial performance in the global forest in,,no_country_detected,N
739,THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND FIRM PERFOR,,no_country_detected,N
750,Linking market orientation to international market selection and inter,,no_country_detected,N
755,Country and firm level factors in international retail expansion,,no_country_detected,Y
764,"Organisational learning capability, product innovation performance and",,no_country_detected,N
765,Multinationality-Performance Relationship A Meta-analysis,,no_country_detected,N
767,Perceived benefits and barriers to export involvement: Insights from n,,no_country_detected,Y
774,The impact of geographic diversification on export performance of smal,,no_country_detected,N
776,"Successor characteristics, change in the degree of firm internationali",,no_country_detected,N
780,THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION IN THE MU,,no_country_detected,N
