seq,year,authors,title,link,icrv_hint,icrv,notes
437,2013,"Yang, Yong; Martins, Pedro S.; Driffield, Nigel",Multinational Performance and the Geography of FDI,,,,
440,2012,"Assaf, A. George; Josiassen, Alexander; Ratchford, Brian T.; Barros, Carlos Pestana",Internationalization and Performance of Retail Firms: A Bayesian Dynamic Model,,,,
441,2012,"Fisch, Jan Hendrik",INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,,,,
442,2012,"Merino, Fernando",Firms' internationalization and productivity growth,,,,
443,2012,"Buckley, Peter J.; Kafouros, Mario I.; Sharp, John A.; Wang, Chengqi",The Role of Internationalization in Explaining Innovation Performance,,,,
444,2012,"Engel, D.; Procher, V.","Export, FDI and firm productivity",,,,
445,2012,"Durmusoglu, Serdar S.; Apfelthaler, Gerhard; Nayir, Dilek Zamantili; Alvarez, Roberto; Mughan, Terry",The effect of government-designed export promotion service use on small and medium-sized enterprise goal achievement: A multidimensional view of export performance,,,,
448,2011,"Ho, Chi-Ming; Chuang, Li-Min; Chen, Chi-Yu",REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,,,,
455,2009,"Jung, Jae C.; Bansal, Pratima",How Firm Performance Affects Internationalization,,,,
456,2008,"Kafouros, Mario I.; Buckley, Peter J.; Sharp, John A.; Wang, Chengqi",The role of internationalization in explaining innovation performance,,,,
457,2006,"Castellani, Davide; Zanfei, Antonello","How firms differ in innovation, productivity and internationalisation",,,,
458,2006,"Bloodgood, James",Venture adolescence Internationalization and performance implications of maturation,,,,
462,2025,"Shershunovich, Yauheniya; Mirzabaev, Alisher","Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",https://doi.org/10.1111/1477-8947.12525,,,
463,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,https://doi.org/10.1108/imr-02-2024-0039,,,
465,2025,"Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto","Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry",https://doi.org/10.3390/su17125381,,,
466,2024,"Idris, Bochra; Saridakis, George; Georgellis, Yannis; Lai, Yanqing; Johnstone, Stewart",Exporting is a team sport: the link between management training and performance in SMEs,https://doi.org/10.1108/ijm-03-2023-0150,,,
