seq,doi,title,detected_country,icrv_coded,source
463,10.1108/imr-02-2024-0039,Finding the sweet spot: effects of exporting on the relationship between R&D inv,,0,title
471,10.1057/s41267-020-00360-8,No place like home: The effect of exporting to the country of origin on the fina,,0,title
477,10.1177/1069031x19848425,Do Export Learning Processes Affect Sales Growth in Exporting Activities?,,0,title
71,10.1080/19186444.2018.1556519,Alphabet soup: the relationship between multinationality and firm performance,,0,title
161,10.1177/19389655251405170,Non-Home-Base Internationalization and Firm Performance in the Hospitality Indus,,0,title
163,10.1007/s10668-026-07324-2,Internationalization channels and firm financial performance among Asia-Pacific ,,0,title
168,10.1080/00472778.2026.2640356,Product innovation strategy and firm performance: Novelty and internationalizati,,0,title
193,10.1108/cg-12-2022-0512,Effects of female CEO and female CFO on internationalization and firm performanc,,0,title
195,10.1007/s40821-024-00276-5,Internationalization and individual firm performance: a resource-based view,,0,title
196,10.1002/csr.2894,Analysis the nexus between internationalization and financial performance in win,,0,title
216,10.1108/ribs-03-2022-0030,Degree of internationalisation and firm performance: the flattening role of orga,,0,title
219,10.1108/mbr-10-2022-0168,Internationalization and firm performance: moderating role of multi-stakeholder ,,0,title
237,10.15678/eber.2022.100305,Taking the international route: Investigating the impact of socioemotional wealt,,0,title
273,10.1108/jes-04-2019-0152,Does persistence in internationalization and innovation influence firms' perform,,0,title
309,10.1108/jstp-09-2013-0204,Firm factors that influence internationalisation and subsequent financial perfor,,0,title
462,10.1111/1477-8947.12525,"Clean, competitive, and productive? The impact of environment-friendly technolog",,0,title
465,10.3390/su17125381,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm",,0,title
466,10.1108/ijm-03-2023-0150,Exporting is a team sport: the link between management training and performance ,,0,title
472,10.1016/j.jbusres.2021.02.026,Export status and SME productivity: Learning-to-export versus learning-by-export,,0,title
474,10.1016/j.jbusres.2019.10.074,Exploring the exporting-downsizing link: Does the type of export strategy and fi,,0,title
479,10.1111/twec.12807,Detecting learning-by-exporting effects on firms' productivity distribution by a,,0,title
482,10.1177/0149206315573998,A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Prod,,0,title
483,10.1504/ijbe.2017.10006208,"Distances, multinational organisational learning, and firm performance: a new pe",,0,title
488,10.1057/jibs.2013.5,"Learning across geographic space: Pro-market reforms, multinationalization strat",,0,title
489,10.1016/j.ibusrev.2011.02.005,Multinational risk and performance outcomes: Effects of knowledge intensity and ,,0,title
490,10.1111/j.2042-5805.2012.01045.x,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONA,,0,title
497,10.1002/smj.357,Geographic scope and multinational enterprise performance,,0,title
526,10.1287/stsc.2022.0158,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adapta",u.s.,1,title
528,10.1002/gsj.1166,The role of international institutional complexity on emerging market multinatio,,0,title
455,,How Firm Performance Affects Internationalization,,0,title
509,,"Manufacturing exports, profitability and working capital",,0,title
144,,A research note on multinationality and firm performance Nonparametric frontier ,,0,title
159,,MULTINATIONALITY AND PROFITABILITY,,0,title
365,,Global Competitive Strategies: Assessing the Role of Marketing Tools in SME Inte,,0,title
370,,Internationalization and firm performance,,0,title
381,,Internationalisation and financial performance: in the case of global automotive,,0,title
382,,Differences in the impact of R&D intensity and R&D internationalization on firm ,,0,title
390,,Analysis of the Relationship Between IT and Industry 4.0 Technologies with Inter,,0,title
396,,The longitudinal effects of internationalization on firm performance: The modera,,0,title
409,,"Capability, environment and internationalization fit, and financial and marketin",,0,title
437,,Multinational Performance and the Geography of FDI,,0,title
440,,Internationalization and Performance of Retail Firms: A Bayesian Dynamic Model,,0,title
441,,INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,,0,title
442,,Firms' internationalization and productivity growth,,0,title
443,,The Role of Internationalization in Explaining Innovation Performance,,0,title
444,,"Export, FDI and firm productivity",,0,title
445,,The effect of government-designed export promotion service use on small and medi,,0,title
448,,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMA,,0,title
456,,The role of internationalization in explaining innovation performance,,0,title
457,,"How firms differ in innovation, productivity and internationalisation",,0,title
458,,Venture adolescence Internationalization and performance implications of maturat,,0,title
498,,ESG and firm performance: The effects of foreigners on board and export orientat,,0,title
510,,"R&D investments, financing constraints, exporting and productivity",,0,title
512,,Added Psychic Distance Stimuli and MNE Performance Performance Effects of Added ,,0,title
523,,Analysis of the interaction between regional R&D productivity and the investment,,0,title
506,,How internationalization affects firms' growth in the MENA region? A quantile re,,0,title
538,10.2307/256635,Effects of international diversity and product diversity on the performance of m,,0,title
551,,International corporate entrepreneurship and firm performance: The moderating ef,,0,title
554,,The internationalization and performance of SMEs,,0,title
556,10.1057/palgrave.jibs.8491006,Multinationality and firm performance: The moderating role of R&D and marketing ,,0,title
558,10.2307/3872477,How do large depreciations affect firm performance?,,0,title
561,10.1057/palgrave.jibs.8400003,A three-stage theory of international expansion: the link between multinationali,,0,title
567,10.1057/palgrave.jibs.8400036,The relationship between international diversification and performance in servic,,0,title
568,,A resource-based approach to the study of export performance,,0,title
573,10.1016/j.jm.2004.02.001,The effects of top management team pay and firm internationalization on MNC perf,,0,title
575,,Industrial structure and international competitiveness of post-communist Sloveni,,0,title
578,,International diversification and firm performance: The S-CURVE hypothesis,,0,title
579,10.1080/0898562042000231929,Internationalization of private firms: environmental turbulence and organization,,0,title
