study_id,wos_id,authors,year,title,journal,doi,n_sample,country,screen_l1,screen_l1_reason,screen_l2,screen_l2_reason,eligible,doi_measure,fp_measure,r_reported,n_used,notes
S0001,A1991GC23300004,"JUNG, YJ",1991,MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,,,Y,ip_perf_match,,,,,,,,wos
S0002,A1993KZ29200003,"KIM, WC; HWANG, P; BURGERS, WP",1993,MULTINATIONALS DIVERSIFICATION AND THE RISK-RETURN TRADE-OFF,STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_perf_match,,,,,,,,wos
S0003,A1995QL46500001,"HOWELLS, JR",1995,GOING GLOBAL - THE USE OF ICT NETWORKS IN RESEARCH-AND-DEVELOPMENT,RESEARCH POLICY,,,,UNSURE,title_insufficient,,,,,,,,wos
S0004,A1996TQ29800003,"McDougall, PP; Oviatt, BM",1996,"New venture internationalization, strategic change, and performance: A follow-up study",JOURNAL OF BUSINESS VENTURING,,,,Y,ip_perf_match,,,,,,,,wos
S0005,A1996TV92200007,"Tallman, S; Li, JT",1996,Effects of international diversity and product diversity on the performance of multinational firms,ACADEMY OF MANAGEMENT JOURNAL,,,,Y,ip_perf_match,,,,,,,,wos
S0006,A1996WP52400010,"Kim, W",1996,Problems and remedies of the North Korean Economy: A strategic approach,KOREAN JOURNAL OF DEFENSE ANALYSIS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0007,A1997VZ93800002,"Dominguez, LV; Brenes, ER",1997,The internationalization of Latin American enterprises and market liberalization in the Americas: A vital linkage,JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0008,A1997YB79600018,"Arze, MC; Svensson, BW",1997,"Development of international competitiveness in industries and individual firms in developing countries: The case of the Chilean forest-based industry and the Chilean engineering firm Arze, Recine and Asociados",INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0009,000073154000015,"Ornatowski, GK",1998,The end of Japanese-style human resource management?,SLOAN MANAGEMENT REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0010,000074013000002,"Gedajlovic, ER; Shapiro, DM",1998,Management and ownership effects: Evidence from five countries,STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0011,000074743500005,"Campi, C; La Bella, A",1998,Analysis of the interaction between regional R&D productivity and the investment strategies of multinational enterprises,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,,,Y,ip_perf_match,,,,,,,,wos
S0012,000076739800004,"Pavlinek, P; Smith, A",1998,Internationalization and embeddedness in east-central European transition: The contrasting geographies of inward investment in the Czech and Slovak republics,REGIONAL STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0013,000080156600011,"Rama, R",1999,Innovation and profitability of global food firms. Testing for differences in the influence of the home base,ENVIRONMENT AND PLANNING A,,,,UNSURE,title_insufficient,,,,,,,,wos
S0014,000081678500004,"Siotis, G",1999,Foreign direct investment strategies and firms' capabilities,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,,,,Y,ip_firm_match,,,,,,,,wos
S0015,000081566900002,"Delios, A; Beamish, PW",1999,"Geographic scope, product diversification, and the corporate performance of Japanese firms",STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0016,000165182100002,"Yeoh, PL",2000,Information acquisition activities: A study of global start-up exporting companies,JOURNAL OF INTERNATIONAL MARKETING,,,,Y,ip_firm_match,,,,,,,,wos
S0017,000085402600006,"Gao, T",2000,Exchange rate movements and the profitability of US multinationals,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0018,000086386100005,"Daily, CM; Certo, ST; Dalton, DR",2000,International experience in the executive suite: The path to prosperity?,STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0019,000086816300001,"Athreye, S; Keeble, D",2000,"Technological convergence, globalisation and ownership in the UK computer industry",TECHNOVATION,,,,Y,ip_firm_match,,,,,,,,wos
S0020,000088703200006,"Zahra, SA; Garvis, DM",2000,International corporate entrepreneurship and firm performance: The moderating effect of international environmental hostility,JOURNAL OF BUSINESS VENTURING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0021,000167514900005,"Bandyopadhyay, S",2001,Performance of the selected clusters of small and medium industries in India in the post-reform period - An overview,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0022,000168801900023,"Correljé, AF; Odell, PR",2001,Four decades of Groningen production and pricing policies,GEOLOGIE EN MIJNBOUW-NETHERLANDS JOURNAL OF GEOSCIENCES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0023,000169356000005,"Lu, JW; Beamish, PW",2001,The internationalization and performance of SMEs,STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_perf_match,,,,,,,,wos
S0024,000171455200004,"Bloom, N; Griffith, R",2001,The internationalisation of UK R&D,FISCAL STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0025,000180935100002,"Castellani, D",2002,Export behavior and productivity growth: Evidence from Italian manufacturing firms,WELTWIRTSCHAFTLICHES ARCHIV-REVIEW OF WORLD ECONOMICS,,,,Y,ip_perf_match,,,,,,,,wos
S0026,000174388600005,"Kotabe, M; Srinivasan, SS; Aulakh, PS",2002,Multinationality and firm performance: The moderating role of R&D and marketing capabilities,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,Y,ip_perf_match,,,,,,,,wos
S0027,000174388600007,"Mansi, SA; Reeb, DM",2002,Corporate international activity and debt financing,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0028,000179374100009,"Forbes, KJ",2002,How do large depreciations affect firm performance?,IMF STAFF PAPERS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0029,000173653600006,"Carpenter, MA",2002,The implications of strategy and social context for the relationship between top management team heterogeneity and firm performance,STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0030,000172945800007,"Qian, GM; Li, J",2002,"Multinationality, global market diversification and profitability among the largest US firms",JOURNAL OF BUSINESS RESEARCH,,,,Y,ip_perf_match,,,,,,,,wos
S0031,000176246800004,"Vermeulen, F; Barkema, H",2002,"Pace, rhythm, and scope: Process dependence in building a profitable multinational corporation",STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_firm_match,,,,,,,,wos
