seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes
1,New market entry of Chinese mobile e-commerce platforms in context of growth desperation-a case study based on Pinduoduo's internationalization strategy,"Wang, Mengsha; Ni, Huiqiang",2026,KYBERNETES,10.1108/k-01-2024-0027,crossref_score=74,Wang_2026,,,,,,,,,,,,,3,,,,,,,,
2,Does gender matter for export behavior? Evidence for German companies,"Krenz, Astrid",2026,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,10.1108/ijge-05-2024-0179,crossref_score=70,Krenz_2026,,,,,,,,,,,,,3,,,,,,,,
3,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies","Pan, Yuchen; Wang, Han; Liu, Zhen",2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,crossref_score=76,Pan_2026,,,,,,,,,,,,,3,,,,,,,,
4,Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intensity in Transition Economies,"Yeo, Yun Dong; Lee, Seung-Hyun",2026,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2025.2554992,crossref_score=79,Yeo_2026,,,,,,,,,,,,,3,,,,,,,,
5,"Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications","Nwoba, Arinze Christian; Bicakcioglu-Peynirci, Nilay",2026,INTERNATIONAL MARKETING REVIEW,10.1108/imr-11-2024-0446,crossref_score=82,Nwoba_2026,,,,,,,,,,,,,3,,,,,,,,
6,"Exporting Like China: Productivity, Market Demand, and Labor Frictions","Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,crossref_score=73,Cooper_2026,,,,,,,,,,,,,3,,,,,,,,
7,Revisiting the role of service for manufacturing firm exports: Evidence from Japanese firm-level data,"Matsuura, Toshiyuki",2026,JAPAN AND THE WORLD ECONOMY,10.1016/j.japwor.2025.101343,crossref_score=85,Matsuura_2026,,,,,,,,,,,,,3,,,,,,,,
8,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries","Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina",2026,MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,crossref_score=81,Lima_2026,,,,,,,,,,,,,3,,,,,,,,
9,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",2026,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,crossref_score=71,Song_2026,,,,,,,,,,,,,3,,,,,,,,
10,Gender Differences in Enterprise Export Performance: Some International Evidence,"Lemma, Tesfaye; Machokoto, Michael; Mlilo, Mthokozisi",2026,WORLD ECONOMY,10.1111/twec.70052,crossref_score=65,Lemma_2026,,,,,,,,,,,,,3,,,,,,,,
11,Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,"Li, Jin; Li, Haohang; Li, Tong",2026,JOURNAL OF APPLIED ECONOMICS,10.1080/15140326.2026.2617752,crossref_score=73,Li_2026,,,,,,,,,,,,,3,,,,,,,,
12,The Impact of Local Services Development on the Export Performance of Chinese Manufacturing Firms,"Zhang, Yi; Roelfsema, Hein; Findlay, Christopher; Liu, Chun",2026,OPEN ECONOMIES REVIEW,,crossref_no_match,Zhang_2026,,,,,,,,,,,,,3,,,,,,,,
13,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),"Ma, Peng; Tan, Ya; Xu, Feng",2026,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,crossref_score=79,Ma_2026,,,,,,,,,,,,,3,,,,,,,,
14,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",2026,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x251408340,crossref_score=78,Lisboa_2026,,,,,,,,,,,,,3,,,,,,,,
15,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,"Nahar, Sharmin; Alam, Muntasir",2026,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70093,crossref_score=82,Nahar_2026,,,,,,,,,,,,,3,,,,,,,,
16,Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",2026,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,crossref_score=88,Hussain_2026,,,,,,,,,,,,,3,,,,,,,,
