seq,priority,icrv,dpl,year,title,journal,doi,doi_url,unpaywall_url,pdf_url,is_oa,oa_status,extraction_status,notes
116,1_DOI_FIRST,1,3,2013,"Intangibles, Export Intensity, and Company Performance in the French Wine Indust",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,https://doi.org/10.1017/jwe.2013.27,https://api.unpaywall.org/v2/10.1017/jwe.2013.27?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
123,1_DOI_FIRST,3,3,2012,"Export propensity, export intensity and firm performance: The role of the entrep",JOURNAL OF INTERNATIONAL BUSINESS STUDIE,10.1057/jibs.2012.16,https://doi.org/10.1057/jibs.2012.16,https://api.unpaywall.org/v2/10.1057/jibs.2012.16?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
130,1_DOI_FIRST,3,3,2011,Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIE,10.1002/tie.20386,https://doi.org/10.1002/tie.20386,https://api.unpaywall.org/v2/10.1002/tie.20386?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
176,1_DOI_FIRST,2,3,2025,"Does Maintaining Resources, Diversification, and Internationalization Matter for",SUSTAINABILITY,10.3390/su17041576,https://doi.org/10.3390/su17041576,https://api.unpaywall.org/v2/10.3390/su17041576?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
179,1_DOI_FIRST,1,3,2025,"Internationalization, innovation, and resilience: Financial performance of agric",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,https://doi.org/10.1016/j.jrurstud.2025.103682,https://api.unpaywall.org/v2/10.1016/j.jrurstud.2025.103682?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
181,1_DOI_FIRST,3,3,2025,The Impact of Internationalization on Firm Performance of High-Tech Companies in,INZINERINE EKONOMIKA-ENGINEERING ECONOMI,10.5755/j01.ee.36.3.31403,https://doi.org/10.5755/j01.ee.36.3.31403,https://api.unpaywall.org/v2/10.5755/j01.ee.36.3.31403?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
182,1_DOI_FIRST,2,3,2025,Effects of internationalization on supply chain agility and business performance,JOURNAL OF GLOBAL OPERATIONS AND STRATEG,10.1108/jgoss-10-2024-0102,https://doi.org/10.1108/jgoss-10-2024-0102,https://api.unpaywall.org/v2/10.1108/jgoss-10-2024-0102?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
226,1_DOI_FIRST,2,3,2022,Unbundling the Effects of Internationalization on Firm Performance in Emerging E,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,https://doi.org/10.1177/1069031x211030686,https://api.unpaywall.org/v2/10.1177/1069031x211030686?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
234,1_DOI_FIRST,2,3,2022,The dual mechanism of social networks on the relationship between internationali,PLOS ONE,10.1371/journal.pone.0263674,https://doi.org/10.1371/journal.pone.0263674,https://api.unpaywall.org/v2/10.1371/journal.pone.0263674?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
247,1_DOI_FIRST,2,3,2021,Speed of internationalization and firm performance: the moderating role of poten,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2020-0249,https://doi.org/10.1108/cms-06-2020-0249,https://api.unpaywall.org/v2/10.1108/cms-06-2020-0249?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
