study_id,wos_id,authors,year,title,journal,doi,screen_l1,screen_l1_reason
S1955,001368488200001,"Wang, Mengsha; Ni, Huiqiang",2026,New market entry of Chinese mobile e-commerce platforms in context of growth desperation-a case study based on Pinduoduo's internationalization strategy,KYBERNETES,,Y,ip_perf_match
S2003,001450606500001,"Krenz, Astrid",2026,Does gender matter for export behavior? Evidence for German companies,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,,Y,ip_firm_match
S2021,001483194300001,"Pan, Yuchen; Wang, Han; Liu, Zhen",2026,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,,Y,ip_perf_match
S2083,001564743400001,"Yeo, Yun Dong; Lee, Seung-Hyun",2026,Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intensity in Transition Economies,JOURNAL OF EAST-WEST BUSINESS,,Y,ip_firm_match
S2103,001609604500001,"Nwoba, Arinze Christian; Bicakcioglu-Peynirci, Nilay",2026,"Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications",INTERNATIONAL MARKETING REVIEW,,Y,ip_perf_match
S2112,001631066200001,"Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,,Y,ip_perf_match
S2124,001644531300001,"Matsuura, Toshiyuki",2026,Revisiting the role of service for manufacturing firm exports: Evidence from Japanese firm-level data,JAPAN AND THE WORLD ECONOMY,,Y,ip_firm_match
S2126,001649868000001,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina",2026,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,,Y,ip_perf_match
S2127,001652419400001,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",2026,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,,Y,ip_perf_match
S2132,001666373800001,"Lemma, Tesfaye; Machokoto, Michael; Mlilo, Mthokozisi",2026,Gender Differences in Enterprise Export Performance: Some International Evidence,WORLD ECONOMY,,Y,ip_perf_match
S2133,001667298200001,"Li, Jin; Li, Haohang; Li, Tong",2026,Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,JOURNAL OF APPLIED ECONOMICS,,Y,ip_firm_match
S2134,001668366700001,"Zhang, Yi; Roelfsema, Hein; Findlay, Christopher; Liu, Chun",2026,The Impact of Local Services Development on the Export Performance of Chinese Manufacturing Firms,OPEN ECONOMIES REVIEW,,Y,ip_perf_match
S2136,001672738200001,"Ma, Peng; Tan, Ya; Xu, Feng",2026,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,,Y,ip_perf_match
S2139,001675071300001,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",2026,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,JOURNAL OF INTERNATIONAL MARKETING,,Y,ip_perf_match
S2142,001678211600001,"Nahar, Sharmin; Alam, Muntasir",2026,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S2144,001680575700001,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",2026,Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,,Y,ip_perf_match
S2146,001687634900001,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",2026,The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,INTERNATIONAL MARKETING REVIEW,,Y,ip_perf_match
S2152,001695447800001,"Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling",2026,"ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,,Y,ip_perf_match
S2156,001698759300008,"Akkus, Guzin Emel; Yalabitorkaman, Deniz",2026,Exploring the Factors Influencing the Export Performance of Manufacturing SMEs in Turkiye,JOURNAL OF ECONOMIC POLICY RESEARCHES-IKTISAT POLITIKASI ARASTIRMALARI DERGISI,,Y,ip_perf_match
S2158,001701888000001,"Li, Xiaoying; Yuan, Jing; Huang, Qihai",2026,"Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Exploratory Learning of Exporting SMEs",MANAGEMENT AND ORGANIZATION REVIEW,,Y,ip_firm_match
S2161,001710169900001,"Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin",2026,"Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",ECONOMIC MODELLING,,Y,ip_perf_match
S2162,001714092000001,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",2026,Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,,Y,ip_perf_match
S2163,001715005700001,"Kim, Minjung",2026,Heterogeneous effects of internal and external R&D on export performance by industry technology level,APPLIED ECONOMICS,,Y,ip_perf_match
S2165,001717038600001,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain",2026,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",MULTINATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S2167,001719300100001,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",2026,Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,,Y,ip_perf_match
S2170,001732696900001,"Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan",2026,"Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization",JOURNAL OF BUSINESS RESEARCH,,Y,ip_perf_match
S2171,001737134900001,"Kaur, Navjot; Singh, Balwinder",2026,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,GLOBAL BUSINESS REVIEW,,Y,ip_perf_match
S2176,001750348500001,"Yu, Xiaoyuan; He, Hua; Dadashzade, Gulmira; Mamadiyarov, Zokir; Zi, Yaron",2026,The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,ENERGY STRATEGY REVIEWS,,Y,ip_perf_match
S2177,001751039400001,"Onjewu, Adah-Kole Emmanuel; Atiase, Victor Yawo; Paul, Salima; Nyuur, Cosmas Nfaazie",2026,"Determinants of resilience, innovation and export intensity: a strategy-creation and dynamic capability view",EUROPEAN BUSINESS REVIEW,,Y,ip_firm_match
S2178,001759360200001,"Lee, Liane W. Y.; Krasnikov, Alexander V.",2026,Multinationality and strategic dynamic capabilities during sustainable development goals adoption: Evidence from a natural experiment,INTERNATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S1876,001243706800001,"Li, Qianwen",2025,The effect of ESG performance on enterprises' internationalization : from the perspective of cooperative research and development,APPLIED ECONOMICS LETTERS,,Y,ip_perf_match
S1889,001263692700001,"Shershunovich, Yauheniya; Mirzabaev, Alisher",2025,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",NATURAL RESOURCES FORUM,,Y,ip_perf_match
S1906,001296653600001,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",2025,The effect of restructuring internationalized companies on performance: Evidence from European firms,EUROPEAN MANAGEMENT REVIEW,,Y,ip_perf_match
S1915,001303522200001,"Samara, Ihssan; Nandakumar, M. k; Sahadev, Sunil; Pereira, Vijay",2025,The impact of board composition and internationalisation on strategic change: Longitudinal empirical evidence,AUSTRALIAN JOURNAL OF MANAGEMENT,,Y,ip_firm_match
S1922,001309492600001,"Guo, Zhuang; Xie, Yi",2025,Impact of internal and external corporate social responsibility on internationalization speed: Evidence from Chinese multinational enterprises,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,,Y,ip_firm_match
S1924,001311971700002,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",2025,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,ASIAN BUSINESS & MANAGEMENT,,Y,ip_perf_match
S1950,001360028800001,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",2025,Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S1954,001369195200001,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",2025,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,INTERNATIONAL MARKETING REVIEW,,Y,ip_perf_match
S1962,001379716300001,"Grego, Marica; Buckley, Peter J.; Munjal, Surender; Voss, Hinrich; Wang, Elizabeth Yi",2025,Managers and internationalization decisions: An affect-enacted model,GLOBAL STRATEGY JOURNAL,,Y,ip_firm_match
S1971,001390383100003,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",2025,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,,Y,ip_perf_match
S1979,001408992100001,"Xu, Xin; Sun, Meiya",2025,"Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",MANAGERIAL AND DECISION ECONOMICS,,Y,ip_perf_match
S1981,001412261200001,"Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu",2025,"Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization",ASIA PACIFIC BUSINESS REVIEW,,Y,ip_perf_match
S1984,001413937100001,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",2025,Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S1990,001427689300001,"Buckley, Peter J.; Craig, Thomas D.; Mudambi, Ram",2025,Time and MNE strategy: Managing temporal misalignments in global value chains,LONG RANGE PLANNING,,Y,ip_firm_match
S1992,001431802000001,"Jose, Saju; Buchanan, F. Robert",2025,Strategic factors in SME leadership orientation towards initiating exports: India context,MEASURING BUSINESS EXCELLENCE,,Y,ip_firm_match
S1993,001431807200001,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana",2025,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,,Y,ip_perf_match
S1999,001439570400001,"Zhou, Hua; Zhang, Xiaodong; Yang, Lun",2025,Balancing export intensity and innovation: Uncovering the inverted-U relationship in Chinese manufacturing firms,ECONOMIC ANALYSIS AND POLICY,,Y,ip_firm_match
S2002,001449281400001,"Fores, Beatriz",2025,"Public Funding Dynamics in Clean and Dirty Industries: An Empirical Analysis of the Effects of Eco-Innovation, Cooperation, and Internationalization Strategies",BUSINESS STRATEGY AND THE ENVIRONMENT,,Y,ip_firm_match
S2006,001453726900001,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",2025,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,SUSTAINABILITY,,Y,ip_perf_match
S2009,001459777400001,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",2025,Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,,Y,ip_perf_match
S2011,001465074200001,"Salmeron, Jose Pinera; Valle, Raquel Sanz; Molina-Castillo, Francisco-Jose",2025,"Beyond borders: Unraveling the tapestry of export performance through business model innovation, open innovation, and organisational agility",TECHNOVATION,,Y,ip_perf_match
S2012,001465073100001,"Edeh, Jude; Olarewaju, Adeniyi D.; Kusi, Samuel Yaw",2025,"What drives SME export intensity in transition economies? The role of infrastructure, digitalisation and innovation capabilities",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,Y,ip_firm_match
S2017,001469299700001,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2025,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,JOURNAL OF BUSINESS RESEARCH,,Y,ip_perf_match
S2018,001468933700001,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien",2025,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,,Y,ip_perf_match
S2019,001474114900001,"Wang, Ziyi; Fang, Xiuyuan; Li, Yuanxu",2025,Internationalization rhythm and corporate innovation performance in an emerging market,MANAGEMENT DECISION,,Y,ip_perf_match
S2020,001476877000001,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.",2025,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",JOURNAL OF RURAL STUDIES,,Y,ip_perf_match
S2022,001483040900001,"Su, Yunqing; Lu, Weijun",2025,The impact of enterprise income tax on firm export: Evidence from income tax revenue sharing reform in China,ECONOMIC ANALYSIS AND POLICY,,Y,ip_perf_match
S2028,001489971800001,"Zhang, Dengjun; Affuso, Ermanno; Buleca, Jan; Toth, Peter; Pandey, Rudresh",2025,"Relationship Among R&D, Productivity, and Firm Exports: The Moderating Role of Credit Constraints",STUDIES IN BUSINESS AND ECONOMICS,,Y,ip_perf_match
S2029,001493004700001,"Zhu, Qin; Li, Xin",2025,The impact of enhanced intelligent manufacturing capabilities on a firm's export performance,FINANCE RESEARCH LETTERS,,Y,ip_perf_match
S2031,001493441700001,"Mardones, Juan Gallegos; Ibanez, Maria J.",2025,Women's Participation in Top Management Business Positions and the Internationalization Process. Evidence for Chilean Companies,SAGE OPEN,,Y,ip_firm_match
S2034,001499647500001,"Malca, Oscar; Pena-Vinces, Jesus; Marcilla-Vigo, Miguel; Rubio Donet, Jorge",2025,"International relations, organisational resources and capabilities and export experience as determinants of the export performance of SMEs in developing countries, Peru",EUROPEAN BUSINESS REVIEW,,Y,ip_perf_match
S2035,001501508800001,"Zhong, Xi; Ren, Ge; Wu, Xiaojie",2025,"Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?",INTERNATIONAL MARKETING REVIEW,,Y,ip_perf_match
S2036,001498571600019,"Lv, Jia; Zhou, Jie; Liu, Yajun",2025,Can splitting influence corporate strategy? Exploring the effects of TMT faultlines on internationalization speed,PLOS ONE,,Y,ip_firm_match
S2049,001506313700001,"Mansouri, Samy; Kaswengi, Joseph",2025,"Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
