seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type,l2_deep_flag,l2_deep_reason,priority,dedup_status,dedup_key
3,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies","Pan, Yuchen; Wang, Han; Liu, Zhen",2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,10.1002/ijfe.3167,crossref_score=76,Pan_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,UNSURE,NO-CLEAR-SIGNAL,2,export_ratio,,Y,L2:title-I+P-confirmed,High,new_unique,pan_2026
6,"Exporting Like China: Productivity, Market Demand, and Labor Frictions","Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,crossref_score=73,Cooper_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:exporter+fp-confirmed,UNSURE,WEAK-INCL:exporter,2,,,Y,L2:exporter+fp-confirmed,Low,new_unique,cooper_2026
8,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries","Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina",2026,MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,crossref_score=81,Lima_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,lima_2026
9,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",2026,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,crossref_score=71,Song_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|firm-performance,,other,firm_performance,Y,L2:title-I+P-confirmed,Medium,new_unique,song_2026
13,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),"Ma, Peng; Tan, Ya; Xu, Feng",2026,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,crossref_score=79,Ma_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:FDI,2,FDI,,Y,L2:title-I+P-confirmed,Medium,new_unique,ma_2026
16,Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",2026,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,crossref_score=88,Hussain_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization|financial-perf,,other,financial_perf,Y,L2:title-I+P-confirmed,Medium,new_unique,hussain_2026
17,The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",2026,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,crossref_score=60,Zhang_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,zhang_2026
18,"ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry","Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling",2026,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,crossref_score=71,Lu_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,lu_2026
21,"Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry","Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin",2026,ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,crossref_score=82,Chen_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:FDI,,FDI,,Y,L2:title-I+P-confirmed,Medium,new_unique,chen_2026
22,Navigating global waters: performance outcomes of internationalization in family businesses,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",2026,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,crossref_score=71,Cambrea_2026,,,,,,,,,,,,,3,,,,,,,Y,L2:title-I+P-confirmed,Y,INCL:internationalization,,other,,Y,L2:title-I+P-confirmed,Medium,new_unique,cambrea_2026
