seq,title,year,journal,doi,extraction_priority,decision,reason
470,Intellectual capital and firm efficiency of US multinational software firms,2022,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,1_DOI_FIRST,UNSURE,title_insufficient
473,Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,2021,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,10.1111/jifm.12134,1_DOI_FIRST,Y,DUAL:intl+perf
481,"Foreign currency borrowing, exports and firm performance: evidence from a currency crisis",2018,EUROPEAN JOURNAL OF FINANCE,10.1080/1351847x.2017.1421246,1_DOI_FIRST,Y,STRONG:SI:exp_perf
486,Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Ris,2015,CHINA & WORLD ECONOMY,10.1111/cwe.12128,1_DOI_FIRST,N,HARD:gov:corp_gov
487,"Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Sp",2014,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12013,1_DOI_FIRST,UNSURE,title_insufficient
491,"The Effects of Offshoring to China: Reallocation, Employment and Productivity in Taiwan",2009,INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS,10.1080/13571510802638916,1_DOI_FIRST,UNSURE,title_insufficient
493,Exporting and productivity in business services: Evidence from the United States,2009,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.08.002,1_DOI_FIRST,Y,STRONG:SI:exp_prod
494,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant companies' persp,2009,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2009.04.002,1_DOI_FIRST,Y,DUAL:intl+perf
460,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",2026,INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,1_DOI_FIRST,Y,STRONG:SI:exp_prod
468,"Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm pe",2023,DATA IN BRIEF,10.1016/j.dib.2023.109112,1_DOI_FIRST,Y,STRONG:SI:exp_perf
469,Liabilities of origin and its influence on firm's corporate social performance? A study of emerging market multinational,2023,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22354,1_DOI_FIRST,N,HARD:DV:csp_mnc
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,2020,SUSTAINABILITY,10.3390/su12145508,1_DOI_FIRST,UNSURE,title_insufficient
476,Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,2020,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v14i2.11771,1_DOI_FIRST,Y,STRONG:SI:exp_perf
480,"Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing",2018,QUARTERLY REVIEW OF ECONOMICS AND FINANCE,10.1016/j.qref.2017.11.015,1_DOI_FIRST,Y,STRONG:SI:exp_perf
484,Does Exporting Spur Firm Productivity? Evidence from Vietnam,2015,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,10.1355/ae32-1e,1_DOI_FIRST,Y,STRONG:SI:exp_prod
496,"Corporate governance, managers' independence, exporting, and performance of firms in transition economies",2007,EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x430504,1_DOI_FIRST,N,HARD:gov:corp_gov
463,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,1_DOI_FIRST,Y,STRONG:SI:exp_perf
471,No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SME,2021,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00360-8,1_DOI_FIRST,Y,STRONG:SI:exp_perf
477,Do Export Learning Processes Affect Sales Growth in Exporting Activities?,2019,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x19848425,1_DOI_FIRST,Y,DUAL:intl+perf
492,Influence of MNC Network Configuration Patterns on the Volatility of Firm Performance,2009,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-009-0015-6,1_DOI_FIRST,UNSURE,title_insufficient
