seq,doi,title,journal,year,is_oa,oa_url,oa_status,host_type,dl_status,pdf_path
1,10.1002/ijfe.3167,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,2026,N,,,,NO_OA,
2,10.1016/j.japwor.2025.101343,Revisiting the role of service for manufacturing firm exports: Evidence from Japanese firm-level data,JAPAN AND THE WORLD ECONOMY,2026,N,,,,NO_OA,
3,10.1111/twec.70052,Gender Differences in Enterprise Export Performance: Some International Evidence,WORLD ECONOMY,2026,N,,,,NO_OA,
4,10.1080/15140326.2026.2617752,Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,JOURNAL OF APPLIED ECONOMICS,2026,N,,,,NO_OA,
5,10.1177/1069031x251408340,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,JOURNAL OF INTERNATIONAL MARKETING,2026,N,,,,NO_OA,
6,10.1017/mor.2026.10127,"Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Exploratory Learning of Exporting SMEs",MANAGEMENT AND ORGANIZATION REVIEW,2026,N,,,,NO_OA,
7,10.1002/bse.70126,"The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises",BUSINESS STRATEGY AND THE ENVIRONMENT,2025,N,,,,NO_OA,
8,10.1016/j.ibusrev.2024.102345,Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,INTERNATIONAL BUSINESS REVIEW,2025,N,,,,NO_OA,
9,10.22146/gamaijb.74896,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,2025,N,,,,NO_OA,
10,10.1016/j.eap.2025.04.032,The impact of enterprise income tax on firm export: Evidence from income tax revenue sharing reform in China,ECONOMIC ANALYSIS AND POLICY,2025,N,,,,NO_OA,
