seq,extraction_priority,doi,title,year,journal,is_oa,oa_status,pdf_url,repo_url,version,license,host_type,error
460,1_DOI_FIRST,10.1111/iere.70042,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",2026,INTERNATIONAL ECONOMIC REVIEW,False,closed,,,,,,
461,1_DOI_FIRST,10.1108/mbr-04-2025-0104,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants",2026,MULTINATIONAL BUSINESS REVIEW,True,green,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,submittedVersion,,repository,
2147,1_DOI_FIRST,10.1108/ijesm-12-2024-0013,Analyzing energy efficiency decisions in India's energy-intensive industries,2026,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,False,closed,,,,,,
2149,1_DOI_FIRST,10.1002/ijfe.3167,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Companies",2026,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,publishedVersion,,publisher,
2204,1_DOI_FIRST,10.1080/10669868.2025.2554992,Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intensity in Transition Economies,2026,JOURNAL OF EAST-WEST BUSINESS,False,closed,,,,,,
2217,1_DOI_FIRST,10.1108/ijebr-06-2024-0578,"Navigating family control: U-shaped effects on innovativeness and performance, moderated by firm age and breadth of collaboration partners",2026,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,False,closed,,,,,,
2222,1_DOI_FIRST,10.1108/imr-11-2024-0446,"Export venture sustainability strategies: an exploration of knowledge-based enablers, conditions and performance implications",2026,INTERNATIONAL MARKETING REVIEW,True,green,,,submittedVersion,cc-by-nc,repository,
2246,1_DOI_FIRST,10.3390/info17010045,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,2026,INFORMATION,True,gold,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,publishedVersion,cc-by,publisher,
2248,1_DOI_FIRST,10.1016/j.technovation.2026.103478,Digital orientation and performance in innovative SMEs: exploring the (curvi)linear effects,2026,TECHNOVATION,True,hybrid,,https://doi.org/10.1016/j.technovation.2026.103478,publishedVersion,cc-by,publisher,
2249,1_DOI_FIRST,10.1177/1069031x251408340,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,2026,JOURNAL OF INTERNATIONAL MARKETING,True,hybrid,,https://doi.org/10.1177/1069031x251408340,publishedVersion,cc-by,publisher,
2252,1_DOI_FIRST,10.1002/tie.70093,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,2026,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,True,hybrid,,https://doi.org/10.1002/tie.70093,publishedVersion,cc-by,publisher,
2264,1_DOI_FIRST,10.1080/13662716.2026.2637174,Technological complexity and global capabilities in SMEs. A survey in an Italian industrial region,2026,INDUSTRY AND INNOVATION,False,closed,,,,,,
2276,1_DOI_FIRST,10.1016/j.esr.2026.102215,The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,2026,ENERGY STRATEGY REVIEWS,True,gold,,https://doi.org/10.1016/j.esr.2026.102215,publishedVersion,cc-by,publisher,
2280,1_DOI_FIRST,10.1016/j.iref.2026.105315,Corporate performance effects of digital empowerment under the Belt and Road Initiative: Evidence from M&A performance and green performance,2026,International Review of Economics and Finance,True,gold,,https://doi.org/10.1016/j.iref.2026.105315,publishedVersion,cc-by-nc-nd,publisher,
2282,1_DOI_FIRST,10.1007/s13132-026-03199-w,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",2026,Journal of the Knowledge Economy,True,hybrid,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,publishedVersion,cc-by,publisher,
2284,1_DOI_FIRST,10.1007/s11575-026-00618-7,Early Internationalization in Family and Non-family Firms: Performance Implications and the Role of Non-family Managers,2026,Management International Review,False,closed,,,,,,
2285,1_DOI_FIRST,10.1007/s13132-026-03261-7,"Robots, Firms, and Regions: Explaining Spanish Manufacturing Firms’ Productivity and Exports",2026,Journal of the Knowledge Economy,True,hybrid,,https://doi.org/10.1007/s13132-026-03261-7,publishedVersion,cc-by,publisher,
463,1_DOI_FIRST,10.1108/imr-02-2024-0039,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,2025,INTERNATIONAL MARKETING REVIEW,True,green,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,submittedVersion,cc-by,repository,
