seq,extraction_priority,doi,title,year,journal,is_oa,oa_status,pdf_url,repo_url,version,license,host_type,error
25,1_DOI_FIRST,10.2139/ssrn.4881126,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *",2024,EAST ASIAN ECONOMIC REVIEW,True,green,,http://dx.doi.org/10.2139/ssrn.4881126,publishedVersion,,repository,
116,1_DOI_FIRST,10.1017/jwe.2013.27,"Intangibles, Export Intensity, and Company Performance in the French Wine Industry",2013,JOURNAL OF WINE ECONOMICS,False,closed,,,,,,
179,1_DOI_FIRST,10.1016/j.jrurstud.2025.103682,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy",2025,JOURNAL OF RURAL STUDIES,True,hybrid,,https://doi.org/10.1016/j.jrurstud.2025.103682,publishedVersion,cc-by-nc-nd,publisher,
186,1_DOI_FIRST,10.35611/jkt.2025.29.6.173,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,2025,JOURNAL OF KOREA TRADE,False,closed,,,,,,
221,1_DOI_FIRST,10.3390/su152115652,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,2023,SUSTAINABILITY,True,gold,https://www.mdpi.com/2071-1050/15/21/15652/pdf?version=1699257297,https://www.mdpi.com/2071-1050/15/21/15652/pdf?version=1699257297,publishedVersion,cc-by,publisher,
270,1_DOI_FIRST,10.35611/jkt.2019.23.4.30,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,2019,JOURNAL OF KOREA TRADE,False,closed,,,,,,
277,1_DOI_FIRST,10.1007/s10799-018-0287-2,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",2018,INFORMATION TECHNOLOGY & MANAGEMENT,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10799-018-0287-2.pdf,https://link.springer.com/content/pdf/10.1007/s10799-018-0287-2.pdf,publishedVersion,cc-by,publisher,
282,1_DOI_FIRST,10.1007/s11365-017-0457-4,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,2018,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,False,closed,,,,,,
328,1_DOI_FIRST,10.1177/097639961200300103,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,2012,MILLENNIAL ASIA,False,closed,,,,,,
38,1_DOI_FIRST,10.1057/s41267-022-00511-z,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,False,closed,,,,,,
46,1_DOI_FIRST,10.1080/19186444.2020.1857122,'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,2021,TRANSNATIONAL CORPORATIONS REVIEW,False,closed,,,,,,
77,1_DOI_FIRST,10.1016/j.asieco.2018.01.002,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",2018,JOURNAL OF ASIAN ECONOMICS,False,closed,,,,,,
88,1_DOI_FIRST,10.1016/j.jwb.2016.03.003,An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,2016,JOURNAL OF WORLD BUSINESS,False,closed,,,,,,
89,1_DOI_FIRST,10.1016/j.ibusrev.2016.01.010,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,2016,INTERNATIONAL BUSINESS REVIEW,False,closed,,,,,,
107,1_DOI_FIRST,10.1108/jocm-12-2014-0233,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,2015,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,False,closed,,,,,,
120,1_DOI_FIRST,10.3846/16111699.2012.668860,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",2013,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,True,gold,https://journals.vilniustech.lt/index.php/JBEM/article/download/3741/3154,https://journals.vilniustech.lt/index.php/JBEM/article/download/3741/3154,publishedVersion,cc-by,publisher,
121,1_DOI_FIRST,10.2753/ree1540-496x4905s413,"International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI in China",2013,EMERGING MARKETS FINANCE AND TRADE,False,closed,,,,,,
132,1_DOI_FIRST,10.1080/02692171.2011.557046,Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,2011,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,False,closed,,,,,,
162,1_DOI_FIRST,10.1016/j.eap.2026.01.002,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),2026,ECONOMIC ANALYSIS AND POLICY,False,closed,,,,,,
