seq,title,authors,year,journal,doi,icrv,dpl,fp_type,google_scholar,openalex_search,notes_for_extractor
523,Analysis of the interaction between regional R&D productivity and the investment strategies of multinational enterprises,"Campi, C; La Bella, A",1998,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,MX,1,Productivity,https://scholar.google.com/scholar?q=Analysis%20of%20the%20interaction%20between%20regional%20R%26D%20productivity%20and%20the%20investment%20strategies%20of%20multinational%20enterprises,https://openalex.org/works?search=Analysis%20of%20the%20interaction%20between%20regional%20R%26D%20productivity%20and%20the%20investment%20strategies%20of%20multinational%20enterprises,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
459,"Internationalization and size, age and profitability in the United Kingdom","Hall, Graham; Tu, Ciwen",2004,HANDBOOK OF RESEARCH ON INTERNATIONAL ENTREPRENEURSHIP,,1,2,financial_perf,https://scholar.google.com/scholar?q=Internationalization%20and%20size%2C%20age%20and%20profitability%20in%20the%20United%20Kingdom,https://openalex.org/works?search=Internationalization%20and%20size%2C%20age%20and%20profitability%20in%20the%20United%20Kingdom,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
519,TESTING THE GLOBAL AND REGIONAL STRATEGIES OF MULTINATIONAL ENTERPRISES,"Li, Lei; Li, Dan",2007,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,MX,2,TBD,https://scholar.google.com/scholar?q=TESTING%20THE%20GLOBAL%20AND%20REGIONAL%20STRATEGIES%20OF%20MULTINATIONAL%20ENTERPRISES,https://openalex.org/works?search=TESTING%20THE%20GLOBAL%20AND%20REGIONAL%20STRATEGIES%20OF%20MULTINATIONAL%20ENTERPRISES,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
520,A Study on the Born Global Venture Corporation's Characteristics and Performance,"Kim, Hyung Jun; Jung, Duk Hwa",2007,JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE,,I,2,,https://scholar.google.com/scholar?q=A%20Study%20on%20the%20Born%20Global%20Venture%20Corporation%27s%20Characteristics%20and%20Performance,https://openalex.org/works?search=A%20Study%20on%20the%20Born%20Global%20Venture%20Corporation%27s%20Characteristics%20and%20Performance,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
155,Multinationality and technical efficiency: A neglected perspective,"Li, Lei",2008,MANAGEMENT INTERNATIONAL REVIEW,,MX,2,Efficiency,https://scholar.google.com/scholar?q=Multinationality%20and%20technical%20efficiency%3A%20A%20neglected%20perspective,https://openalex.org/works?search=Multinationality%20and%20technical%20efficiency%3A%20A%20neglected%20perspective,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
518,Are more exports better for a firm's performance? The moderating effect of FDI,"Chiao, Yu-Ching; Li, Peng-Yu",2009,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,1,2,,https://scholar.google.com/scholar?q=Are%20more%20exports%20better%20for%20a%20firm%27s%20performance%3F%20The%20moderating%20effect%20of%20FDI,https://openalex.org/works?search=Are%20more%20exports%20better%20for%20a%20firm%27s%20performance%3F%20The%20moderating%20effect%20of%20FDI,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
154,A Study on the Relationship between Multinationality and Performance among Korean Firms,"Kim, Seog-Soo",2010,JOURNAL OF KOREA TRADE,,1,3,TBD,https://scholar.google.com/scholar?q=A%20Study%20on%20the%20Relationship%20between%20Multinationality%20and%20Performance%20among%20Korean%20Firms,https://openalex.org/works?search=A%20Study%20on%20the%20Relationship%20between%20Multinationality%20and%20Performance%20among%20Korean%20Firms,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
453,Internationalization and firm performance: Exploring the moderating effects of regional diversification,"Pan, Wei-Hwa; Tsai, Wei-Chun; Kuo, Tsung-Yen",2010,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2,3,firm_performance,https://scholar.google.com/scholar?q=Internationalization%20and%20firm%20performance%3A%20Exploring%20the%20moderating%20effects%20of%20regional%20diversification,https://openalex.org/works?search=Internationalization%20and%20firm%20performance%3A%20Exploring%20the%20moderating%20effects%20of%20regional%20diversification,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
448,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,"Ho, Chi-Ming; Chuang, Li-Min; Chen, Chi-Yu",2011,ACTUAL PROBLEMS OF ECONOMICS,,MX,3,firm_performance,https://scholar.google.com/scholar?q=REEXAMINATION%20OF%20THE%20RELATIONSHIP%20BETWEEN%20INTERNATIONALIZATION%20AND%20FIRM%20PERFORMANCE,https://openalex.org/works?search=REEXAMINATION%20OF%20THE%20RELATIONSHIP%20BETWEEN%20INTERNATIONALIZATION%20AND%20FIRM%20PERFORMANCE,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
152,Triple testing the quality of multinationality-performance research,"Verbeke, Alain; Brugman, Paul",2012,HANDBOOK OF RESEARCH ON INTERNATIONAL STRATEGIC MANAGEMENT,,MX,3,TBD,https://scholar.google.com/scholar?q=Triple%20testing%20the%20quality%20of%20multinationality-performance%20research,https://openalex.org/works?search=Triple%20testing%20the%20quality%20of%20multinationality-performance%20research,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
441,INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,"Fisch, Jan Hendrik",2012,GLOBAL STRATEGY JOURNAL,,MX,3,TBD,https://scholar.google.com/scholar?q=INFORMATION%20COSTS%20AND%20INTERNATIONALIZATION%20PERFORMANCE,https://openalex.org/works?search=INFORMATION%20COSTS%20AND%20INTERNATIONALIZATION%20PERFORMANCE,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
443,The Role of Internationalization in Explaining Innovation Performance,"Buckley, Peter J.; Kafouros, Mario I.; Sharp, John A.; Wang, Chengqi",2012,INNOVATIONS IN INTERNATIONAL BUSINESS,,MX,3,TBD,https://scholar.google.com/scholar?q=The%20Role%20of%20Internationalization%20in%20Explaining%20Innovation%20Performance,https://openalex.org/works?search=The%20Role%20of%20Internationalization%20in%20Explaining%20Innovation%20Performance,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
535,The impact of business group diversification on emerging market multinationals: Evidence from Latin America,"Borda-Reyes, Armando",2012,INNOVAR-REVISTA DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,,3,3,,https://scholar.google.com/scholar?q=The%20impact%20of%20business%20group%20diversification%20on%20emerging%20market%20multinationals%3A%20Evidence%20from%20Latin%20America,https://openalex.org/works?search=The%20impact%20of%20business%20group%20diversification%20on%20emerging%20market%20multinationals%3A%20Evidence%20from%20Latin%20America,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
147,Export intensity and the productivity gains of exporting,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, Maria E.; Sanchis Llopis, Juan A.",2013,APPLIED ECONOMICS LETTERS,,II,3,Productivity,https://scholar.google.com/scholar?q=Export%20intensity%20and%20the%20productivity%20gains%20of%20exporting,https://openalex.org/works?search=Export%20intensity%20and%20the%20productivity%20gains%20of%20exporting,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
