seq,authors,year,title,journal,doi,url,last_auto_status,action
2325,Bašić M.,2022,"Panel vecm approach to examining differences in labour, capital and total factor productivity on large companies’ export",Academia Economic Papers,,,not_in_last_run,NEED_PDF (download manually)
401,"Velez-Calle, Andres; Sanchez-Henriquez, Fernando; Contractor",2018,Internationalization and performance: the role of depth and breadth,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/ARLA-04-2017-0125,https://doi.org/10.1108/ARLA-04-2017-0125,not_in_last_run,NEED_PDF (download manually)
1966,"Pacheco, Luis",2023,"Firm certification and export performance: the case of the ""SME Leader"" label",ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-05-2023-0073,https://doi.org/10.1108/arla-05-2023-0073,not_in_last_run,NEED_PDF (download manually)
538,"Tallman, S; Li, JT",1996,Effects of international diversity and product diversity on the performance of multinational firms,ACADEMY OF MANAGEMENT JOURNAL,10.2307/256635,https://doi.org/10.2307/256635,not_in_last_run,NEED_PDF (download manually)
578,"Lu, JW; Beamish, PW",2004,International diversification and firm performance: The S-CURVE hypothesis,ACADEMY OF MANAGEMENT JOURNAL,10.5465/20159604,https://doi.org/10.5465/20159604,not_in_last_run,NEED_PDF (download manually)
2532,Zahra S.A.,2000,"International expansion by new venture firms: International diversity, mode of market entry, technological learning, and",Academy of Management Journal,10.2307/1556420,https://doi.org/10.2307/1556420,not_in_last_run,NEED_PDF (download manually)
2363,Tu P.A.,2020,The moderating effects of managers’ experience and gender on internationalization and firm performance of manufacturing ,Accounting,10.5267/j.ac.2020.9.006,https://doi.org/10.5267/j.ac.2020.9.006,API_ERROR,AUTO (re-run Groq)
2027,"Civelek, Mehmet; Hruska, Roman; Svetlik, Jaroslav; Vavrecka,",2023,Strategic Marketing Communication for Sustainable Growth: Examining the Influence on Export Intentions and Financial Per,ACTA MONTANISTICA SLOVACA,10.46544/AMS.v28i4.05,https://doi.org/10.46544/AMS.v28i4.05,not_in_last_run,NEED_PDF (download manually)
2533,Szekeres V.,2000,Foreign capital and economic development in Hungary,Acta Oeconomica,10.1556/aoecon.51.2000-2001.3.4,https://doi.org/10.1556/aoecon.51.2000-2001.3.4,API_ERROR,AUTO (re-run Groq)
448,"Ho, Chi-Ming; Chuang, Li-Min; Chen, Chi-Yu",2011,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,ACTUAL PROBLEMS OF ECONOMICS,,,not_in_last_run,NEED_PDF (download manually)
2448,Chung K.C.,2013,"Foreign direct investment, firm-specific resources, and financial performance in a host country: Evidence from Taiwan",Actual Problems of Economics,,,not_in_last_run,NEED_PDF (download manually)
286,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",2018,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,ADMINISTRATIVE SCIENCES,10.3390/admsci8040064,https://doi.org/10.3390/admsci8040064,NO_PDF,NEED_PDF (download manually)
2527,Riahi-Belkaoui A.,2002,"Profitability, multinationality and the investment opportunity set",Advances in International Accounting,10.1016/s0897-3660(02)15016-1,https://doi.org/10.1016/s0897-3660(02)15016-1,not_in_last_run,NEED_PDF (download manually)
2410,Onkelinx J.,2016,The consequences of DE-internationalization: Empirical evidence from Belgium,Advances in International Management,10.1108/s1571-502720160000029006,https://doi.org/10.1108/s1571-502720160000029006,not_in_last_run,NEED_PDF (download manually)
2420,Bhaumik S.K.,2015,Sources of competitiveness and multinationality: Emerging market firms in the electronics industry,Advances in International Management,10.1108/s1571-502720150000028013,https://doi.org/10.1108/s1571-502720150000028013,not_in_last_run,NEED_PDF (download manually)
2529,Li M.,2001,Firm internationalization and economic performance: A conceptual synthesis and an empirical assessment of the Chinese ex,Advances in International Marketing,10.1016/s1474-7979(01)11020-3,https://doi.org/10.1016/s1474-7979(01)11020-3,not_in_last_run,NEED_PDF (download manually)
2121,"Avenyo, Elvis Korku; Tregenna, Fiona",2025,'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African ,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,10.1111/1467-8268.70001,https://doi.org/10.1111/1467-8268.70001,NO_PDF,NEED_PDF (download manually)
453,"Pan, Wei-Hwa; Tsai, Wei-Chun; Kuo, Tsung-Yen",2010,Internationalization and firm performance: Exploring the moderating effects of regional diversification,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,,not_in_last_run,NEED_PDF (download manually)
725,"Chiao, Yu-Ching; Yang, Kuo-Pin",2011,"Internationalization, intangible assets and Taiwanese SMEs' performance: Evidence of an Asian newly-industrialized econo",AFRICAN JOURNAL OF BUSINESS MANAGEMENT,10.5897/AJBM09.225,https://doi.org/10.5897/AJBM09.225,not_in_last_run,NEED_PDF (download manually)
767,"Mpinganjira, Mercy",2011,Perceived benefits and barriers to export involvement: Insights from non-exporters,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,,not_in_last_run,NEED_PDF (download manually)
769,"Shen, Hao; Wang, Dong; Su, Zhongfeng",2011,Diversification and firm performance in China,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,,not_in_last_run,NEED_PDF (download manually)
2393,Prasad K.,2018,Influence of financial distress on exchange rate exposure: Evidence from India,Afro Asian Journal of Finance and Accounting,10.1504/aajfa.2018.095239,https://doi.org/10.1504/aajfa.2018.095239,not_in_last_run,NEED_PDF (download manually)
1967,"Nguyen, Dao T. H.; Kokko, Ari; Nguyen, Thong T.",2024,Multinational enterprises and local firms' export market entry: A panel data analysis of Vietnam's food processing indus,AGRIBUSINESS,10.1002/agr.21872,https://doi.org/10.1002/agr.21872,not_in_last_run,NEED_PDF (download manually)
2032,"Moreno Gene, Jordi; Sole Puiggene, Sonia; Gallizo Larraz, Jo",2026,Determining the influence of belonging to a wine protected designation of origin on profitability,AGRIBUSINESS,10.1002/agr.21947,https://doi.org/10.1002/agr.21947,NO_PDF,NEED_PDF (download manually)
1996,"Lehenchuk, Serhii; Raboshuk, Alina; Zhyhlei, Iryna; Zakharov",2023,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PRE-WAR PERIOD,AGRICULTURAL AND RESOURCE ECONOMICS-INTERNATIONAL SCIENTIFIC E-JOURNAL,10.51599/are.2023.09.04.05,https://doi.org/10.51599/are.2023.09.04.05,API_ERROR,AUTO (re-run Groq)
1722,"Jafari, Yaghoob; Koppenberg, Maximilian; Hirsch, Stefan; Hec",2023,Markups and export behavior: Firm-level evidence from the French food processing industry,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,10.1111/ajae.12292,https://doi.org/10.1111/ajae.12292,NO_PDF,NEED_PDF (download manually)
402,"Madaleno, Mara; Varum, Celeste Amorim; Horta, Isabel",2018,SMEs Performance and Internationalization: A Traditional Industry Approach,ANNALS OF ECONOMICS AND FINANCE,,,not_in_last_run,NEED_PDF (download manually)
444,"Engel, D.; Procher, V.",2012,"Export, FDI and firm productivity",APPLIED ECONOMICS,10.1080/00036846.2011.556591,https://doi.org/10.1080/00036846.2011.556591,not_in_last_run,NEED_PDF (download manually)
1061,"Sun, Sizhong; Anwar, Sajid",2016,"Interrelationship among foreign presence, domestic sales and export intensity in Chinese manufacturing industries",APPLIED ECONOMICS,10.1080/00036846.2015.1122733,https://doi.org/10.1080/00036846.2015.1122733,API_ERROR,AUTO (re-run Groq)
1402,"Liu Haiyue; Manzoor, Aqsa",2020,The impact of OFDI on the performance of Chinese firms along the 'Belt and Road',APPLIED ECONOMICS,10.1080/00036846.2019.1659501,https://doi.org/10.1080/00036846.2019.1659501,not_in_last_run,NEED_PDF (download manually)
2268,"Kim, Minjung",2026,Heterogeneous effects of internal and external R&D on export performance by industry technology level,APPLIED ECONOMICS,,,not_in_last_run,NEED_PDF (download manually)
2440,Giovannetti G.,2013,"Location, internationalization and performance of firms in Italy: A multilevel approach",Applied Economics,10.1080/00036846.2012.665597,https://doi.org/10.1080/00036846.2012.665597,API_ERROR,AUTO (re-run Groq)
147,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, ",2013,Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,10.1080/13504851.2012.748173,https://doi.org/10.1080/13504851.2012.748173,not_in_last_run,NEED_PDF (download manually)
343,"Fryges, Helmut",2009,The export-growth relationship: estimating a dose-response function,APPLIED ECONOMICS LETTERS,10.2139/ssrn.900545,https://doi.org/10.2139/ssrn.900545,not_in_last_run,NEED_PDF (download manually)
354,"Merino, F",2004,Firms' productivity and internationalization: a statistical dominance test,APPLIED ECONOMICS LETTERS,10.1080/1350485042000254890,https://doi.org/10.1080/1350485042000254890,not_in_last_run,NEED_PDF (download manually)
2450,Mudambi R.,2012,Multinationality and the performance of IPOs,Applied Financial Economics,10.1080/09603107.2011.626396,https://doi.org/10.1080/09603107.2011.626396,NO_PDF,NEED_PDF (download manually)
2308,Chen M.,2024,Analysis of Executive Compensation Management Strategies of Multinational Enterprises in the Context of RMB Internationa,Applied Mathematics and Nonlinear Sciences,10.2478/amns-2024-1203,https://doi.org/10.2478/amns-2024-1203,NO_PDF,NEED_PDF (download manually)
1714,"Chawla, Isha",2022,Benefitting from Investment Abroad? Evidence from Indian Manufacturing,ASIA AND THE GLOBAL ECONOMY,10.1016/j.aglobe.2021.100022,https://doi.org/10.1016/j.aglobe.2021.100022,not_in_last_run,NEED_PDF (download manually)
650,"Rasiah, Rajah; Malakolunthu, Asokkumar",2009,Technological intensities and economic performance: a study of foreign and local electronics firms in Malaysia,ASIA PACIFIC BUSINESS REVIEW,10.1080/13602380701668700,https://doi.org/10.1080/13602380701668700,not_in_last_run,NEED_PDF (download manually)
44,"Shin, Joonho; Mendoza, Xavier; Choi, Changbum",2022,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-021-09751-3,https://doi.org/10.1007/s10490-021-09751-3,not_in_last_run,NEED_PDF (download manually)
793,"Tsao, Shou-Min; Chen, Guang-Zheng",2012,The impact of internationalization on performance and innovation: The moderating effects of ownership concentration,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-010-9217-5,https://doi.org/10.1007/s10490-010-9217-5,not_in_last_run,NEED_PDF (download manually)
308,"Faroque, Anisur R.; Takahashi, Yoshi",2015,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-03-2014-0045,https://doi.org/10.1108/apjml-03-2014-0045,not_in_last_run,NEED_PDF (download manually)
878,"Kahiya, Eldrede Tinashe; Dean, David L.",2014,Export performance: multiple predictors and multiple measures approach,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-11-2012-0119,https://doi.org/10.1108/apjml-11-2012-0119,not_in_last_run,NEED_PDF (download manually)
2287,Reddy K.,2025,"DIGITALIZATION, FIRM PERFORMANCE AND INTERNATIONALIZATION OF MICROFIRMS IN INDIA",Asia Pacific Sustainable Development Journal,10.18356/26178419-32-2-5,https://doi.org/10.18356/26178419-32-2-5,not_in_last_run,NEED_PDF (download manually)
