seq,doi,title,r_found,n_found,formula,source
116,10.1017/jwe.2013.27,"Intangibles, Export Intensity, and Company Performance in th",,,,no_abstract
179,10.1016/j.jrurstud.2025.103682,"Internationalization, innovation, and resilience: Financial ",,,,no_abstract
350,10.1504/ijtm.2005.006007,The impact of internationalisation and proprietary assets on,,,,no_abstract
351,10.1016/j.telpol.2005.06.003,The degree of internationalization and the financial perform,,,,no_abstract
470,10.1108/jic-02-2021-0041,Intellectual capital and firm efficiency of US multinational,,,,S2_abstract
473,10.1111/jifm.12134,Exploring nonlinear linkage between profitability and levera,,,,no_abstract
481,10.1080/1351847x.2017.1421246,"Foreign currency borrowing, exports and firm performance: ev",,,,no_abstract
493,10.1016/j.ibusrev.2009.08.002,Exporting and productivity in business services: Evidence fr,,,,no_abstract
494,10.1016/j.ijhm.2009.04.002,Impact of brand recognition and brand reputation on firm per,,,,no_abstract
46,10.1080/19186444.2020.1857122,'Letters to the editor': the relationship between multinatio,,,,no_abstract
176,10.3390/su17041576,"Does Maintaining Resources, Diversification, and Internation",,,,no_abstract
182,10.1108/jgoss-10-2024-0102,Effects of internationalization on supply chain agility and ,,,,no_abstract
226,10.1177/1069031x211030686,Unbundling the Effects of Internationalization on Firm Perfo,,,,no_abstract
234,10.1371/journal.pone.0263674,The dual mechanism of social networks on the relationship be,,,,no_abstract
247,10.1108/cms-06-2020-0249,Speed of internationalization and firm performance: the mode,,,,no_abstract
252,10.1057/s41267-019-00279-9,Chinese multinationals' fast internationalization: Financial,,,,no_abstract
253,10.1061/(asce)me.1943-5479.0000736,Relationship between Internationalization and Financial Perf,,,,no_abstract
303,10.1080/10669868.2016.1215667,"Founding Environment, Inward Internationalization, and Firm ",,,,no_abstract
460,10.1111/iere.70042,"Exporting Like China: Productivity, Market Demand, and Labor",,,,no_abstract
468,10.1016/j.dib.2023.109112,"Survey data on organizational resources and capabilities, ex",,,,no_abstract
475,10.3390/su12145508,A Patulous Progress: International Entrepreneurship Effects ,,,,S2_abstract
476,10.21002/seam.v14i2.11771,Do Export Activities Improve Small Firm Performance? Evidenc,,,,no_abstract
480,10.1016/j.qref.2017.11.015,"Exporting, access of foreign technology, and firms' performa",,,,no_abstract
484,10.1355/ae32-1e,Does Exporting Spur Firm Productivity? Evidence from Vietnam,,,,no_abstract
123,10.1057/jibs.2012.16,"Export propensity, export intensity and firm performance: Th",,,,no_abstract
130,10.1002/tie.20386,Do Export Status and Export Intensity Increase Firm Performa,,,,no_abstract
324,10.1016/j.jwb.2012.06.001,Internationalization and firm performance of SMEs: The moder,,,,no_abstract
463,10.1108/imr-02-2024-0039,Finding the sweet spot: effects of exporting on the relation,,,,no_abstract
471,10.1057/s41267-020-00360-8,No place like home: The effect of exporting to the country o,,,,no_abstract
181,10.5755/j01.ee.36.3.31403,The Impact of Internationalization on Firm Performance of Hi,,,,no_abstract
533,10.11130/jei.2024033,Internationalization at Inception: Insights from the Indian ,,,,S2_abstract
71,10.1080/19186444.2018.1556519,Alphabet soup: the relationship between multinationality and,,,,no_abstract
161,10.1177/19389655251405170,Non-Home-Base Internationalization and Firm Performance in t,,,,no_abstract
163,10.1007/s10668-026-07324-2,Internationalization channels and firm financial performance,,,,no_abstract
168,10.1080/00472778.2026.2640356,Product innovation strategy and firm performance: Novelty an,,,,no_abstract
193,10.1108/cg-12-2022-0512,Effects of female CEO and female CFO on internationalization,,,,no_abstract
195,10.1007/s40821-024-00276-5,Internationalization and individual firm performance: a reso,,,,no_abstract
196,10.1002/csr.2894,Analysis the nexus between internationalization and financia,,,,no_abstract
216,10.1108/ribs-03-2022-0030,Degree of internationalisation and firm performance: the fla,,,,no_abstract
219,10.1108/mbr-10-2022-0168,Internationalization and firm performance: moderating role o,,,,no_abstract
237,10.15678/eber.2022.100305,Taking the international route: Investigating the impact of ,,,,no_abstract
273,10.1108/jes-04-2019-0152,Does persistence in internationalization and innovation infl,,,,no_abstract
309,10.1108/jstp-09-2013-0204,Firm factors that influence internationalisation and subsequ,,,,no_abstract
461,10.1108/mbr-04-2025-0104,"The performance effects of ""added cultural distance"" in mult",,,,S2_abstract
462,10.1111/1477-8947.12525,"Clean, competitive, and productive? The impact of environmen",,,,no_abstract
464,10.1108/jbim-04-2024-0284,"Bribery, local network, and local performance among multinat",,,,S2_abstract
465,10.3390/su17125381,"Firm-Level Carbon Productivity, Home Country Environmental P",,,,no_abstract
466,10.1108/ijm-03-2023-0150,Exporting is a team sport: the link between management train,,,,no_abstract
472,10.1016/j.jbusres.2021.02.026,Export status and SME productivity: Learning-to-export versu,,,,no_abstract
474,10.1016/j.jbusres.2019.10.074,Exploring the exporting-downsizing link: Does the type of ex,,,,no_abstract
479,10.1111/twec.12807,Detecting learning-by-exporting effects on firms' productivi,,,,no_abstract
482,10.1177/0149206315573998,A Multimediation Model of Learning by Exporting: Analysis of,,,,no_abstract
483,10.1504/ijbe.2017.10006208,"Distances, multinational organisational learning, and firm p",,,,no_abstract
488,10.1057/jibs.2013.5,"Learning across geographic space: Pro-market reforms, multin",,,,no_abstract
489,10.1016/j.ibusrev.2011.02.005,Multinational risk and performance outcomes: Effects of know,,,,no_abstract
