seq,title,old_decision,new_decision,reason,has_abstract
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Glob,UNSURE,UNSURE,refine_abs:insufficient,Y
531,Internationalisation of upper echelons in different institutional contexts: top ,UNSURE,UNSURE,refine_abs:insufficient,Y
467,"External environment and internal dynamics of ""born global"": strategic and opera",UNSURE,N,refine_abs:conceptual,Y
535,The impact of business group diversification on emerging market multinationals: ,UNSURE,UNSURE,refine_abs:insufficient,Y
503,R&D offshoring and home industry productivity,UNSURE,UNSURE,refine_abs:insufficient,Y
524,MULTINATIONALS DIVERSIFICATION AND THE RISK-RETURN TRADE-OFF,UNSURE,UNSURE,refine_abs:insufficient,Y
549,International experience in the executive suite: The path to prosperity?,UNSURE,UNSURE,refine_abs:insufficient,Y
553,Four decades of Groningen production and pricing policies,UNSURE,UNSURE,refine_abs:insufficient,Y
555,The internationalisation of UK R&D,UNSURE,UNSURE,refine_abs:insufficient,Y
559,The implications of strategy and social context for the relationship between top,UNSURE,N,refine_abs:education_field,Y
572,Profitability of small- and medium-sized enterprises in high-tech industries: Th,UNSURE,N,refine_abs:review_type,Y
580,Firm-Specific Determinants of Corporate Lobbying Participation and Intensity,UNSURE,UNSURE,refine_abs:insufficient,Y
588,"Convergence in the UK service sector: Firm level evidence, 1988-1998",UNSURE,UNSURE,refine_abs:insufficient,Y
594,Small-firm performance: Modeling the role of product and process improvements,UNSURE,N,refine_abs:conceptual,Y
607,Benchmarking the Slovenian competitiveness by system of indicators,UNSURE,UNSURE,refine_abs:insufficient,Y
623,"Corporate diversification: The impact of foreign competition, industry globaliza",UNSURE,UNSURE,refine_abs:insufficient,Y
645,The agricultural machinery industry in Argentina: from restructuring to internat,UNSURE,UNSURE,refine_abs:insufficient,Y
646,OVERSEAS R&D ACTIVITIES AND HOME PRODUCTIVITY GROWTH: EVIDENCE FROM JAPANESE FIR,UNSURE,UNSURE,refine_abs:insufficient,Y
647,Positive management of marketing-operations relationships: the case of an intern,UNSURE,UNSURE,refine_abs:insufficient,Y
649,GEOGRAPHIC MARKET DIVERSIFICATION: A PREMIUM OR DISCOUNT IN FIRM'S VALUE,UNSURE,UNSURE,refine_abs:insufficient,Y
651,''Rushing in where angels fear to tread''? The early internationalization of ind,UNSURE,UNSURE,refine_abs:insufficient,Y
652,Export-oriented small and medium industry clusters in Indonesia,UNSURE,N,refine_abs:education_field,Y
653,SME opportunity for growth or profit: what is the role of product and process im,UNSURE,UNSURE,refine_abs:insufficient,Y
656,NARRATIVES AND THE FINANCIALISED FIRM,UNSURE,UNSURE,refine_abs:insufficient,Y
659,The financial structure of the Spanish hotel industry: evidence from cluster ana,UNSURE,UNSURE,refine_abs:insufficient,Y
660,R&D subsidiary isolation in knowledge-intensive industries: evidence from Austri,UNSURE,UNSURE,refine_abs:insufficient,Y
665,Why do top management teams look the way they do? A multilevel exploration of th,UNSURE,UNSURE,refine_abs:insufficient,Y
676,The M Curve: The Performance of Born-Regional Firms From Korea,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
679,Location factors of international R&D activities: an econometric approach,UNSURE,UNSURE,refine_abs:insufficient,Y
681,Small Firm Growth,UNSURE,UNSURE,refine_abs:insufficient,Y
683,The role of size in firms' training: evidence from Spain,UNSURE,UNSURE,refine_abs:insufficient,Y
695,IS INTERNATIONALIZATION ASSOCIATED WITH INVESTMENTS IN HRM? A STUDY OF ENTREPREN,UNSURE,UNSURE,refine_abs:insufficient,Y
703,DO FOREIGN FIRMS CROWD OUT DOMESTIC FIRMS? EVIDENCE FROM THE CZECH REPUBLIC,UNSURE,UNSURE,refine_abs:insufficient,Y
704,The impact of knowledge management on SME growth and profitability: A structural,UNSURE,UNSURE,refine_abs:insufficient,Y
706,Interdependence between Overseas and Domestic R&D Activities: Evidence from Taiw,UNSURE,UNSURE,refine_abs:insufficient,Y
709,The Response of MNCs to Radical Systemic Change in a Transition Environment,UNSURE,UNSURE,refine_abs:insufficient,Y
715,The role of multi-ethnic workforces in the internationalisation of SMEs,UNSURE,UNSURE,refine_abs:insufficient,Y
720,Developing and testing a multi-dimensional knowledge management model on Sloveni,UNSURE,UNSURE,refine_abs:insufficient,Y
722,AWAKENING DRAGONS: AN EXPLORATION OF THE INTERNATIONALISATION OF CHINESE SMES FR,UNSURE,UNSURE,refine_abs:insufficient,Y
733,"EFFECTS OF ALLIANCES, TIME, AND NETWORK COHESION ON THE INITIATION OF FOREIGN SA",UNSURE,UNSURE,refine_abs:insufficient,Y
735,The Impact of China's Labor Contract Law on Firm Performance: Empirical Evidence,UNSURE,N,refine_abs:education_field,Y
737,Organizational Learning and Capabilities for Onshore and Offshore Business Proce,UNSURE,UNSURE,refine_abs:insufficient,Y
743,Human resource management and early internationalization: is there a leap-froggi,UNSURE,UNSURE,refine_abs:insufficient,Y
758,Can strong home country institutions foster the internationalization of MNEs?,UNSURE,UNSURE,refine_abs:insufficient,Y
762,Playing around an oxymoron: international business with a human face,UNSURE,UNSURE,refine_abs:insufficient,Y
772,Impact of Growth Opportunities and Competition on Firm-Level Capability Developm,UNSURE,UNSURE,refine_abs:insufficient,Y
777,Disentangling barriers to internationalization,UNSURE,UNSURE,refine_abs:insufficient,Y
796,An AHP-multicriteria suitability evaluation of technological diversification in ,UNSURE,UNSURE,refine_abs:insufficient,Y
798,THE DETERMINANTS OF ENTERPRISE PROFITABILITY DURING REDUCED ECONOMIC ACTIVITY,UNSURE,UNSURE,refine_abs:insufficient,Y
803,UNRAVELING THE RELATIONSHIPS BETWEEN INTERNATIONALIZATION AND PRODUCT DIVERSIFIC,UNSURE,UNSURE,refine_abs:insufficient,Y
