seq,study_id,effect_id,authors,year,title,journal,doi,priority,l2_deep_reason,dedup_key,country,sample_start,sample_end,n,r,r_quadratic,turning_point,beta,t_value,f_value,df,icrv,cdai,cdai_source,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,extraction_status,coder,notes,coder2_r,coder2_icrv,coder2_dpl,coder2_doi_type,coder2_fp_type,coder2_include,coder2_notes
782,JUNG_1991,JUNG_1991_e1,"JUNG, YJ",1991,MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,High,L2:title-I+P-confirmed,jung_1991,,,,,,,,,,,,,,,1,other,financial_perf,,,,,,,L2:title-I+P-confirmed,,,,,,,
780,Campi_1998,Campi_1998_e1,"Campi, C; La Bella, A",1998,Analysis of the interaction between regional R&D productivity and the investment strategies of multinational enterprises,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,Low,L2:title-I+P-confirmed,campi_1998,,,,,,,,,,,,,,,1,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
742,Bouquet_2008,Bouquet_2008_e1,"Bouquet, Cyril; Deutsch, Yuval",2008,The impact of corporate social performance on a firm's multinationality,JOURNAL OF BUSINESS ETHICS,,High,L2:title-I+P-confirmed,bouquet_2008,,,,,,,,,,,,,,,2,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
777,Gao_2000,Gao_2000_e1,"Gao, T",2000,Exchange rate movements and the profitability of US multinationals,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,,Low,L2:prescreen-Y+fp=financial_perf,gao_2000,,,,,,,,,,,,1,,,2,other,financial_perf,,,,,,,L2:prescreen-Y+fp=financial_perf,,,,,,,
731,Mauri_2009,Mauri_2009_e1,"Mauri, Alfredo J.",2009,Influence of MNC Network Configuration Patterns on the Volatility of Firm Performance,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-009-0015-6,Low,L2:prescreen-Y+fp=firm_performance,mauri_2009,,,,,,,,,,,,,,,2,,firm_performance,,,,,,,L2:prescreen-Y+fp=firm_performance,,,,,,,
767,Merino_2004,Merino_2004_e1,"Merino, F",2004,Firms' productivity and internationalization: a statistical dominance test,APPLIED ECONOMICS LETTERS,10.1080/1350485042000254890,Medium,L2:title-I+P-confirmed,merino_2004,,,,,,,,,,,,,,,2,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
736,Kafouros_2008,Kafouros_2008_e1,"Kafouros, Mario I.; Buckley, Peter J.; Sharp, John A.; Wang, Chengqi",2008,The role of internationalization in explaining innovation performance,TECHNOVATION,,Medium,L2:title-I+P-confirmed,kafouros_2008,,,,,,,,,,,,,,,2,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
759,Chiao_2006,Chiao_2006_e1,"Chiao, Yu-Ching; Yang, Kuo-Pin; Yu, Chwo-Ming Joseph",2006,"Performance, internationalization, and firm-specific advantages of SMEs in a newly-industrialized economy",SMALL BUSINESS ECONOMICS,10.1007/s11187-005-5604-6,Medium,L2:title-I+P-confirmed,chiao_2006,,,,,,,,,,,,,,,2,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
674,Ganotakis_2012,Ganotakis_2012_e1,"Ganotakis, Panagiotis; Love, James H.",2012,"Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,High,L2:title-I+P-confirmed,ganotakis_2012,,,,,,,,,,,,,,,3,export_ratio,firm_performance,,,,,,,L2:title-I+P-confirmed,,,,,,,
655,Alegre_2012,Alegre_2012_e1,"Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina",2012,"Organisational learning capability, product innovation performance and export intensity",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2012.674672,High,L2:title-I+P-confirmed,alegre_2012,,,,,,,,,,,,,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed,,,,,,,
527,Clegg_2016,Clegg_2016_e1,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",2016,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,High,L2:title-I+P-confirmed,clegg_2016,,,,,,,,,,,,2,,,3,other,firm_performance,,,,,,,L2:title-I+P-confirmed,,,,,,,
657,Cieslik_2012,Cieslik_2012_e1,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",2012,The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,High,L2:title-I+P-confirmed,cieslik_2012,,,,,,,,,,,,,,,3,geographic_diversification,,,,,,,,L2:title-I+P-confirmed,,,,,,,
713,Kim_2010,Kim_2010_e1,"Kim, Seog-Soo",2010,A Study on the Relationship between Multinationality and Performance among Korean Firms,JOURNAL OF KOREA TRADE,,High,L2:title-I+P-confirmed,kim_2010,,,,,,,,,,,,1,,,3,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
609,Kuzey_2014,Kuzey_2014_e1,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",2014,The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2013.11.001,High,L2:title-I+P-confirmed,kuzey_2014,,,,,,,,,,,,,,,3,other,,,,,,,,L2:title-I+P-confirmed,,,,,,,
659,RodriguezRodriguez_2012,RodriguezRodriguez_2012_e1,"Rodriguez-Rodriguez, Manuel; Galdeano-Gomez, Emilio; Carmona-Moreno, Eva; Godoy-Duran, Angeles",2012,"Environmental Impact, Export Intensity, and Productivity Interactions: An Empirical Index Analysis of the Agri-Food Industry in Spain",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,,High,L2:title-I+P-confirmed,rodriguezrodriguez_2012,,,,,,,,,,,,,,,3,export_ratio,,,,,,,,L2:title-I+P-confirmed,,,,,,,
