seq,doi,abstract,source,s2_year,s2_venue,affiliations
25,10.2139/ssrn.4881126,,S2_FAIL,,,
44,10.1007/s10490-021-09751-3,,S2_FAIL,,,
56,10.1177/2340944420898981,,S2_FAIL,,,
64,10.1057/s41291-018-0045-7,,S2_FAIL,,,
76,10.5771/0949-6181-2018-4-621,,S2_FAIL,,,
79,10.1504/ejim.2016.079528,,S2_FAIL,,,
86,10.15678/eber.2017.050407,,S2_FAIL,,,
128,10.1016/j.rssm.2012.04.001,,S2_FAIL,,,
129,10.1111/j.1468-0351.2012.00433.x,,S2_FAIL,,,
133,10.1093/icc/dtr007,,S2_FAIL,,,
160,10.1108/mrr-12-2024-0924,,S2_FAIL,,,
171,10.1111/emre.12672,,S2_FAIL,,,
178,10.1016/j.jbusres.2025.115378,,S2_FAIL,,,
186,10.35611/jkt.2025.29.6.173,,S2_FAIL,,,
187,10.3390/su17062580,,S2_FAIL,,,
194,10.1002/bse.3797,,S2_FAIL,,,
199,10.1111/twec.13639,,S2_FAIL,,,
221,10.3390/su152115652,,S2_FAIL,,,
240,10.1057/s41267-020-00343-9,,S2_FAIL,,,
242,10.1002/smj.3236,,S2_FAIL,,,
246,10.1108/ijchm-10-2020-1141,,S2_FAIL,,,
265,10.1016/j.ibusrev.2019.03.003,,S2_FAIL,,,
270,10.35611/jkt.2019.23.4.30,,S2_FAIL,,,
277,10.1007/s10799-018-0287-2,,S2_FAIL,,,
279,10.1016/j.forpol.2018.09.013,,S2_FAIL,,,
281,10.1007/s10290-018-0313-9,,S2_FAIL,,,
282,10.1007/s11365-017-0457-4,,S2_FAIL,,,
283,10.1016/j.rcsar.2017.09.002,,S2_FAIL,,,
293,10.1016/j.jbusres.2016.11.006,,S2_FAIL,,,
298,10.1016/j.tmp.2015.12.016,,S2_FAIL,,,
302,10.1108/ijchm-07-2014-0361,,S2_FAIL,,,
328,10.1177/097639961200300103,,S2_FAIL,,,
329,10.1002/cjas.196,,S2_FAIL,,,
333,10.1080/00036846.2011.566184,,S2_FAIL,,,
336,10.1016/j.ibusrev.2011.02.012,,S2_FAIL,,,
348,10.1111/j.1467-9701.2007.00875.x,,S2_FAIL,,,
491,10.1080/13571510802638916,,S2_FAIL,,,
4,10.1080/15140326.2026.2617752,,S2_FAIL,,,
16,10.1111/saje.12372,,S2_FAIL,,,
26,10.1016/j.ribaf.2024.102505,,S2_FAIL,,,
34,10.1007/978-981-97-8999-3_3,,S2_FAIL,,,
38,10.1057/s41267-022-00511-z,,S2_FAIL,,,
42,10.1016/j.technovation.2022.102518,,S2_FAIL,,,
45,10.1108/cms-12-2019-0441,,S2_FAIL,,,
49,10.1016/j.jbusres.2020.09.065,,S2_FAIL,,,
63,10.1080/14631377.2019.1678097,,S2_FAIL,,,
77,10.1016/j.asieco.2018.01.002,,S2_FAIL,,,
87,10.1016/j.ibusrev.2014.12.006,,S2_FAIL,,,
88,10.1016/j.jwb.2016.03.003,,S2_FAIL,,,
89,10.1016/j.ibusrev.2016.01.010,,S2_FAIL,,,
94,10.1007/978-4-431-55498-1_10,,S2_FAIL,,,
107,10.1108/jocm-12-2014-0233,,S2_FAIL,,,
120,10.3846/16111699.2012.668860,,S2_FAIL,,,
121,10.2753/ree1540-496x4905s413,,S2_FAIL,,,
132,10.1080/02692171.2011.557046,,S2_FAIL,,,
162,10.1016/j.eap.2026.01.002,,S2_FAIL,,,
169,10.1016/j.jbusres.2026.116151,,S2_FAIL,,,
172,10.1057/s41291-024-00280-7,,S2_FAIL,,,
174,10.1080/13602381.2025.2450465,,S2_FAIL,,,
177,10.1007/s11575-025-00573-9,,S2_FAIL,,,
188,10.1108/ijoem-08-2021-1299,,S2_FAIL,,,
189,10.1080/09640568.2023.2189057,,S2_FAIL,,,
197,10.1016/j.heliyon.2024.e33492,,S2_FAIL,,,
201,10.1108/ribs-01-2023-0002,,S2_FAIL,,,
211,10.1108/ijoem-11-2020-1423,,S2_FAIL,,,
212,10.1108/ijoem-02-2021-0236,,S2_FAIL,,,
214,10.1108/ijoem-09-2020-1097,,S2_FAIL,,,
222,10.1080/09638199.2022.2094451,,S2_FAIL,,,
224,10.1108/ijoem-07-2020-0795,,S2_FAIL,,,
228,10.1061/(asce)me.1943-5479.0000985,,S2_FAIL,,,
263,10.1016/j.jbusres.2018.09.019,,S2_FAIL,,,
266,10.1016/j.jwb.2019.04.002,,S2_FAIL,,,
267,10.1111/twec.12837,,S2_FAIL,,,
268,10.1016/j.emj.2018.11.003,,S2_FAIL,,,
269,10.21002/seam.v13i1.10757,,S2_FAIL,,,
286,10.3390/admsci8040064,,S2_FAIL,,,
295,10.1016/j.cjar.2017.05.001,,S2_FAIL,,,
299,10.1016/j.jwb.2015.09.002,,S2_FAIL,,,
301,10.1371/journal.pone.0162175,,S2_FAIL,,,
308,10.1108/apjml-03-2014-0045,,S2_FAIL,,,
313,10.1017/mor.2015.32,,S2_FAIL,,,
320,10.1017/s1740877600004381,,S2_FAIL,,,
325,10.1016/j.intman.2012.12.003,,S2_FAIL,,,
342,10.1108/1525383x200900014,,S2_FAIL,,,
344,10.1108/02651330810915556,,S2_FAIL,,,
24,10.15678/eber.2024.120410,,S2_FAIL,,,
48,10.1177/1069031x20988260,,S2_FAIL,,,
60,10.1108/ccsm-09-2018-0134,,S2_FAIL,,,
61,10.1016/j.ibusrev.2020.101735,,S2_FAIL,,,
67,10.1016/j.indmarman.2019.01.008,,S2_FAIL,,,
