seq,doi,title,abstract_snippet,auto_decision,auto_reason
25,10.2139/ssrn.4881126,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *",,UNSURE,S2 fetch failed
44,10.1007/s10490-021-09751-3,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,,UNSURE,S2 fetch failed
56,10.1177/2340944420898981,When geography matters: International diversification and firm performance of Spanish multinationals,,UNSURE,S2 fetch failed
64,10.1057/s41291-018-0045-7,Speed of FDI expansions and the survival of Korean SMEs: the moderating role of ownership structure,,UNSURE,S2 fetch failed
76,10.5771/0949-6181-2018-4-621,The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,,UNSURE,S2 fetch failed
79,10.1504/ejim.2016.079528,Performance effects of multinationality: evidence from European companies,,UNSURE,S2 fetch failed
86,10.15678/eber.2017.050407,Productivity Gap: A Chance or an Obstacle in Absorbing Benefits from FDI in a Host Country,,UNSURE,S2 fetch failed
128,10.1016/j.rssm.2012.04.001,Globalization and workplace performance in Canada: Cross-sectional and dynamic analyses of productivity and wage outcomes,,UNSURE,S2 fetch failed
129,10.1111/j.1468-0351.2012.00433.x,Is the effect really so large? Firm-level evidence on the role of FDI in a transition economy,,UNSURE,S2 fetch failed
133,10.1093/icc/dtr007,"Multinationals, R&D, and productivity: evidence for UK manufacturing firms",,UNSURE,S2 fetch failed
160,10.1108/mrr-12-2024-0924,"Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",,UNSURE,S2 fetch failed
171,10.1111/emre.12672,The effect of restructuring internationalized companies on performance: Evidence from European firms,,UNSURE,S2 fetch failed
178,10.1016/j.jbusres.2025.115378,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,,UNSURE,S2 fetch failed
186,10.35611/jkt.2025.29.6.173,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,,UNSURE,S2 fetch failed
187,10.3390/su17062580,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,,UNSURE,S2 fetch failed
194,10.1002/bse.3797,The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanced Economies?,,UNSURE,S2 fetch failed
199,10.1111/twec.13639,"When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manufacturing SMEs",,UNSURE,S2 fetch failed
221,10.3390/su152115652,Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer Numerical Control Machine Industry,,UNSURE,S2 fetch failed
240,10.1057/s41267-020-00343-9,"Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI",,UNSURE,S2 fetch failed
242,10.1002/smj.3236,"Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, and corporate group effects on affiliate profitability",,UNSURE,S2 fetch failed
246,10.1108/ijchm-10-2020-1141,"The impact of knowledge management on the internationalization, organizational ambidexterity and performance of Spanish hotel chains",,UNSURE,S2 fetch failed
265,10.1016/j.ibusrev.2019.03.003,Firm-specific assets and the internationalization performance relationship in the US movie studio industry,,UNSURE,S2 fetch failed
270,10.35611/jkt.2019.23.4.30,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,,UNSURE,S2 fetch failed
277,10.1007/s10799-018-0287-2,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",,UNSURE,S2 fetch failed
279,10.1016/j.forpol.2018.09.013,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,,UNSURE,S2 fetch failed
281,10.1007/s10290-018-0313-9,"Internationalisation, innovation and productivity in services: evidence from Germany, Ireland and the United Kingdom",,UNSURE,S2 fetch failed
282,10.1007/s11365-017-0457-4,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,,UNSURE,S2 fetch failed
283,10.1016/j.rcsar.2017.09.002,"The internationalisation of Spanish family firms through business groups: Factors affecting the profitability, and the moderating effect of the family nature of the Spanish business",,UNSURE,S2 fetch failed
293,10.1016/j.jbusres.2016.11.006,"Firm internationalization, business group diversification and firm performance: The case of Latin American firms",,UNSURE,S2 fetch failed
298,10.1016/j.tmp.2015.12.016,The inverted-U relationship between the degree of internationalization and the performance: The case of Spanish hotel chains,,UNSURE,S2 fetch failed
302,10.1108/ijchm-07-2014-0361,The negative synergistic effect of internationalization and corporate social responsibility on US restaurant firms' value performance,,UNSURE,S2 fetch failed
328,10.1177/097639961200300103,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,,UNSURE,S2 fetch failed
329,10.1002/cjas.196,"Presuccession Performance, CEO Succession, Top Management Team, and Change in a Firm's Internationalization: The Moderating Effect of CEO/Chairperson Dissimilarity",,UNSURE,S2 fetch failed
333,10.1080/00036846.2011.566184,"Learning by exporting and high-tech capital deepening in Singapore manufacturing industries, 1974-2006",,UNSURE,S2 fetch failed
336,10.1016/j.ibusrev.2011.02.012,"Ethnic ties, location choice, and firm performance in foreign direct investment: A study of Taiwanese business groups FDI in China",,UNSURE,S2 fetch failed
348,10.1111/j.1467-9701.2007.00875.x,"Internationalisation, innovation and productivity: How do firms differ in Italy?",,UNSURE,S2 fetch failed
491,10.1080/13571510802638916,"The Effects of Offshoring to China: Reallocation, Employment and Productivity in Taiwan",,UNSURE,S2 fetch failed
4,10.1080/15140326.2026.2617752,Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,,UNSURE,S2 fetch failed
16,10.1111/saje.12372,Total factor productivity in Kenyan manufacturing firms: The role of ISO certification and direct vs indirect export intensity,,UNSURE,S2 fetch failed
26,10.1016/j.ribaf.2024.102505,Does corporate internationalization affect analysts' ' earnings forecast bias? Evidence from China,,UNSURE,S2 fetch failed
34,10.1007/978-981-97-8999-3_3,Outward FDI and its impact on the parent firm: A case of Indian manufacturing firms,,UNSURE,S2 fetch failed
38,10.1057/s41267-022-00511-z,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,,UNSURE,S2 fetch failed
42,10.1016/j.technovation.2022.102518,Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,,UNSURE,S2 fetch failed
45,10.1108/cms-12-2019-0441,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,,UNSURE,S2 fetch failed
49,10.1016/j.jbusres.2020.09.065,"Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa",,UNSURE,S2 fetch failed
63,10.1080/14631377.2019.1678097,Improving firm survival: exports or outward foreign direct investment?,,UNSURE,S2 fetch failed
77,10.1016/j.asieco.2018.01.002,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",,UNSURE,S2 fetch failed
87,10.1016/j.ibusrev.2014.12.006,"Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China",,UNSURE,S2 fetch failed
88,10.1016/j.jwb.2016.03.003,An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,,UNSURE,S2 fetch failed
89,10.1016/j.ibusrev.2016.01.010,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,,UNSURE,S2 fetch failed
94,10.1007/978-4-431-55498-1_10,SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,,UNSURE,S2 fetch failed
107,10.1108/jocm-12-2014-0233,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,,UNSURE,S2 fetch failed
