seq,title,authors,year,doi,icrv,dpl,is_oa,pdf_url
25,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *","Jung, Yonggeun; Hur, Jung",2024,10.2139/ssrn.4881126,1,3,False,
44,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,"Shin, Joonho; Mendoza, Xavier; Choi, Changbum",2022,10.1007/s10490-021-09751-3,1,3,False,
116,"Intangibles, Export Intensity, and Company Performance in the French Wine Industry","Amadieu, Paul; Maurel, Carole; Viviani, Jean-Laurent",2013,10.1017/jwe.2013.27,1,3,False,
179,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy","Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.",2025,10.1016/j.jrurstud.2025.103682,1,3,False,
186,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,"Shin, Joon-Ho; Choi, Chang-Bum",2025,10.35611/jkt.2025.29.6.173,1,3,False,
270,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,"Lee, Sunhae; Park, Sae Woon; Namgung, Dam",2019,10.35611/jkt.2019.23.4.30,1,3,False,
279,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",2018,10.1016/j.forpol.2018.09.013,1,3,False,
282,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,"Jin, Byoungho; Jung, Sojin; Jeong, So Won",2018,10.1007/s11365-017-0457-4,1,3,False,
328,Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,"Wakasugi, Ryuhei; Tanaka, Ayumu",2012,10.1177/097639961200300103,1,3,False,
470,Intellectual capital and firm efficiency of US multinational software firms,"Nkambule, Ncamsile Ashley; Wang, Wei-Kang; Ting, Irene Wei Kiong; Lu, Wen-Min",2022,10.1108/jic-02-2021-0041,1,3,False,
494,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant companies' perspective,"Koh, Yoon; Lee, Seoki; Boo, Soyoung",2009,10.1016/j.ijhm.2009.04.002,1,2,False,
38,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",2022,10.1057/s41267-022-00511-z,2,3,False,
45,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,"Yen, I-Fan; Lin, Hsin-Mei",2021,10.1108/cms-12-2019-0441,2,3,False,
46,'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,"Mullen, Cormac",2021,10.1080/19186444.2020.1857122,2,3,False,
77,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",Long Quang Trinh; Ha Thi Thanh Doan,2018,10.1016/j.asieco.2018.01.002,2,3,False,
88,An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,"Kirca, Ahmet H.; Fernandez, Whitney Dougla; Kundu, Sumit K.",2016,10.1016/j.jwb.2016.03.003,2,3,False,
89,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",2016,10.1016/j.ibusrev.2016.01.010,2,3,False,
107,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,"Aureli, Selena",2015,10.1108/jocm-12-2014-0233,2,3,False,
121,"International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI in China","Shiau, Huey-Ling; Huang, Chen-Jui; Chen, Fong-Chyi",2013,10.2753/ree1540-496x4905s413,2,3,False,
132,Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,"Sharma, Chandan; Mishra, Ritesh",2011,10.1080/02692171.2011.557046,2,3,False,
162,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),"Ma, Peng; Tan, Ya; Xu, Feng",2026,10.1016/j.eap.2026.01.002,2,3,False,
172,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",2025,10.1057/s41291-024-00280-7,2,3,False,
182,Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",2025,10.1108/jgoss-10-2024-0102,2,3,False,
188,Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,"da Cunha, Henrique Correa; Amal, Mohamed; Floriani, Dinora Eliete; Fleury, Maria Tereza Leme",2024,10.1108/ijoem-08-2021-1299,2,3,False,
201,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,"Jain, Samta; Kashiramka, Smita; Jain, P. K.",2024,10.1108/ribs-01-2023-0002,2,3,False,
212,Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,"Rahman, Mahfuzur; Hack-Polay, Dieu; Shafique, Sujana; Igwe, Paul Agu",2023,10.1108/ijoem-02-2021-0236,2,3,False,
224,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,"Zhang, Song; Li, Haoze; Chen, Chunlai",2022,10.1108/ijoem-07-2020-0795,2,3,False,
226,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",2022,10.1177/1069031x211030686,2,3,False,
228,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee, Boon L.; Skitmore, Martin",2022,10.1061/(asce)me.1943-5479.0000985,2,3,False,
247,Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,"Zhang, Banruo; Li, Zijie; Li, Xiaomeng; Liu, Ziqi",2021,10.1108/cms-06-2020-0249,2,3,False,
252,"Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another","Kim, Heechun; Wu, Jie; Schuler, Douglas A.; Hoskisson, Robert E.",2020,10.1057/s41267-019-00279-9,2,3,False,
263,"Internationalization speed, resources and performance: Evidence from Indian software industry","Jain, Naveen Kumar; Celo, Sokol; Kumar, Vikas",2019,10.1016/j.jbusres.2018.09.019,2,3,False,
267,Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,"Pittiglio, Rosanna; Reganati, Filippo",2019,10.1111/twec.12837,2,3,False,
268,"R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises","Tang, Chunhui; Tang, Yaojia; Su, Shengwei",2019,10.1016/j.emj.2018.11.003,2,3,False,
295,lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Input incentive effect and efficiency improvement effect,"Xu, Xin; Xia, Yun; Li, Chuntao",2017,10.1016/j.cjar.2017.05.001,2,3,False,
303,"Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises","Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)",2016,10.1080/10669868.2016.1215667,2,3,False,
308,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,"Faroque, Anisur R.; Takahashi, Yoshi",2015,10.1108/apjml-03-2014-0045,2,3,False,
320,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,"Lyles, Marjorie; Li, Dan; Yan, Haifeng",2014,10.1017/s1740877600004381,2,3,False,
325,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,"Xiao, Simon Shufeng; Jeong, Insik; Moon, Jon Jungbien; Chung, Chris Changwha; Chung, Jaiho",2013,10.1016/j.intman.2012.12.003,2,3,False,
344,"Subsidiary size, internationalization, product diversification, and performance in an emerging market","Chiao, Yu-Ching; Yu, Chow-Ming Joseph; Li, Peng-Yu; Chen, Yi-Chuan",2008,10.1108/02651330810915556,2,2,False,
460,"Exporting Like China: Productivity, Market Demand, and Labor Frictions","Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping",2026,10.1111/iere.70042,2,3,False,
468,"Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm performance in exporting firms in Indonesia","Heriqbaldi, Unggul; Jayadi, Achmad; Erlando, Angga; Samudro, Bhimo Rizky; Widodo, Wahyu; Esquivias, Miguel Angel",2023,10.1016/j.dib.2023.109112,2,3,False,
476,Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,"Revindo, Mohamad Dian; Gan, Christopher; Alta, Aditya",2020,10.21002/seam.v14i2.11771,2,3,False,
484,Does Exporting Spur Firm Productivity? Evidence from Vietnam,Thi Thu Tra Pham,2015,10.1355/ae32-1e,2,3,False,
90,How does the geographic export diversification-performance relationship vary at different levels of export intensity?,"Boehe, Dirk Michael; Jimenez, Alfredo",2016,10.1016/j.ibusrev.2016.03.011,1,3,False,
300,"International intensity, diversity, and distance: Unpacking the internationalization-performance relationship","Miller, Stewart R.; Lavie, Dovev; Delios, Andrew",2016,10.1016/j.ibusrev.2015.12.003,1,3,False,
316,"Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: The Role of Outside CEOs, Technology Sourcing, and Innovation","Yeoh, Poh-Lin",2014,10.1002/tie.21597,1,3,False,
322,"Facing global economic crisis: Foreign sales, ownership groups, and corporate value","Ma, Xufei; Yiu, Daphne W.; Zhou, Nan",2014,10.1016/j.jwb.2013.02.002,1,3,False,
53,"Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan","Rashid, Abdul; Khan, Afaq; Fraz, Ahmad",2021,10.1177/09721509211056480,3,3,False,
30,The inefficiency of exporting SMEs: Evidence from manufacturing industry,"Forgione, Antonio Fabio; Migliardo, Carlo",2023,10.1080/09638199.2022.2098527,0,3,False,
47,"Resource indivisibility, lumpy costs and the multinationality-performance relationship","Ref, Ohad; Gnizy, Itzhak",2021,10.1108/imr-05-2020-0094,0,3,False,
55,"Global sourcing, productivity and export intensity","Bandick, Roger",2020,10.1111/twec.12887,0,3,False,
71,Alphabet soup: the relationship between multinationality and firm performance,"Mullen, Cormac; Luff, Martha O'Hagan",2018,10.1080/19186444.2018.1556519,0,3,False,
78,The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,"Shin, Joonho; Mendoza, Xavier; Hawkins, Matthew A.; Choi, Changbum",2017,10.1016/j.ibusrev.2017.02.005,0,3,False,
91,Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,"Geleilate, Jose-Mauricio G.; Magnusson, Peter; Parente, Ronaldo C.; Alvarado-Vargas, Marcelo J.",2016,10.1016/j.intman.2016.06.001,0,3,False,
106,FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,"Sanfilippo, Marco",2015,10.1016/j.ibusrev.2014.11.005,0,3,False,
108,The impact of multinationality on firm value: A comparative analysis of machine learning techniques,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",2014,10.1016/j.dss.2013.11.001,0,3,False,
115,Performance implications of multinationality: moderating role of foreign market entry mode,"Yildiz, Harun Emre",2013,10.1108/mbr-04-2013-0021,0,3,False,
134,Does the regional nature of multinationals affect the multinationality and performance relationship?,"Rugman, Alan M.; Oh, Chang Hoon",2010,10.1016/j.ibusrev.2009.02.012,0,3,False,
136,Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",2008,10.1007/s11575-008-0027-7,0,2,False,
161,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",2026,10.1177/19389655251405170,0,3,False,
168,Product innovation strategy and firm performance: Novelty and internationalization as mediators,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",2026,10.1080/00472778.2026.2640356,0,3,False,
191,The internationalization and performance of INVs: Liability or learning advantages of newness?,"Khatua, Apalak; Mondal, Arindam; Dhanda, Supria",2024,10.1007/s10843-023-00345-2,0,3,False,
193,Effects of female CEO and female CFO on internationalization and firm performance,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",2024,10.1108/cg-12-2022-0512,0,3,False,
208,Home country adverse political shocks and cross-border mergers and acquisitions financial performance of politically connected emerging market firms,"Zhou, Chenxi; Zhang, Yameng; Bu, Maoliang",2024,10.1016/j.ibusrev.2023.102175,0,3,False,
216,Degree of internationalisation and firm performance: the flattening role of organisational slack resources,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, Thanh Phuong Binh; Ngo, Ngoc Linh Chi; Le, Nguyen Phuong Nhi; Vu, Nhat Vi",2023,10.1108/ribs-03-2022-0030,0,3,False,
219,Internationalization and firm performance: moderating role of multi-stakeholder initiatives,"Park, Sang-Bum",2023,10.1108/mbr-10-2022-0168,0,3,False,
229,Internationalisation and performance in family businesses: influence of the internationalisation path followed,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",2022,10.1504/ijesb.2022.124453,0,3,False,
249,Globalisation: blessing or curse? Evidence from the insurance industry,"Biener, Christian; Eling, Martin; Jia, Ruo",2021,10.1504/ejim.2021.113232,0,3,False,
251,Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,"Wu, Sihong; Fan, Di",2021,10.1177/0306307020984566,0,3,False,
258,"Founder ethnic composition, early internationalization, and new venture performance","Jiang, Guohua; Kotabe, Masaaki; Zhang, Feng",2020,10.1007/s10843-020-00281-5,0,3,False,
261,Host country institutional diversity and MNE performance persistence,"Zhao, Yue; Parente, Ronaldo; Song, Mohan; Wenger, Lucas",2020,10.1016/j.jbusres.2020.03.018,0,3,False,
264,Internationalization of exploitation alliance portfolios and firm performance,"Rossmannek, Oliver; Rank, Olaf",2019,10.1108/md-11-2017-1105,0,3,False,
284,Internationalization and economic performance: The mediating role of eco-innovation,"Hojnik, Jana; Ruzzier, Mitja; Manolova, Tatiana S.",2018,10.1016/j.jclepro.2017.10.111,0,3,False,
291,"Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm Performance","Yang, Jing Yu; Lu, Jane; Jiang, Ruihua",2017,10.1016/j.lrp.2016.06.001,0,3,False,
294,Performance Impact of Temporal Strategic Fit: Entrainment of Internationalization with Pro-Market Reforms,"Popli, Manish; Akbar, Mohammad; Kumar, Vikas; Gaur, Ajai",2017,10.1002/gsj.1160,0,3,False,
307,Service innovation and internationalization in SMEs: Implications for growth and performance,"Kunttu, Anna; Torkkeli, Lasse",2015,10.5771/0935-9915-2015-2-83,0,3,False,
309,Firm factors that influence internationalisation and subsequent financial performance of fashion retailers,"Childs, Michelle L.; Jin, Byoungho",2015,10.1108/jstp-09-2013-0204,0,3,False,
311,The moderating effect of exploitative and exploratory learning on internationalisation-performance relationship in SMEs,"De Noni, Ivan; Apa, Roberta",2015,10.1007/s10843-015-0148-6,0,3,False,
317,How do resources and diversification strategy explain the performance consequences of internationalization?,"Chen, Yan; Jiang, Yiwei; Wang, Chengqi; Hsu, Wen Chung",2014,10.1108/md-10-2013-0527,0,3,False,
323,"EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY EMERGING MARKET FIRMS","Ataullah, Ali; Le, Hang; Sahota, Amandeep S.",2014,10.1002/hrm.21619,0,3,False,
326,"BUSINESS GROUP AFFILIATION, INNOVATION, INTERNATIONALIZATION, AND PERFORMANCE: A SEMIPARAMETRIC ANALYSIS","Iona, Alfonsina; Leonida, Leone; Navarra, Pietro",2013,10.1111/j.2042-5805.2013.01060.x,0,3,False,
330,Internationalization and the IPO performance of new ventures,"LiPuma, Joseph A.",2012,10.1016/j.jbusres.2011.05.007,0,3,False,
331,The Total Factor Productivity Gap between Internationalised and Domestic Firms: Net Premium or Heterogeneity Effect?,"Ferrante, Maria Rosaria; Freo, Marzia",2012,10.1111/j.1467-9701.2011.01415.x,0,3,False,
332,"Early internationalization and performance of small high-tech ""born-globals""","Li, Lee; Qian, Gongming; Qian, Zhengming",2012,10.1108/02651331211260377,0,3,False,
346,Exports and Productivity Growth: First Evidence from a Continuous Treatment Approach,"Fryges, Helmut; Wagner, Joachim",2008,10.2139/ssrn.989931,0,2,False,
349,"Performance, internationalization, and firm-specific advantages of SMEs in a newly-industrialized economy","Chiao, Yu-Ching; Yang, Kuo-Pin; Yu, Chwo-Ming Joseph",2006,10.1007/s11187-005-5604-6,0,2,False,
354,Firms' productivity and internationalization: a statistical dominance test,"Merino, F",2004,10.1080/1350485042000254890,0,2,False,
355,"Pace, rhythm, and scope: Process dependence in building a profitable multinational corporation","Vermeulen, F; Barkema, H",2002,10.1002/smj.243,0,2,False,
464,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition","Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien",2025,10.1108/jbim-04-2024-0284,1,3,False,
474,Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,"Campos-Garcia, Irene; Munoz-Bullon, Fernando; Sanchez-Bueno, Maria J.; Angel Zuniga-Vicente, Jose",2020,10.1016/j.jbusres.2019.10.074,0,3,False,
479,Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,"Ferrante, Maria R.; Freo, Marzia",2019,10.1111/twec.12807,0,3,False,
482,A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Productivity Gains,"Tse, Caleb H.; Yu, Linhui; Zhu, Jianjun",2017,10.1177/0149206315573998,0,3,False,
483,"Distances, multinational organisational learning, and firm performance: a new perspective","Metz, Philipp",2017,10.1504/ijbe.2017.10006208,0,3,False,
526,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. Multinational Corporations","Berry, Heather; Kaul, Aseem",2022,10.1287/stsc.2022.0158,1,3,False,
528,The role of international institutional complexity on emerging market multinational companies' innovation,"Wu, Jie; Park, Seung Ho",2019,10.1002/gsj.1166,0,3,False,
343,The export-growth relationship: estimating a dose-response function,"Fryges, Helmut",2009,10.2139/ssrn.900545,1,2,False,
538,Effects of international diversity and product diversity on the performance of multinational firms,"Tallman, S; Li, JT",1996,10.2307/256635,0,1,False,
545,Innovation and profitability of global food firms. Testing for differences in the influence of the home base,"Rama, R",1999,10.1068/a310735,1,1,False,
547,"Geographic scope, product diversification, and the corporate performance of Japanese firms","Delios, A; Beamish, PW",1999,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,1,2,False,
556,Multinationality and firm performance: The moderating role of R&D and marketing capabilities,"Kotabe, M; Srinivasan, SS; Aulakh, PS",2002,10.1057/palgrave.jibs.8491006,0,2,False,
558,How do large depreciations affect firm performance?,"Forbes, KJ",2002,10.2307/3872477,0,2,False,
560,"Multinationality, global market diversification and profitability among the largest US firms","Qian, GM; Li, J",2002,10.1016/s0148-2963(00)00153-3,1,2,False,
561,A three-stage theory of international expansion: the link between multinationality and performance in the service sector,"Contractor, FJ; Kundu, SK; Hsu, CC",2003,10.1057/palgrave.jibs.8400003,0,2,False,
567,The relationship between international diversification and performance in service firms,"Capar, N; Kotabe, M",2003,10.1057/palgrave.jibs.8400036,0,2,False,
573,The effects of top management team pay and firm internationalization on MNC performance,"Carpenter, MA; Sanders, WG",2004,10.1016/j.jm.2004.02.001,0,2,False,
579,Internationalization of private firms: environmental turbulence and organizational strategies and resources,"Westhead, P; Wright, M; Ucbasaran, D",2004,10.1080/0898562042000231929,0,2,False,
582,"Entrepreneurial Strategic Posture, International Diversifi cation, and Firm Performance","Thoumrungroje, Amonrat; Tansuhaj, Patriya",2005,10.1108/1525383x200500003,0,2,False,
584,Eastern Germany in the process of catching up - The role of foreign and West German investors in technological renewal,"Günther, J; Gebhardt, O",2005,10.1080/00128775.2005.11041104,1,2,False,
585,Determinants of efficiency in least developed countries: Further evidence from Nepalese manufacturing firms,"Oczkowski, E; Sharma, K",2005,10.1080/00220380500092721,6,2,False,
590,Can high performance work systems really lead to better performance?,"Shih, Hsi-An; Chiang, Yun-Hwa; Hsu, Chu-Chun",2006,10.1108/01437720610713530,1,2,False,
593,Export intensity and plant characteristics: What can we learn from quantile regression?,"Wagner, Joachim",2006,10.1142/9781786349699_0008,0,2,False,
595,International diversification and firm performance in Mexican firms: A curvilinear relationship?,"Thomas, DE",2006,10.1016/j.jbusres.2005.08.008,2,2,False,
596,Partnering strategies and performance of SMEs' international joint ventures,"Lu, Jane W.; Beamish, Paul W.",2006,10.1016/j.jbusvent.2005.02.002,0,2,False,
599,Economic liberalization and the antecedents of top management teams:: Evidence from Turkish 'big' business,"Yamak, Sibel; Usdiken, Behlul",2006,10.1111/j.1467-8551.2006.00491.x,2,2,False,
602,The long-run performance of UK IPOs: can it be predicted?,"Goergen, Marc; Khurshed, Arif; Mudambi, Ram",2007,10.1108/03074350710748759,1,2,False,
603,"A review of the foundation, international marketing strategies, and performance of international new ventures","Aspelund, Arild; Madsen, Tage Koed; Moen, Oystein",2007,10.1108/03090560710821242,1,2,False,
604,Human capital and organizational performance: a study of Egyptian software companies,"Bontis, Nick; Seleim, Ahmed; Ashour, Ahmed",2007,10.1108/00251740710746033,3,2,False,
612,The effect of product diversification strategies on the relationship between international diversification and firm performance,"Chang, Shao-Chi; Wang, Chi-Feng",2007,10.1016/j.jwb.2006.11.002,0,2,False,
616,International diversification and firm performance: Role of information technology investments,"Chari, Murali D. R.; Devaraj, Sarv; David, Parthiban",2007,10.1016/j.jwb.2007.02.004,0,2,False,
617,The impact of national culture and communication on exporter-distributor relations and on export performance,"Nes, Erik B.; Solberg, Carl Arthur; Silkoset, Ragnhild",2007,10.1016/j.ibusrev.2007.01.008,0,2,False,
618,"International expansion path, speed, product diversification and performance among emerging-market MNEs: Evidence from Asia-Pacific multinational companies","Chang, Juichuan",2007,10.1057/palgrave.abm.9200228,0,2,False,
629,Overseas business costs and firm export performance,"Kneller, Richard; Pisu, Mauro; Yu, Zhihong",2008,10.1111/j.1540-5982.2008.00480.x,1,2,False,
630,The export intensity of venture capital backed companies,"Lockett, Andy; Wright, Mike; Burrows, Andrew; Scholes, Louise; Paton, Dave",2008,10.1007/s11187-008-9109-y,0,2,False,
638,Internationalization and performance of small- and medium-sized enterprises,"Pangarkar, Nitin",2008,10.1016/j.jwb.2007.11.009,0,2,False,
