seq,doi,title,year,s2_pdf_url,s2_found,error
460,10.1111/iere.70042,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",2026,,False,
2147,10.1108/ijesm-12-2024-0013,Analyzing energy efficiency decisions in India's energy-intensive industries,2026,,False,
2204,10.1080/10669868.2025.2554992,Innovation Pressure from Domestic and Foreign Competitors and Firm Export Intens,2026,,False,
2217,10.1108/ijebr-06-2024-0578,"Navigating family control: U-shaped effects on innovativeness and performance, m",2026,,False,
2222,10.1108/imr-11-2024-0446,Export venture sustainability strategies: an exploration of knowledge-based enab,2026,,False,
2264,10.1080/13662716.2026.2637174,Technological complexity and global capabilities in SMEs. A survey in an Italian,2026,,False,
2284,10.1007/s11575-026-00618-7,Early Internationalization in Family and Non-family Firms: Performance Implicati,2026,,False,
464,10.1108/jbim-04-2024-0284,"Bribery, local network, and local performance among multinational corporations: ",2025,,False,
2081,10.1108/gm-01-2024-0033,Gender diversity in top management team and corporate social responsibility perf,2025,,False,
2090,10.1093/erae/jbae024,Productivity and growth decomposition: a novel single-index smooth-coefficient s,2025,,False,
2093,10.1016/j.ibusrev.2024.102345,Government R&D support's effects on export performance via innovation: An analys,2025,,False,not_found
2109,10.1108/apjba-11-2024-0621,Reframing government support for SMEs' performance in international market: the ,2025,,False,
2117,10.1177/09721509241308023,Unveiling Determinants of Resource Allocation to R&D and Advertising: Insights f,2025,,False,
2133,10.1016/j.eap.2025.02.028,Balancing export intensity and innovation: Uncovering the inverted-U relationshi,2025,,False,
2177,10.1504/ejim.2025.146843,"Export intensity, intellectual property and technology development as drivers fo",2025,,False,
2182,10.1111/1467-8551.70001,"Speed of Institutional Reforms, Competitive Dynamics, and Cross-border Acquisiti",2025,,False,
2219,10.1108/cms-09-2024-0683,International ambidexterity and innovation performance of EMNEs: the moderating ,2025,,False,
2228,10.1108/cr-04-2024-0074,Does financial development contribute to the nonlinear relationship between inno,2025,,False,
2234,10.1177/09721509251399758,The Determinants of Information Communication Technology Adoption in the Case of,2025,,False,
2237,10.1016/j.intman.2025.101308,Profitability and CSR: Inconsistent performance feedback and OFDI location choic,2025,,False,
2287,10.18356/26178419-32-2-5,"DIGITALIZATION, FIRM PERFORMANCE AND INTERNATIONALIZATION OF MICROFIRMS IN INDIA",2025,,False,
1860,10.1108/ecam-03-2022-0286,"Examining the nonlinear relationships of corporate social responsibility, innova",2024,,False,
1964,10.1016/j.jwb.2023.101500,The interplay of international alliance and subsidiary portfolios: Implications ,2024,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755,True,
2000,10.1177/1069031x231216409,Exploratory Search and International Performance: When Do Local Alliances Matter,2024,,False,
2060,10.1016/j.ibusrev.2023.102170,A novel model linking UN SDGs with international experience and firm performance,2024,,False,
2065,10.1108/ribs-02-2024-0015,Trade policy revisited: how government support initiatives affect international ,2024,,False,
2066,10.1108/bjm-02-2024-0058,Is OFDI persistence beneficial for firms' performance? Evidence from Chinese fir,2024,,False,
2074,10.1108/jbim-12-2023-0761,"The effect of standardized advertising, managerial ties and born global orientat",2024,,False,
2305,10.6504/jmbr.202412_41(4).0004,Impact of Specific Intangible Assets on Firm Internationalization and Performanc,2024,,False,not_found
2306,10.1504/ijbge.2024.141806,Role of technology director in boosting internationalisation and performance: an,2024,,False,
1579,10.1057/s41291-020-00144-w,Performance implications of combining innovation and internationalization for Ko,2023,,False,
1680,10.1108/ejim-04-2021-0197,Intangible resources and firms' innovation performance: empirical evidence from ,2023,,False,
1686,10.1108/ijoem-09-2020-1114,The use and knowledge of export promotion programs in the early internationaliza,2023,,False,
1747,10.1111/emre.12513,The role of innovation and internationalization support in small- and medium-siz,2023,,False,
1777,10.1002/sres.2856,Role of international strategic alliances in internationalization of business gr,2023,,False,
1794,10.1111/twec.13310,Internet and firms' exports and imports: Firm level evidence from China,2023,,False,
1821,10.1007/s11356-022-22664-y,From ambiguity to transparency: influence of environmental information disclosur,2023,,False,
1823,10.1007/s10640-022-00717-7,The More the Merrier? Evidence from Firm-Level Exports and Environmental Perform,2023,,False,
1826,10.1080/09638199.2022.2125552,Impact of export intensity on energy intensity in manufacturing plants: Evidence,2023,,False,
1830,10.1108/imr-01-2022-0026,A vicarious learning perspective on the relationship between home-peer performan,2023,,False,
1834,10.1111/grow.12657,Agglomeration and firm performance in times of economic turmoil: Evidence from T,2023,,False,
1863,10.1108/ribs-12-2021-0172,MNCs' orchestration capability of the 3Ds and financial performance,2023,,False,
1905,10.1108/sef-12-2022-0551,Spillover effects of foreign direct investment on manufacturing exports and impo,2023,,False,
1911,10.1016/j.resourpol.2022.103169,Do international resources configure SMEs' sustainable performance in the digita,2023,,False,
1922,10.1007/s40953-023-00350-1,"ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in I",2023,,False,
1925,10.1108/ijssp-04-2023-0089,Are formal institutions ineffective for firm performance? Evidence from the econ,2023,,False,
1942,10.1504/ejim.2023.131703,Technological knowledge intensity and entry modes in the European automotive ind,2023,,False,
1957,10.1093/icc/dtad045,In search of markets and technology: the role of cross-border knowledge for dome,2023,,False,
2025,10.1504/ijesb.2020.10032033,Does industry experience positively moderate the quadratic relationship between ,2023,https://figshare.com/articles/journal_contribution/Does_industry_experience_positively_moderate_the_quadratic_relationship_between_coopetition_and_financial_performance_Evidence_from_the_New_Zealand_wine_sector/11912517/1/files/21851199.pdf,True,
470,10.1108/jic-02-2021-0041,Intellectual capital and firm efficiency of US multinational software firms,2022,,False,
526,10.1287/stsc.2022.0158,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adapta",2022,,False,
1595,10.1108/jbim-08-2020-0396,Making better foreign friendships: the effects of increased cultural diversity i,2022,,False,
1637,10.1002/gsj.1412,"Disentangling the relationship between internationalization, incremental and rad",2022,,False,
1700,10.1111/1467-8551.12560,The Degree of Internationalization and Firm Productivity: Empirical Evidence fro,2022,,False,
1706,10.1111/1467-8551.12566,Exporting by Private Equity-Backed Portfolio Companies,2022,https://eprints.whiterose.ac.uk/179658/3/R%26R4_Manuscript_finala.pdf,True,
1710,10.1108/ijchm-05-2021-0679,The synergistic impact between internationalization and supply-and-demand intera,2022,,False,
1720,10.1108/er-04-2021-0132,"Gender, talent management and firm performance: MNCs' female-focused talent mana",2022,,False,
1721,10.1108/imr-01-2021-0003,Eyes open and hands on: market knowledge and marketing capabilities in export ma,2022,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IMR%20Revised.pdf,True,
1727,10.1108/jfbm-06-2021-0060,Promoting organizational diversity and preserving socioemotional wealth: can fam,2022,,False,
1738,10.1108/ccsm-07-2021-0119,"Internationalization motives, location advantages and performance: the case of I",2022,,False,
1744,10.1108/jsma-11-2021-0220,"The complex interplay of firm innovation, internationalization and learning capa",2022,,False,
1748,10.1080/09638199.2022.2051588,The innovation and exports interplay across Africa: Does business environment ma,2022,,False,
1760,10.1093/icc/dtab068,Impact of sourcing from the informal economy on the export likelihood and perfor,2022,,False,
1808,10.1108/ijopm-10-2021-0654,Performance from building smart factories of small- and medium-sized enterprises,2022,,False,
1817,10.1016/j.irfa.2022.102318,Is there ?productivity paradox? in Chinese producer-service enterprises' OFDI?,2022,,False,
