source,source_id,authors,year,title,journal,doi,abstract
scopus,2-s2.0-105038193102,Zhang X.,2026,Corporate performance effects of digital empowerment under the Belt and Road Initiative: Evidence from M&A performance and green performance,International Review of Economics and Finance,10.1016/j.iref.2026.105315,
scopus,2-s2.0-105031942869,Chen H.,2026,"Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",Economic Modelling,10.1016/j.econmod.2026.107559,
scopus,2-s2.0-105026401753,Song H.J.,2026,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,Cornell Hospitality Quarterly,10.1177/19389655251405170,
scopus,2-s2.0-105038119555,Gabrielsson M.,2026,International network-oriented behavior as a strategic mechanism driving financial performance and the moderating role of absorptive capacity,Industrial Marketing Management,10.1016/j.indmarman.2026.05.002,
scopus,2-s2.0-105023975743,Cooper R.,2026,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",International Economic Review,10.1111/iere.70042,
scopus,2-s2.0-105029360717,Lan M.,2026,Can industrial technology convergence facilitate firms' international expansion? Firm-level empirical evidence from China,Economic Modelling,10.1016/j.econmod.2026.107524,
scopus,2-s2.0-105029272363,Arneja N.,2026,Imported intermediates and firm performance: A difference-in-differences analysis of matched Indian manufacturing firms,Technological Forecasting and Social Change,10.1016/j.techfore.2026.124571,
scopus,2-s2.0-105035663695,Yu X.,2026,The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,Energy Strategy Reviews,10.1016/j.esr.2026.102215,
scopus,2-s2.0-105033397279,Torrent-Sellens J.,2026,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",Journal of the Knowledge Economy,10.1007/s13132-026-03199-w,
scopus,2-s2.0-105009704692,Anh D.L.T.,2026,Global Climate Risks and Agricultural Firm Performance in Vietnam,Agribusiness,10.1002/agr.70007,
scopus,2-s2.0-105029759842,Adem A.,2026,Choice versus necessity: understanding service diversification and firm performance in manufacturing,Journal of Business Research,10.1016/j.jbusres.2025.115949,
scopus,2-s2.0-105028257155,Yang Z.,2026,Artificial intelligence technology and firms’ OFDI: Evidence from China,International Review of Economics and Finance,10.1016/j.iref.2026.104920,
scopus,2-s2.0-105002644917,Grover C.,2026,Analyzing energy efficiency decisions in India’s energy-intensive industries,International Journal of Energy Sector Management,10.1108/ijesm-12-2024-0013,
scopus,2-s2.0-105029627375,Xu M.,2026,"The data-driven decision-making, sustainable value creation, and international firm performance: Micro-level evidence based on AI language models",Plos One,10.1371/journal.pone.0340731,
scopus,2-s2.0-85211128043,Wang M.,2026,New market entry of Chinese mobile e-commerce platforms in context of growth desperation–a case study based on Pinduoduo’s internationalization strategy,Kybernetes,10.1108/k-01-2024-0027,
scopus,2-s2.0-105026777923,Satchachai P.,2026,Estimating Outward FDI Flows under the Heterogeneous Firm Model: A Case Study of Selected Asian Economies,Thailand and the World Economy,,
scopus,2-s2.0-105035400897,Kaur N.,2026,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,Global Business Review,10.1177/09721509261437526,
scopus,2-s2.0-105033477620,Kagere B.R.,2026,Product innovation strategy and firm performance: Novelty and internationalization as mediators,Journal of Small Business Management,10.1080/00472778.2026.2640356,
scopus,2-s2.0-105029700976,Hussain W.,2026,Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,Environment Development and Sustainability,10.1007/s10668-026-07324-2,
